Gene name	Zebrafish gene name
Cit	CIT
Cited1	cited1
Cited2	cited2
Cited4	cited4a
Cited4	cited4b
Ciz1	ciz1a
Ciz1	ciz1b
Ckap2l	ckap2l
Ckap5	ckap5
Ckb	ckba
Ckb	ckbb
Ckm	ckma
Ckm	ckmb
Ckmt1	ckmt1
Ckmt2	ckmt2a
Ckmt2	ckmt2b
Cks1brt	cks1b
Cks1b	cks1b
Cks2	cks2
Clasp1	CLASP1 (1 of many)
Clasp1	clasp1a
Clasp2	clasp2
Clasrp	clasrp
Clca3a1	clca1
Clca3a2	clca1
Clca3b	clca1
Clca4b	clca1
Clca4a	clca1
Clca1	clca1
Clca2	clca1
Clca3a1	clca5.1
Clca3a2	clca5.1
Clca3b	clca5.1
Clca4b	clca5.1
Clca4a	clca5.1
Clca1	clca5.1
Clca2	clca5.1
Clca3a1	clca5.2
Clca3a2	clca5.2
Clca3b	clca5.2
Clca4b	clca5.2
Clca4a	clca5.2
Clca1	clca5.2
Clca2	clca5.2
Clcc1	CLCC1
Clcf1	clcf1
Ctf2	clcf1
Clcn1	clcn1a
Clcn1	clcn1b
Clcn2	clcn2b
Clcn3	clcn3
Clcn4	clcn4
Clcn5	clcn5a
Clcn5	clcn5b
Clcn6	clcn6
Clcn7	clcn7
Clcnka	clcnk
Clcnkb	clcnk
Cldn1	cldn1
Cldn10	cldn10a
Cldn10	cldn10b
Cldn11	cldn11a
Cldn11	cldn11b
Cldn12	cldn12
Cldn15	cldn15a
Cldn15	cldn15b
Cldn17	cldn17
Cldn8	cldn17
Cldn18	CLDN18
Cldn19	cldn19
Cldn2	cldn2
Cldn20	CLDN20 (1 of many)
Cldn24	CLDN22
Cldn22	CLDN22
Cldn23	CLDN23
Cldn34b3	CLDN34
Cldn34b4	CLDN34
Cldn34d	CLDN34
Cldn34c1	CLDN34
Cldn34c4	CLDN34
Cldn34b1	CLDN34
Cldn34b2	CLDN34
Cldn34c2	CLDN34
Cldn34c3	CLDN34
Cldn34a	CLDN34
Cldn4	CLDN4 (1 of many)
Cldn5	cldn5a
Cldn5	cldn5b
Cldn7	cldn7a
Cldn7	cldn7b
Cldn4	cldna
Cldn4	cldnb
Cldn3	cldnc
Cldn4	cldnd
Cldnd1	cldnd1a
Cldnd1	cldnd1b
Cldn4	cldne
Cldn4	cldnf
Cldn4	cldng
Cldn3	cldnh
Clec11a	clec11a
Clec16a	clec16a
Clec3a	CLEC3A
Clec3b	clec3ba
Clec3b	clec3bb
Clgn	clgn
Clic1	clic1
Clic3	clic3
Clic4	clic4
Clic5	clic5a
Clic5	clic5b
Clic6	clic6
Clint1	clint1a
Clint1	clint1b
Clip1	clip1a
Clip2	clip2
Clip3	clip3
Clk2	clk2a
Clk2	clk2b
Clk1	clk4a
Clk4	clk4a
Clk1	clk4b
Clk4	clk4b
Clmp	CLMP
Cln3	cln3
Cln5	cln5
Cln6	cln6a
Cln6	cln6b
Cln8	cln8
Clns1a	clns1a
Clock	clocka
Clock	clockb
Clp1	clp1
Clpp	clpp
Clptm1	clptm1
Clptm1l	clptm1l
Clpx	clpxa
Clpx	clpxb
Clrn1	clrn1
Clrn2	clrn2
Clrn3	CLRN3
Clstn1	clstn1
Clstn2	clstn2
Clstn2	CLSTN2 (1 of many)
Clstn3	clstn3
Clta	clta
Cltb	cltb
Cltc	cltcb
Clu	clu
Gm20695	cluap1
Cluap1	cluap1
Cluh	cluha
Cluh	cluhb
Clvs2	clvs2
Clybl	clybl
Cmah	cmah
Cmas	cmasa
Cmas	cmasb
Cmbl	cmbl
Cmc1	cmc1
Cmc2	cmc2
Cmc4	cmc4
Cmip	cmip
Cmklr1	cmklr1
Cmklr1	CMKLR1 (1 of many)
Myl4	cmlc1
Cmpk1	cmpk
Cmpk2	cmpk2
Cmss1	cmss1
Cmtm3	cmtm3
Cmtm4	cmtm4
Cmtm6	cmtm6
Cmtm7	cmtm7
Cmtm8	cmtm8a
Cmtm8	cmtm8b
Cmtr1	cmtr1
Cmtr2	cmtr2
Fsd2	cmya5
Zcchc13	cnbpa
Cnbp	cnbpa
Zcchc13	cnbpb
Cnbp	cnbpb
Cndp1	CNDP1
Cndp2	cndp2
Cnep1r1	cnep1r1
Cnfn	cnfn
Cnga1	cnga1
Cnga1	CNGA1 (1 of many)
Cnga2	CNGA2 (1 of many)
Cnga3	cnga3a
Cnga3	cnga3b
Cnga4	cnga4
Cnga2	cnga5
Cngb1	CNGB1
Cngb1	cngb1a
Cngb3	cngb3.1
Cngb3	cngb3.2
Cnih1	cnih1
Cnih2	cnih2
Cnih3	cnih3
Cnih4	cnih4
Cnksr1	cnksr1
Cnksr2	cnksr2a
Cnksr2	cnksr2b
Cnksr3	cnksr3
Cnn1	cnn1a
Cnn1	cnn1b
Cnn2	cnn2
Cnnm1	CNNM1
Cnnm2	cnnm2a
Cnnm2	cnnm2b
Cnnm3	CNNM3
Cnot1	cnot1
Cnot10	cnot10
Cnot11	cnot11
Cnot2	cnot2
Cnot3	cnot3a
Cnot3	cnot3b
Cnot4	cnot4a
Cnot4	cnot4b
Cnot6	cnot6a
Cnot6	cnot6b
Cnot6l	cnot6l
Cnot7	cnot7
Cnot8	cnot8
Cnp	cnp
Cnppd1	cnppd1
Cnpy1	cnpy1
Cnpy2	cnpy2
Cnpy4	cnpy4
Cnr1	cnr1
Cnr2	cnr2
Cnrip1	cnrip1a
Cnrip1	cnrip1b
Cnst	cnsta
Cnst	cnstb
Cntd1	CNTD1
Cntfr	cntfr
Cntln	cntln
Cntn6	cntn1a
Cntn1	cntn1b
Cntn2	cntn2
Cntn3	CNTN3 (1 of many)
Cntn4	cntn3a.1
Cntn3	cntn3a.2
Cntn4	cntn4
Cntn5	cntn5
Cntnap1	cntnap1
Cntnap2	cntnap2b
Cntnap3	cntnap3
Cntnap4	cntnap3
Cntrl	cntrl
Coa3	coa3a
Coa3	coa3b
Coa4	COA4
Coa5	coa5
Coa6	coa6
Coa7	coa7
Coasy	coasy
Cobl	cobl
Cobll1	cobll1a
Cobll1	cobll1b
Coch	coch
Cog1	cog1
Cog2	cog2
Cog3	cog3
Cog4	cog4
Cog5	cog5
Cog6	cog6
Cog7	cog7
Cog8	cog8
Coil	coil
Col10a1	col10a1a
Col10a1	col10a1b
Col11a1	col11a1a
Col11a1	col11a1b
Col11a2	col11a2
Col12a1	col12a1a
Col12a1	col12a1b
Col14a1	col14a1a
Col14a1	col14a1b
Col15a1	col15a1b
Col16a1	COL16A1
Col17a1	col17a1a
Col17a1	col17a1b
Col18a1	col18a1
Col18a1	COL18A1 (1 of many)
Col1a1	col1a1a
Col1a1	col1a1b
Col1a2	col1a2
Col26a1	COL26A1
Col27a1	col27a1a
Col27a1	col27a1b
Col28a1	COL28A1 (1 of many)
Col28a1	col28a1a
Col28a1	col28a1b
Col28a1	col28a2a
Col2a1	col2a1a
Col2a1	col2a1b
Col4a1	col4a1
Col4a2	col4a2
Col4a3	col4a3
Col4a3bp	col4a3bpa
Col4a3bp	col4a3bpb
Col4a4	col4a4
Col4a5	col4a5
Col4a6	col4a6
Col5a1	col5a1
Col5a2	col5a2a
Col5a2	col5a2b
Col5a3	col5a3a
Col5a3	col5a3b
Col6a1	col6a1
Col6a2	col6a2
Col6a3	col6a3
Col6a4	col6a4a
Col7a1	col7a1
Col8a1	col8a1a
Col8a1	col8a1b
Col8a2	col8a2
Col9a1	col9a1a
Col9a1	col9a1b
Col9a2	col9a2
Col9a3	col9a3
Colec10	COLEC10
Colec11	colec11
Colec12	colec12
Colgalt1	colgalt1
Colgalt1	COLGALT1 (1 of many)
Colgalt2	colgalt2
Colgalt2	COLGALT2 (1 of many)
Colq	colq
Colq	COLQ (1 of many)
Commd1	commd1
Gm28048	commd1
Commd2	commd2
Commd3	commd3
Commd4	commd4
Commd5	commd5
Commd6	commd6
Commd7	commd7
Commd8	commd8
Commd9	commd9
Comp	COMP
Comt	comta
Comt	comtb
Comtd1	comtd1
Copa	copa
Copb1	copb1
Copb2	copb2
Cope	cope
Copg2	copg2
Cops2	cops2
Cops3	cops3
Cops4	cops4
Cops5	cops5
Cops7a	cops7a
Cops8	cops8
Copz1	copz1
Copz2	copz2
Coq10a	COQ10A
Coq10b	coq10b
Coq2	coq2
Coq3	coq3
Coq4	coq4
Coq5	coq5
Coq6	coq6
Coq7	coq7
Coq8a	COQ8A (1 of many)
Coq9	coq9
Corin	corin
Coro1a	coro1a
Coro1b	coro1b
Coro1c	coro1ca
Coro1c	coro1cb
Coro2a	coro2a
Coro2a	CORO2A (1 of many)
Coro2b	coro2ba
Coro6	coro6
Coro7	coro7
Cotl1	cotl1
Cox10	cox10
Cox11	cox11
Cox14	cox14
Cox15	cox15
Cox16	cox16
Gm21987	cox17
Cox17	cox17
Cox18	cox18
Cox19	cox19
Cox20	cox20
Cox4i1	cox4i1
Cox4i2	cox4i2
Cox5a	cox5aa
Cox5a	cox5ab
Cox5b	COX5B (1 of many)
Gm11273	COX5B (1 of many)
Cox5b	cox5b2
Gm11273	cox5b2
Cox6a1	cox6a1
Cox6a2	cox6a1
Cox6a1	cox6a2
Cox6a2	cox6a2
Cox6b1	cox6b1
Cox6b2	cox6b2
Cox6c	cox6c
Cox7a2	COX7A2 (1 of many)
Cox7a2	cox7a2a
Cox7a2l	cox7a3
Cox7b2	cox7b
Cox7b	cox7b
Cox7c	cox7c
Cox8b	cox8b
Cox8a	cox8b
Cp	cp
Cpa1	cpa1
Cpa2	cpa2
Cpa4	cpa2
Cpa2	cpa4
Cpa4	cpa4
Cpa1	cpa5
Cpa6	cpa6
Cpb2	cpb2
Cpd	cpda
Cpd	cpdb
Cpe	cpe
Cpeb1	cpeb1a
Cpeb1	cpeb1b
Cpeb2	CPEB2
Cpeb3	cpeb3
Cpeb4	cpeb4
Cpeb4	CPEB4 (1 of many)
Cped1	cped1
Cplx1	cplx1
Cplx2	cplx2
Cplx1	cplx2l
Cplx4	cplx4a
Cplx4	cplx4b
Cpm	cpm
Cpn1	cpn1
Cpne1	cpne1
Cpne2	cpne2
Cpne3	cpne3
Cpne4	cpne4a
Cpne4	cpne4b
Cpne5	cpne5a
Cpne5	cpne5b
Cpne7	cpne7
Cpne8	cpne8
Cpne8	CPNE8 (1 of many)
Cpne9	cpne9
Cpox	cpox
Cpped1	cpped1
Cps1	cps1
Cpsf1	cpsf1
Cpsf2	cpsf2
Cpsf3	cpsf3
Ints11	cpsf3l
Cpsf4	cpsf4
Cpsf6	cpsf6
Cpt1a	cpt1aa
Cpt1a	cpt1ab
Cpt1b	cpt1b
Cpt2	cpt2
Cptp	cptp
Cpvl	cpvl
Cpxm1	cpxm1a
Cpxm1	cpxm1b
Cpz	cpz
Gm6020	CR293532.2
Fcgrt	CR339041.1
Mill1	CR339041.1
Mill2	CR339041.1
Fcgrt	CR339041.2
Mill1	CR339041.2
Mill2	CR339041.2
Adcy9	CR339059.1
Pogk	CR352209.1
Il17rc	CR352285.2
Creld1	CR352285.3
Trim29	CR352329.1
Gm24111	CR354430.2
Hist1h1c	CR354435.2
Hist1h1a	CR354435.2
Hist1h1b	CR354435.2
Hist1h1d	CR354435.2
Hist1h1e	CR354435.2
Hist1h1t	CR354435.2
Gm6970	CR354435.2
Zfp287	CR356223.5
Zfp629	CR356223.5
Zfp606	CR356223.5
Zkscan7	CR356223.5
Zfp2	CR356223.5
Zfp329	CR356223.5
Zfp46	CR356223.5
Zfp180	CR356223.5
Zfp3	CR356223.5
Zscan2	CR356223.5
Zfp647	CR356223.5
Zfp623	CR356223.5
Hist1h2bb	CR361568.1
Hist1h2bm	CR361568.1
Hist2h2be	CR361568.1
Rpp25	CR376821.1
Csprs	CR377211.1
Hoxa9	CR382300.2
Eef1d	CR384061.1
Gm6020	CR387997.1
Gm6020	CR388042.2
Gimap3	CR388047.1
Gimap8	CR388047.1
Gimap9	CR388047.1
Gimap1	CR388047.1
Gimap6	CR388047.1
Gimap5	CR388047.1
Gimap7	CR388047.1
Gimap4	CR388047.1
Zfp287	CR388095.2
Zfp629	CR388095.2
Zfp606	CR388095.2
Zkscan7	CR388095.2
Zfp2	CR388095.2
Zfp329	CR388095.2
Zfp46	CR388095.2
Zfp180	CR388095.2
Zfp3	CR388095.2
Zscan2	CR388095.2
Zfp647	CR388095.2
Zfp623	CR388095.2
Zfp287	CR388132.2
Zfp629	CR388132.2
Zfp606	CR388132.2
Zkscan7	CR388132.2
Zfp2	CR388132.2
Zfp329	CR388132.2
Zfp46	CR388132.2
Zfp180	CR388132.2
Zfp3	CR388132.2
Zscan2	CR388132.2
Zfp647	CR388132.2
Zfp623	CR388132.2
Gm13212	CR388165.2
Zfp534	CR388165.2
Gm29106	CR388165.2
Zcchc3	CR388189.1
Zfp287	CR388206.2
Zfp629	CR388206.2
Zfp606	CR388206.2
Zkscan7	CR388206.2
Zfp2	CR388206.2
Zfp329	CR388206.2
Zfp46	CR388206.2
Zfp180	CR388206.2
Zfp3	CR388206.2
Zscan2	CR388206.2
Zfp647	CR388206.2
Zfp623	CR388206.2
Gm13212	CR388363.1
Zfp534	CR388363.1
Gm29106	CR388363.1
Trim35	CR391916.1
Irgc1	CR391937.1
Irgc1	CR391937.2
Trim35	CR394535.1
Fam111a	CR450726.1
Gm17555	CR450729.3
Gm21750	CR450729.3
AC132444.6	CR450729.3
Gm21962	CR450729.3
Gm21897	CR450729.3
Gm21833	CR450729.3
Rnf223	CR450814.2
Gm17555	CR450842.5
Gm21750	CR450842.5
AC132444.6	CR450842.5
Gm21962	CR450842.5
Gm21897	CR450842.5
Gm21833	CR450842.5
Spire1	CR524823.1
Gm4070	CR589947.1
Gvin1	CR589947.1
Gm4070	CR589947.3
Gvin1	CR589947.3
Lekr1	CR626874.1
Hivep2	CR628323.1
Gm17555	CR753816.1
Gm21750	CR753816.1
AC132444.6	CR753816.1
Gm21962	CR753816.1
Gm21897	CR753816.1
Gm21833	CR753816.1
Ifit2	CR759879.1
Ifit3b	CR759879.1
Ifit3	CR759879.1
Ifit1bl1	CR759879.1
Ifit1bl2	CR759879.1
Ifit1	CR759879.1
Ms4a15	CR762404.1
Ms4a18	CR762404.1
Ms4a8a	CR762404.1
Ms4a12	CR762404.1
Ms4a4a	CR762404.1
Ms4a4c	CR762404.1
Ms4a4b	CR762404.1
Ms4a4d	CR762404.1
Hist1h3b	CR762436.2
Pcdhgb6	CR774179.1
Pcdhga3	CR774179.1
Pcdhgb5	CR774179.1
Pcdhgb4	CR774179.1
Pcdhgb7	CR774179.1
Pcdhga8	CR774179.1
Pcdhga9	CR774179.1
Pcdhga12	CR774179.3
Pcdhga11	CR774179.3
Pcdhga7	CR774179.3
Pcdhga1	CR774179.3
Pcdhga6	CR774179.3
Pcdhga4	CR774179.3
Pcdhga10	CR774179.3
Siglec1	CR790369.2
Cd22	CR790369.2
A730017C20Rik	CR790388.2
Adtrp	CR792417.1
Ptchd3	CR792422.1
Fbxl13	CR792430.1
Gm13212	CR812792.1
Zfp534	CR812792.1
Gm29106	CR812792.1
Art2a-ps	CR846080.1
Art2b	CR846080.1
Art4	CR846080.1
Art3	CR846080.1
Art1	CR846080.1
Art5	CR846080.1
Gm17555	CR847512.1
Gm21750	CR847512.1
AC132444.6	CR847512.1
Gm21962	CR847512.1
Gm21897	CR847512.1
Gm21833	CR847512.1
Traf3ip3	CR847543.1
Pcdha11	CR847851.1
Pcdha2	CR847851.1
Pcdha9	CR847851.1
Gm42416	CR847851.1
Pcdha12	CR847851.1
Pcdha7	CR847851.1
Pcdha3	CR847851.1
Pcdha8	CR847851.1
Pcdha1	CR847851.1
Pcdha4	CR847851.1
Pcdha6	CR847851.1
Pcdha11	CR847851.1
Pcdha5	CR847851.1
Sftpa1	CR847898.1
Mbl1	CR847898.1
Mbl2	CR847898.1
Sftpd	CR847898.1
Zfp677	CR847941.2
Gm28363	CR847941.2
B020011L13Rik	CR847941.2
Gm28360	CR847941.2
Gm28168	CR847941.2
Gm7145	CR847941.2
Gm24111	CR847944.3
Rnf39	CR848021.1
Rfpl4	CR848021.1
Mefv	CR848021.1
Nes	CR848841.2
Hmga2	CR854824.1
Nxpe5	CR854829.1
Nxpe5	CR854829.2
Ier2	CR855274.1
Atp8b5	CR855996.2
Gimap3	CR933791.2
Gimap8	CR933791.2
Gimap9	CR933791.2
Gimap1	CR933791.2
Gimap6	CR933791.2
Gimap5	CR933791.2
Gimap7	CR933791.2
Gimap4	CR933791.2
Nectin3	CR936977.2
Dnaaf3	CR954298.1
Crabp1	crabp1a
Crabp1	crabp1b
Crabp2	crabp2a
Crabp2	crabp2b
Cracr2a	CRACR2A (1 of many)
Cracr2a	cracr2ab
Cracr2b	cracr2b
Cradd	cradd
Cramp1l	cramp1
Crat	CRAT (1 of many)
Crat	crata
Crb1	crb1
Crb2	crb2a
Crb2	crb2b
Crbn	crbn
Crcp	crcp
Creb1	creb1a
Creb1	creb1b
Creb3l1	creb3l1
Creb3l2	creb3l2
Creb3l3	creb3l3a
Creb3l3	creb3l3b
Creb3	creb3l3l
Creb5	creb5b
Crebbp	crebbpa
Crebbp	crebbpb
Crebl2	crebl2
Crebrf	crebrf
Crebzf	crebzf
Creg1	creg1
Creg2	creg2
Creld1	creld1b
Creld2	creld2
Crem	crema
Crem	cremb
Gm21970	crfb15
Il10rb	crfb15
Il20rb	crfb16
Gm21970	crfb4
Il10rb	crfb4
Crh	crha
Crh	crhb
Crhbp	crhbp
Crhr1	crhr1
Crhr2	CRHR2
Crim1	crim1
Crip1	crip1
Crip2	CRIP2
Crip3	crip3
Cript	cript
Crisp4	CRISP3
Crisp3	CRISP3
Crisp1	CRISP3
Crisp2	CRISP3
Crispld1	crispld1a
Crispld1	crispld1b
Crispld2	CRISPLD2
Crk	crk
Crkl	crkl
Crlf1	crlf1a
Crlf1	crlf1b
Crlf3	crlf3
Crls1	crls1
Crmp1	crmp1
Crnkl1	crnkl1
Crocc2	crocc2
Crot	crot
Crtac1	crtac1a
Crtac1	crtac1b
Crtap	crtap
Crtc2	crtc2
Crtc3	crtc3
Cry1	cry1aa
Cry1	cry1ab
Cry2	cry2
Cryaa	cryaa
Cryab	cryaba
Cryab	cryabb
Cryba1	cryba1a
Cryba1	cryba1b
Cryba2	cryba2a
Cryba2	cryba2b
Cryba4	cryba4
Crybb1	crybb1
Crybb2	crybb2
Crybb3	crybb3
Cryge	CRYGB
Crygd	CRYGB
Crygc	CRYGB
Crygb	CRYGB
Cryga	CRYGB
Crygf	CRYGB
Crygn	crygn1
Crygn	crygn2
Crygs	crygs1
Crygs	crygs2
Cryl1	cryl1
Crym	crym
Cryz	cryz
Cryzl1	cryzl1
Csl	cs
Cs	cs
Csad	csad
Csdc2	CSDC2 (1 of many)
Csdc2	csdc2a
Csde1	csde1
Cse1l	cse1l
Csf1r	csf1ra
Csf1r	csf1rb
Csf2rb	csf2rb
Csf2rb2	csf2rb
Csf3r	csf3r
Csgalnact1	CSGALNACT1 (1 of many)
Csgalnact2	csgalnact2
Csk	csk
Csmd2	csmd2
Csmd3	CSMD3
Csnk1a1	csnk1a1
Csnk1d	csnk1db
Csnk1e	csnk1e
Csnk1g1	csnk1g1
Csnk1g2	csnk1g2a
Csnk1g2	csnk1g2b
Csnk2a2	csnk2a2a
Csnk2a2	csnk2a2b
Csnk2a1	csnk2a4
Gm10031	csnk2a4
Csnk2b	csnk2b
Cspg4	cspg4
Cspg5	cspg5a
Cspg5	cspg5b
Cspp1	cspp1a
Cspp1	cspp1b
Csrnp1	csrnp1a
Csrnp1	csrnp1b
Csrnp2	csrnp2
Csrp1	csrp1a
Csrp1	csrp1b
Csrp2	csrp2
Csrp2bp	csrp2bp
Csrp3	csrp3
Csta1	cst14a.1
Gm5416	cst14a.1
2010005H15Rik	cst14a.1
BC100530	cst14a.1
Cstb	cst14a.1
Stfa2l1	cst14a.1
Stfa1	cst14a.1
Stfa3	cst14a.1
Gm4758	cst14a.1
Gm5689	cst14a.1
Stfa2	cst14a.1
Gm5483	cst14a.1
BC117090	cst14a.1
Csta1	cst14a.2
Gm5416	cst14a.2
2010005H15Rik	cst14a.2
BC100530	cst14a.2
Cstb	cst14a.2
Stfa2l1	cst14a.2
Stfa1	cst14a.2
Stfa3	cst14a.2
Gm4758	cst14a.2
Gm5689	cst14a.2
Stfa2	cst14a.2
Gm5483	cst14a.2
BC117090	cst14a.2
Csta1	cst14b.1
Gm5416	cst14b.1
2010005H15Rik	cst14b.1
BC100530	cst14b.1
Cstb	cst14b.1
Stfa2l1	cst14b.1
Stfa1	cst14b.1
Stfa3	cst14b.1
Gm4758	cst14b.1
Gm5689	cst14b.1
Stfa2	cst14b.1
Gm5483	cst14b.1
BC117090	cst14b.1
Cst10	cst3
Cstl1	cst3
Cst11	cst3
Cst8	cst3
Cst13	cst3
Cst3	cst3
Cst7	CST7
Cstf1	cstf1
Cstf2	cstf2
Cstf2t	cstf2
Cstf3	cstf3
Parm1	CT027832.1
Lsp1	CT030188.1
Pcdhgb6	CT573264.1
Pcdhga3	CT573264.1
Pcdhgb5	CT573264.1
Pcdhgb4	CT573264.1
Pcdhgb7	CT573264.1
Pcdhga8	CT573264.1
Pcdhga9	CT573264.1
Pcdhgb6	CT573264.2
Pcdhga3	CT573264.2
Pcdhgb5	CT573264.2
Pcdhgb4	CT573264.2
Pcdhgb7	CT573264.2
Pcdhga8	CT573264.2
Pcdhga9	CT573264.2
Pcdhgb6	CT573264.3
Pcdhga3	CT573264.3
Pcdhgb5	CT573264.3
Pcdhgb4	CT573264.3
Pcdhgb7	CT573264.3
Pcdhga8	CT573264.3
Pcdhga9	CT573264.3
Ssc4d	CT583642.1
Gpr35	CT583662.1
Mdga1	CT737192.1
Epha5	CT990561.1
Ctage5	ctage5
Ctbp1	CTBP1
Ctbp2	ctbp2a
Ctbs	ctbs
Ctc1	ctc1
Ctcf	ctcf
Ctdnep1	ctdnep1a
Ctdnep1	ctdnep1b
Ctdp1	ctdp1
Ctdsp1	ctdsp1
Ctdsp2	ctdsp2
Ctdspl2	ctdspl2a
Ctdspl2	ctdspl2b
Ctdspl	ctdspla
Ctdspl	ctdsplb
Ctgf	ctgfa
Cth	cth
Cth	cthl
Cthrc1	cthrc1a
Cthrc1	cthrc1b
Ctif	CTIF
Ctnna1	ctnna1
Ctnnal1	ctnnal1
Ctnnb1	ctnnb1
Ctnnbip1	ctnnbip1
Ctnnbl1	ctnnbl1
Gm28635	ctnnd1
Ctnnd1	ctnnd1
Ctnnd2	ctnnd2a
Ctnnd2	ctnnd2b
Ctns	ctns
Ctps	ctps1a
Ctps	ctps1b
Ctr9	ctr9
Ctrb1	ctrb1
Ctrl	ctrl
Ctrl	CTRL (1 of many)
Ctsa	ctsa
Ctsc	ctsc
AC034099.1	ctsd
Ctsd	ctsd
Ctsf	ctsf
Ctsh	ctsh
Ctsk	ctsk
Ctsq	ctsla
Cts6	ctsla
Ctsl	ctsla
4930486L24Rik	ctsla
Ctsj	ctsla
Cts8	ctsla
Cts7	ctsla
Ctsll3	ctsla
Ctsr	ctsla
Ctsm	ctsla
Cts3	ctsla
BC051665	ctsla
Ctsq	ctslb
Cts6	ctslb
Ctsl	ctslb
4930486L24Rik	ctslb
Ctsj	ctslb
Cts8	ctslb
Cts7	ctslb
Ctsll3	ctslb
Ctsr	ctslb
Ctsm	ctslb
Cts3	ctslb
BC051665	ctslb
Ctsq	ctsll
Cts6	ctsll
Ctsl	ctsll
4930486L24Rik	ctsll
Ctsj	ctsll
Cts8	ctsll
Cts7	ctsll
Ctsll3	ctsll
Ctsr	ctsll
Ctsm	ctsll
Cts3	ctsll
BC051665	ctsll
Ctso	ctso
Ctss	ctss2.1
Ctss	ctss2.2
Ctsz	ctsz
Cttn	cttn
Cttnbp2	cttnbp2
Cttnbp2nl	CTTNBP2NL (1 of many)
Cttnbp2nl	cttnbp2nlb
Ctu1	ctu1
Ctu2	ctu2
Ctxn1	ctxn1
Ctxn2	CTXN2
Ctxn3	ctxn3
Xkr5	CU019637.1
Ppp1r36	CU138512.1
Cdhr2	CU302253.1
Ccdc136	CU302436.3
Pla2g3	CU459012.1
Gm17555	CU462878.2
Gm21750	CU462878.2
AC132444.6	CU462878.2
Gm21962	CU462878.2
Gm21897	CU462878.2
Gm21833	CU462878.2
Gm17555	CU463109.2
Gm21750	CU463109.2
AC132444.6	CU463109.2
Gm21962	CU463109.2
Gm21897	CU463109.2
Gm21833	CU463109.2
Gm17555	CU466240.1
Gm21750	CU466240.1
AC132444.6	CU466240.1
Gm21962	CU466240.1
Gm21897	CU466240.1
Gm21833	CU466240.1
Dynlrb1	CU467888.1
Serpinb3a	CU469384.1
Serpinb3d	CU469384.1
Serpinb3c	CU469384.1
Serpinb3b	CU469384.1
Serpinb11	CU469384.1
Serpinb7	CU469384.1
Serpinb2	CU469384.1
Serpinb10	CU469384.1
Serpinb8	CU469384.1
Serpinb1a	CU469384.1
Serpinb1c	CU469384.1
Serpinb6b	CU469384.1
Serpinb9	CU469384.1
Serpinb9b	CU469384.1
Serpinb5	CU469384.1
Serpinb12	CU469384.1
Serpinb1b	CU469384.1
Serpinb13	CU469384.1
Serpinb9c	CU469384.1
Serpinb9d	CU469384.1
Serpinb9e	CU469384.1
Serpinb9f	CU469384.1
Gm11397	CU469384.1
Serpinb6d	CU469384.1
Serpinb6e	CU469384.1
Serpinb6c	CU469384.1
Serpinb6a	CU469384.1
Gm30191	CU469384.2
Itga6	CU469503.1
Plbd2	CU469570.3
Zfp507	CU550716.1
Zfp507	CU550716.2
Igkv14-130	CU570684.1
Igkv14-126	CU570684.1
Igkv11-125	CU570684.1
Igkv9-124	CU570684.1
Igkv9-123	CU570684.1
Igkv14-111	CU570684.1
Igkv16-104	CU570684.1
Igkv15-103	CU570684.1
Igkv14-100	CU570684.1
Igkv10-96	CU570684.1
Igkv10-94	CU570684.1
Igkv19-93	CU570684.1
Igkv12-44	CU570684.1
Igkv6-32	CU570684.1
Igkv8-28	CU570684.1
Igkv6-14	CU570684.1
Igkv6-13	CU570684.1
Igkv3-12	CU570684.1
Igkv3-10	CU570684.1
Igkv3-9	CU570684.1
Igkv3-5	CU570684.1
Igkv3-4	CU570684.1
Igkv3-3	CU570684.1
Igkv3-2	CU570684.1
Igkv14-130	CU570684.2
Igkv14-126	CU570684.2
Igkv11-125	CU570684.2
Igkv9-124	CU570684.2
Igkv9-123	CU570684.2
Igkv14-111	CU570684.2
Igkv16-104	CU570684.2
Igkv15-103	CU570684.2
Igkv14-100	CU570684.2
Igkv10-96	CU570684.2
Igkv10-94	CU570684.2
Igkv19-93	CU570684.2
Igkv12-44	CU570684.2
Igkv6-32	CU570684.2
Igkv8-28	CU570684.2
Igkv6-14	CU570684.2
Igkv6-13	CU570684.2
Igkv3-12	CU570684.2
Igkv3-10	CU570684.2
Igkv3-9	CU570684.2
Igkv3-5	CU570684.2
Igkv3-4	CU570684.2
Igkv3-3	CU570684.2
Igkv3-2	CU570684.2
Igkv14-130	CU570684.3
Igkv14-126	CU570684.3
Igkv11-125	CU570684.3
Igkv9-124	CU570684.3
Igkv9-123	CU570684.3
Igkv14-111	CU570684.3
Igkv16-104	CU570684.3
Igkv15-103	CU570684.3
Igkv14-100	CU570684.3
Igkv10-96	CU570684.3
Igkv10-94	CU570684.3
Igkv19-93	CU570684.3
Igkv12-44	CU570684.3
Igkv6-32	CU570684.3
Igkv8-28	CU570684.3
Igkv6-14	CU570684.3
Igkv6-13	CU570684.3
Igkv3-12	CU570684.3
Igkv3-10	CU570684.3
Igkv3-9	CU570684.3
Igkv3-5	CU570684.3
Igkv3-4	CU570684.3
Igkv3-3	CU570684.3
Igkv3-2	CU570684.3
Taar5	CU570800.1
Taar6	CU570800.1
Taar7a	CU570800.1
Taar7b	CU570800.1
Taar7d	CU570800.1
Taar7e	CU570800.1
