genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/Sheep_Ovis_aries_Oar_v3.1/oa3.ens90.P2000M.gtf none -d mic_sheep1.M mic_sheep2.M mic_sheep3.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	mic_sheep1.M (1263768.0 total)	mic_sheep2.M (2196952.0 total)	mic_sheep3.M (3022681.0 total)
ENSOARG00000008305	ENSOART00000009036	chr4	66040726	66043179	-	2368.0	1	0.000	0.000	0.000	0.000
VWA1	ENSOART00000003731	chr12	49177248	49182963	-	3171.0	1	0.000	8.000	5.000	19.000
ZNF157	ENSOART00000014474	chrX	54034626	54069102	-	7673.0	1	0.000	0.000	1.000	2.000
UNC13A	ENSOART00000017217	chr5	5200073	5256985	+	7093.0	1	0.000	0.000	0.000	0.000
BCL2L15	ENSOART00000021691	chr1	90333281	90339845	-	2485.0	1	0.000	0.000	0.000	2.000
ENSOARG00000012055	ENSOART00000013114	chrX	95376536	95399834	-	2642.0	1	0.000	8.000	11.000	25.000
B3GNT5	ENSOART00000022503	chr1	202013373	202033719	-	3515.0	1	0.000	1.000	0.000	0.000
ENSOARG00000003691	ENSOART00000004006	chr14	61815609	61817431	-	1715.0	1	0.000	10.000	26.000	23.000
TMEM55A	ENSOART00000010976	chr9	86006467	86046404	+	2667.0	1	0.000	1.000	16.000	8.000
ENSOARG00000022799	ENSOART00000024701	chr4	16252834	16254906	+	2072.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017588	ENSOART00000019139	chr18	34892932	34893750	-	818.0	1	0.000	0.000	0.000	2.000
ENSOARG00000010955	ENSOART00000011917	chr22	17992016	17994681	+	2655.0	1	0.000	0.000	0.000	0.000
ITGA6	ENSOART00000001284	chr2	136223512	136273704	-	8810.0	1	0.000	38.000	42.000	111.000
ENSOARG00000003580	ENSOART00000003888	chr8	59949860	59952648	+	2788.0	1	0.000	0.000	0.000	0.000
ENSOARG00000014161	ENSOART00000015424	chr19	49473632	49473910	+	278.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026706	ENSOART00000028734	chr7	44793447	44797490	+	608.0	1	0.000	0.000	0.000	0.000
JAK3	ENSOART00000015935	chr5	5040716	5053490	+	3237.0	1	0.000	0.000	0.000	3.000
ANKUB1	ENSOART00000005146	chr1	236401591	236434933	+	3624.0	1	0.000	1.000	1.000	0.000
SNN	ENSOART00000011622	chr24	10368431	10370694	+	2263.0	1	0.000	13.000	6.000	14.000
SIPA1	ENSOART00000018710	chr21	43127812	43139091	+	5144.0	1	0.000	605.000	988.000	1486.000
PEX11A	ENSOART00000012766	chr18	20212019	20219160	-	2742.0	1	0.000	1.000	0.000	3.000
KIAA1191	ENSOART00000017995	chr7	4781945	4795831	+	3111.0	1	0.000	76.000	142.000	190.000
LRRFIP2	ENSOART00000017972	chr19	10318104	10404760	+	3973.0	1	0.000	45.000	101.000	82.000
NT5DC3	ENSOART00000017601	chr3	172526705	172590303	-	3614.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026099	ENSOART00000028084	chr21	27062545	27064445	+	1270.0	1	0.000	0.000	0.000	0.000
ENSOARG00000023269	ENSOART00000025171	chr19	22436439	22436522	-	83.0	1	0.000	0.000	0.000	0.000
DLX5	ENSOART00000004893	chr4	14259149	14268503	-	6519.0	1	0.000	0.000	0.000	0.000
VRK1	ENSOART00000000112	chr18	60336286	60407148	+	3472.0	1	0.000	6.000	7.000	11.000
GLRA1	ENSOART00000010064	chr5	60551280	60602190	-	3356.0	1	0.000	0.000	0.000	0.000
ENSOARG00000016375	ENSOART00000017828	chrX	109577611	109582543	-	2261.0	1	0.000	84.000	207.000	264.000
NEBL	ENSOART00000000489	chr13	21172224	21289099	-	4993.0	1	0.000	0.000	0.000	0.000
CDC7	ENSOART00000017361	chr1	67997214	68023818	+	4004.0	1	0.000	19.000	55.000	39.000
TRAPPC5	ENSOART00000002584	chr5	14198473	14201148	+	1361.0	1	0.000	70.000	121.000	215.000
MRPL2	ENSOART00000005871	chr20	16740146	16747111	-	3214.0	1	0.000	49.000	61.000	97.000
TYR	ENSOART00000004229	chr21	5742320	5858941	-	5652.0	1	0.000	0.000	0.000	0.000
RPL7A	ENSOART00000004964	chr13	33832846	33835655	-	2809.0	1	0.000	120.000	173.000	109.000
THRA	ENSOART00000014008	chr11	39957731	39973047	+	3945.0	1	0.000	5.000	7.000	10.000
NUDT5	ENSOART00000016515	chr13	15830391	15846356	-	2694.0	1	0.000	22.000	34.000	53.000
KCNB1	ENSOART00000013692	chr13	77051742	77159260	-	4610.0	1	0.000	0.000	0.000	0.000
METTL24	ENSOART00000010944	chr8	26996941	27078802	+	2785.0	1	0.000	0.000	0.000	0.000
PVT1_1	ENSOART00000025538	chr6	35635224	35637411	+	2187.0	1	0.000	0.000	0.000	0.000
ENSOARG00000019493	ENSOART00000021231	chr7	22305052	22307442	-	2216.0	1	0.000	0.000	0.000	0.000
TMPRSS9	ENSOART00000015006	chr5	18724253	18757169	-	5241.0	1	0.000	0.000	0.000	0.000
GIGYF1	ENSOART00000017579	chr24	35788734	35797327	+	5289.0	1	0.000	80.000	52.000	106.000
ENSOARG00000007347	ENSOART00000007991	chr18	67490430	67509003	+	4185.0	1	0.000	0.000	0.000	0.000
GJB2	ENSOART00000018600	chr10	36271774	36274454	+	2680.0	1	0.000	0.000	0.000	1.000
ENSOARG00000026764	ENSOART00000028796	chr22	46750806	46754566	-	3707.0	1	0.000	0.000	0.000	0.000
TTC28	ENSOART00000002278	chr17	67103433	67512072	-	8816.0	1	0.000	8.000	52.000	78.000
FASTKD3	ENSOART00000015831	chr16	65236805	65247093	+	4022.0	1	0.000	1.000	5.000	7.000
ANKRD35	ENSOART00000022460	chr1	98226230	98243909	-	4924.0	1	0.000	0.000	1.000	0.000
EIF3A	ENSOART00000000841	chr22	38198862	38229329	-	8758.0	1	0.000	55.000	82.000	133.000
SIRT6	ENSOART00000011530	chr5	17425237	17434825	+	3067.0	1	0.000	12.000	12.000	42.000
SPINT2	ENSOART00000006049	chr14	47268593	47297214	+	2738.0	1	0.000	102.000	230.000	349.000
ENSOARG00000000724	ENSOART00000000774	chrUn_JH922374	13826	21866	-	2545.0	1	0.000	0.000	0.000	0.000
MEDAG	ENSOART00000012837	chr10	30248695	30265933	-	3650.0	1	0.000	0.000	0.000	0.000
ENSOARG00000000919	ENSOART00000000984	chrX	124988727	124991171	+	2421.0	1	0.000	2.000	5.000	11.000
MSANTD4	ENSOART00000002937	chr15	1334444	1335985	+	1196.0	1	0.000	1.000	3.000	5.000
PLA2G2D	ENSOART00000010302	chr2	245426749	245437347	+	3706.0	1	0.000	0.000	0.000	0.000
SERPINA1	ENSOART00000016196	chr18	57910144	57916083	-	3285.0	1	0.000	0.000	1.000	1.000
HIVEP3	ENSOART00000022188	chr1	15828095	15885701	-	9050.0	1	0.000	146.000	210.000	204.000
ENSOARG00000018686	ENSOART00000020339	chr24	23284024	23287342	+	488.0	1	0.000	0.000	0.000	0.000
ENSOARG00000000202	ENSOART00000000208	chrUn_JH922464	2574	5230	+	2445.0	1	0.000	0.000	0.000	0.000
VAMP1	ENSOART00000008963	chr3	207867834	207871522	+	2350.0	1	0.000	20.000	56.000	32.000
ADAM22	ENSOART00000012407	chr4	72069333	72072039	+	2243.0	1	0.000	0.000	0.000	0.000
ENSOARG00000015168	ENSOART00000016511	chr24	35432755	35438155	+	3269.0	1	0.000	0.000	0.000	0.000
SNX33	ENSOART00000002105	chr18	32126688	32136866	-	3702.0	1	0.000	5.000	1.000	3.000
ENSOARG00000025522	ENSOART00000027448	chr1	43541411	43542272	-	414.0	1	0.000	0.000	0.000	0.000
GIN1	ENSOART00000020065	chr5	99345327	99377557	-	4185.0	1	0.000	21.000	44.000	50.000
Vax2os1_3	ENSOART00000026696	chr3	92893696	92893891	+	195.0	1	0.000	0.000	0.000	0.000
UPRT	ENSOART00000019818	chrX	63903969	63925627	+	2908.0	1	0.000	4.000	20.000	23.000
RASL10A	ENSOART00000004255	chr17	68120960	68125602	-	2629.0	1	0.000	1.000	1.000	2.000
COLEC10	ENSOART00000010439	chr9	57946374	57991512	-	2826.0	1	0.000	0.000	0.000	0.000
CACNG6	ENSOART00000001022	chr14	58917858	58934185	+	2770.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018372	ENSOART00000019994	chr12	78036238	78037269	-	1015.0	1	0.000	0.000	0.000	0.000
MMEL1	ENSOART00000019282	chr12	48322401	48361790	+	4261.0	1	0.000	0.000	0.000	0.000
MRPL53	ENSOART00000013806	chr3	96264881	96267411	-	2331.0	1	0.000	37.000	129.000	110.000
ENSOARG00000026682	ENSOART00000028709	chr7	3558462	3658896	+	1866.0	1	0.000	0.000	0.000	0.000
ENSOARG00000019248	ENSOART00000020959	chr1	7153456	7154292	-	810.0	1	0.000	0.000	0.000	0.000
EGLN3	ENSOART00000007261	chr18	43292794	43322556	-	3036.0	1	0.000	6.000	5.000	5.000
NHLRC2	ENSOART00000014894	chr22	33262707	33318235	+	5078.0	1	0.000	27.000	41.000	51.000
PARVA	ENSOART00000009033	chr15	39783022	39847574	-	3003.0	1	0.000	0.000	0.000	0.000
ENSOARG00000004574	ENSOART00000004977	chr14	44366525	44367836	-	277.0	1	0.000	0.000	0.000	0.000
APLN	ENSOART00000016205	chrX	107901481	107904226	-	2246.0	1	0.000	0.000	0.000	0.000
SPNS3	ENSOART00000020754	chr11	24527709	24589641	+	3591.0	1	0.000	5.000	8.000	8.000
SOX8	ENSOART00000015753	chr24	736659	741792	+	3177.0	1	0.000	0.000	0.000	0.000
ENSOARG00000024288	ENSOART00000026190	chr19	54982631	54982716	-	85.0	1	0.000	0.000	0.000	0.000
CTNND2	ENSOART00000015087	chr16	61653247	62144024	+	5175.0	1	0.000	0.000	0.000	1.000
ENSOARG00000026849	ENSOART00000028887	chr15	79923487	80078282	-	2337.0	1	0.000	0.000	0.000	0.000
ENSOARG00000008085	ENSOART00000008800	chr16	25550588	25551068	-	467.0	1	0.000	0.000	0.000	0.000
ENSOARG00000014946	ENSOART00000016267	chr10	38707084	38708439	+	1235.0	1	0.000	0.000	0.000	0.000
ENSOARG00000003152	ENSOART00000003412	chr25	2376484	2379980	-	2928.0	1	0.000	0.000	0.000	0.000
WNK4	ENSOART00000003896	chr11	42299728	42316069	+	5569.0	1	0.000	5.000	2.000	5.000
ENSOARG00000026273	ENSOART00000028272	chr10	8709264	8786349	+	1421.0	1	0.000	0.000	1.000	0.000
ENSOARG00000020143	ENSOART00000021931	chr7	32876680	32910333	+	2186.0	1	0.000	0.000	0.000	0.000
FCGR2B	ENSOART00000010985	chr1	111115681	111134021	+	2925.0	1	0.000	34.000	31.000	185.000
NOC3L	ENSOART00000004327	chr22	15346318	15374721	-	4359.0	1	0.000	16.000	37.000	41.000
ENSOARG00000002074	ENSOART00000002230	chrUn_AMGL01124211	21	4554	+	2754.0	1	0.000	0.000	0.000	0.000
ECM2	ENSOART00000008962	chr2	28621797	28651595	+	4119.0	1	0.000	0.000	0.000	0.000
ENSOARG00000017190	ENSOART00000018707	chr15	44365815	44368747	+	2932.0	1	0.000	0.000	0.000	0.000
ENSOARG00000002642	ENSOART00000002857	chr7	85795918	85801678	+	326.0	1	0.000	24.000	44.000	49.000
ENSOARG00000024769	ENSOART00000026671	chr2	129085369	129085438	-	69.0	1	0.000	0.000	0.000	0.000
ENSOARG00000004505	ENSOART00000004902	chr4	113488190	113530851	-	3983.0	1	0.000	36.000	65.000	91.000
VGLL3	ENSOART00000018486	chr1	153693792	153719543	-	2944.0	1	0.000	0.000	0.000	0.000
INTS8	ENSOART00000007082	chr9	82075576	82125587	-	7951.0	1	0.000	9.000	22.000	13.000
ENSOARG00000026872	ENSOART00000028914	chr20	28412893	28525467	-	2430.0	1	0.000	0.000	0.000	7.000
PLPP1	ENSOART00000008406	chr16	23749066	23799861	+	2847.0	1	0.000	67.000	145.000	179.000
ROCK2	ENSOART00000017315	chr3	20056708	20142307	-	6505.0	1	0.000	11.000	41.000	33.000
ENSOARG00000001178	ENSOART00000001256	chr11	24846460	24848996	-	2516.0	1	0.000	0.000	0.000	0.000
ENSOARG00000008400	ENSOART00000009140	chr2	64094765	64094887	+	122.0	1	0.000	0.000	0.000	0.000
ENSOARG00000021637	ENSOART00000023539	chr3	64249088	64249162	-	74.0	1	0.000	0.000	0.000	0.000
MLST8	ENSOART00000019417	chr24	1717104	1723314	+	4619.0	1	0.000	20.000	23.000	31.000
FBXO28	ENSOART00000017218	chr12	25402650	25433388	+	7107.0	1	0.000	13.000	38.000	51.000
CYP7B1	ENSOART00000018521	chr9	42116013	42291040	-	7444.0	1	0.000	0.000	0.000	0.000
SORCS1	ENSOART00000009491	chr22	26357945	26623714	-	4918.0	1	0.000	0.000	0.000	0.000
DSCR3	ENSOART00000015602	chr1	267511499	267537693	-	3225.0	1	0.000	31.000	48.000	76.000
DMXL1	ENSOART00000001344	chr5	32127680	32259657	-	12015.0	1	0.000	20.000	67.000	59.000
MYL10	ENSOART00000016002	chr24	35085594	35099624	+	5689.0	1	0.000	0.000	0.000	0.000
PRR13	ENSOART00000017945	chr3	132907182	132911275	-	2418.0	1	0.000	28.000	41.000	59.000
ZNF174	ENSOART00000001853	chr24	2843572	2855006	+	7028.0	1	0.000	34.000	49.000	93.000
MYCT1	ENSOART00000004233	chr8	76261228	76278145	+	2688.0	1	0.000	0.000	0.000	0.000
ENSOARG00000023584	ENSOART00000025486	chr6	100766252	100768321	+	2069.0	1	0.000	0.000	0.000	0.000
ENSOARG00000007974	ENSOART00000008682	chrX	78198100	78201562	-	2999.0	1	0.000	0.000	0.000	0.000
FAM160A1	ENSOART00000005315	chr17	5932078	6242057	-	5501.0	1	0.000	0.000	0.000	0.000
oar-mir-411b	ENSOART00000023312	chr18	64621476	64621576	+	100.0	1	0.000	0.000	0.000	0.000
NPAS1	ENSOART00000011824	chr14	53147821	53166248	+	3753.0	1	0.000	0.000	0.000	1.000
CRISPLD2	ENSOART00000012025	chr14	10472790	10515097	+	3456.0	1	0.000	0.000	0.000	0.000
LOXL4	ENSOART00000012719	chr22	18553348	18575996	-	4403.0	1	0.000	0.000	0.000	0.000
ENSOARG00000010646	ENSOART00000011581	chr5	4098880	4103530	+	973.0	1	0.000	5.000	10.000	15.000
DUOX1	ENSOART00000022937	chr7	62231421	62264350	-	6500.0	1	0.000	1.000	0.000	0.000
HDAC10	ENSOART00000021538	chr3	223853030	223860104	-	3974.0	1	0.000	14.000	19.000	16.000
MRS2	ENSOART00000007976	chr20	32212542	32245747	-	3347.0	1	0.000	14.000	18.000	25.000
ENSOARG00000010130	ENSOART00000011022	chr5	40860243	40888982	+	1824.0	1	0.000	19.000	23.000	56.000
ENSOARG00000024105	ENSOART00000026007	chr8	73759319	73761405	+	2086.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026863	ENSOART00000028901	chr20	25373229	25378720	-	2382.0	1	0.000	0.000	0.000	0.000
ENSOARG00000002231	ENSOART00000002406	chr6	97554997	97570005	-	2480.0	1	0.000	0.000	0.000	1.000
ENSOARG00000004929	ENSOART00000005369	chr6	72195008	72212010	+	4989.0	1	0.000	3.000	5.000	4.000
ENSOARG00000009307	ENSOART00000010127	chr2	110614770	110615165	+	395.0	1	0.000	0.000	0.000	1.000
WFDC2	ENSOART00000006627	chr13	73883246	73888590	+	2300.0	1	0.000	0.000	0.000	0.000
ENSOARG00000012283	ENSOART00000013355	chr1	262782251	262786587	-	310.0	1	0.000	0.000	0.000	0.000
REXO1	ENSOART00000013961	chr5	41541791	41561549	-	5621.0	1	0.000	55.000	43.000	124.000
AMFR	ENSOART00000020099	chr14	23709979	23741132	+	4038.0	1	0.000	54.000	190.000	274.000
PAH	ENSOART00000017281	chr3	171671799	171759140	-	3331.0	1	0.000	0.000	0.000	0.000
ATOH7	ENSOART00000005374	chr25	24508627	24511417	-	2424.0	1	0.000	1.000	0.000	0.000
LTB	ENSOART00000008986	chr20	26850361	26854189	+	2729.0	1	0.000	13.000	13.000	10.000
TMEM263	ENSOART00000019360	chr3	175315743	175320891	+	2345.0	1	0.000	5.000	25.000	30.000
EEF1G	ENSOART00000016481	chr21	40298609	40312785	-	6458.0	1	0.000	181.000	303.000	488.000
HMGXB4	ENSOART00000019995	chr3	178574417	178603360	+	3951.0	1	0.000	51.000	84.000	122.000
ENSOARG00000019460	ENSOART00000021194	chr1	86930889	86941609	+	1804.0	1	0.000	0.000	8.000	0.000
ENSOARG00000006469	ENSOART00000007029	chr13	62009503	62018909	+	706.0	1	0.000	0.000	0.000	0.000
ENSOARG00000008946	ENSOART00000009743	chr6	84250293	84270165	-	3591.0	1	0.000	0.000	0.000	0.000
FAM71D	ENSOART00000023062	chr7	76001414	76012409	+	3182.0	1	0.000	0.000	0.000	0.000
SPATA6	ENSOART00000004321	chr1	22575261	22714032	-	3442.0	1	0.000	15.000	49.000	66.000
GPHN	ENSOART00000023060	chr7	75441040	75987531	+	4329.0	1	0.000	15.000	15.000	20.000
ENSOARG00000016124	ENSOART00000017558	chr16	70954884	71090710	+	283.0	1	0.000	0.000	0.000	0.000
FAM135A	ENSOART00000012327	chr9	3678088	3766322	-	6419.0	1	0.000	40.000	73.000	101.000
uc_338	ENSOART00000024099	chr5	55160419	55162573	+	2154.0	1	0.000	65.000	117.000	126.000
SCOC	ENSOART00000005056	chr13	43858846	43861205	+	2359.0	1	0.000	2.000	11.000	17.000
LIN7C	ENSOART00000016417	chr15	56358797	56367995	-	2585.0	1	0.000	10.000	18.000	15.000
A4GNT	ENSOART00000008302	chr1	249075546	249082272	+	3023.0	1	0.000	0.000	0.000	1.000
BPI	ENSOART00000020401	chr13	66754362	66787791	+	3582.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026468	ENSOART00000028478	chr18	66590600	66596940	-	619.0	1	0.000	0.000	0.000	0.000
COX2	ENSOART00000000019	chrM	7019	7702	+	683.0	1	0.000	131.000	174.000	264.000
ENSOARG00000008889	ENSOART00000009680	chr2	91750238	91750564	+	326.0	1	0.000	4.000	4.000	3.000
SRR	ENSOART00000016667	chr11	22905161	22923261	+	3005.0	1	0.000	0.000	0.000	1.000
MYPN	ENSOART00000005367	chr25	24413625	24500304	+	6264.0	1	0.000	0.000	0.000	0.000
ENSOARG00000019209	ENSOART00000020916	chrX	35930052	35932588	-	2536.0	1	0.000	0.000	0.000	0.000
FGD5	ENSOART00000019364	chr19	57233529	57343558	-	6219.0	1	0.000	7.000	35.000	81.000
CXCR6	ENSOART00000015547	chr19	53288059	53291096	-	3037.0	1	0.000	0.000	0.000	0.000
SHANK2	ENSOART00000000898	chr21	46858749	46883416	-	5424.0	1	0.000	0.000	0.000	0.000
ENSOARG00000001368	ENSOART00000001466	chrUn_JH921943	1165	4547	-	659.0	1	0.000	0.000	0.000	0.000
ENSOARG00000012897	ENSOART00000014018	chr17	62534598	62557425	+	6418.0	1	0.000	0.000	0.000	0.000
CNGB3	ENSOART00000012656	chr9	88625040	88719847	+	3969.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025162	ENSOART00000027064	chr20	27700367	27705756	-	2262.0	1	0.000	0.000	0.000	0.000
ATP2C2	ENSOART00000011652	chr14	10104811	10165451	+	4688.0	1	0.000	0.000	0.000	1.000
SLC38A8	ENSOART00000010918	chr14	9806666	9849795	-	3289.0	1	0.000	0.000	0.000	0.000
ENSOARG00000007643	ENSOART00000008320	chr4	118486964	118491867	-	2494.0	1	0.000	0.000	0.000	0.000
ENSOARG00000019606	ENSOART00000021349	chr7	22780095	22819943	-	576.0	1	0.000	0.000	0.000	0.000
ENSOARG00000026926	ENSOART00000028972	chr14	48658663	48739254	-	908.0	1	0.000	0.000	0.000	1.000
KLHL34	ENSOART00000017448	chrX	18924660	18928108	-	3326.0	1	0.000	0.000	0.000	1.000
BRINP2	ENSOART00000016691	chr12	56545767	56607876	+	4356.0	1	0.000	0.000	0.000	0.000
GLB1L3	ENSOART00000015189	chr15	80595688	80630412	+	6894.0	1	0.000	0.000	0.000	0.000
ENSOARG00000006231	ENSOART00000006776	chrX	71551814	71554113	-	2299.0	1	0.000	0.000	0.000	0.000
ENSOARG00000013904	ENSOART00000015131	chr18	65194763	65195158	+	395.0	1	0.000	0.000	0.000	0.000
GLIPR1	ENSOART00000016105	chr3	111319645	111359456	+	2808.0	1	0.000	38.000	131.000	217.000
HOXD13	ENSOART00000000110	chr2	132910439	132915560	-	2871.0	1	0.000	0.000	0.000	0.000
ENSOARG00000009717	ENSOART00000010575	chr4	68876468	68893655	+	3209.0	1	0.000	0.000	5.000	7.000
KCTD12	ENSOART00000017378	chr10	52489392	52492676	-	2958.0	1	0.000	71.000	146.000	279.000
NRM	ENSOART00000012976	chr20	27386596	27390894	+	2779.0	1	0.000	26.000	75.000	105.000
CPTP	ENSOART00000004872	chr12	49268313	49271132	-	2646.0	1	0.000	23.000	54.000	91.000
SOX2	ENSOART00000015889	chr1	203530281	203533162	-	2881.0	1	0.000	1.000	0.000	1.000
ENSOARG00000023996	ENSOART00000025898	chrUn_JH923134	2896	4989	+	2093.0	1	0.000	0.000	0.000	0.000
ENSOARG00000013828	ENSOART00000015046	chr1	60724417	60729135	+	666.0	1	0.000	0.000	0.000	0.000
KCNQ1OT1_2	ENSOART00000026403	chr21	48167923	48168118	-	195.0	1	0.000	0.000	0.000	0.000
ENSOARG00000018068	ENSOART00000019669	chr24	36450665	36482827	-	1497.0	1	0.000	0.000	0.000	0.000
ATXN10	ENSOART00000021150	chr3	220093324	220215264	+	3342.0	1	0.000	190.000	466.000	724.000
RBM15B	ENSOART00000008442	chr19	49331833	49336893	-	3863.0	1	0.000	7.000	9.000	9.000
ENSOARG00000018796	ENSOART00000020472	chr7	18308126	18416561	+	2535.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025142	ENSOART00000027044	chr8	60030293	60032387	-	2094.0	1	0.000	0.000	1.000	4.000
ENSOARG00000015203	ENSOART00000016545	chr14	14290400	14297075	-	473.0	1	0.000	0.000	0.000	0.000
SERTM1	ENSOART00000006573	chr10	25144441	25146761	-	2320.0	1	0.000	0.000	0.000	0.000
ENSOARG00000004151	ENSOART00000004515	chr19	52222265	52225695	+	492.0	1	0.000	0.000	0.000	0.000
ENSOARG00000013999	ENSOART00000015242	chr24	597599	600759	+	1159.0	1	0.000	0.000	0.000	0.000
FOSL1	ENSOART00000000075	chr21	43312802	43320397	-	2852.0	1	0.000	2.000	0.000	1.000
ENSOARG00000026930	ENSOART00000028976	chr14	52389907	52393264	+	697.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025813	ENSOART00000027775	chr2	152316300	152320119	+	835.0	1	0.000	0.000	0.000	0.000
RHOBTB1	ENSOART00000004723	chr25	16517018	16642900	-	4285.0	1	0.000	33.000	81.000	105.000
GAK	ENSOART00000017818	chr6	116563397	116603004	+	5241.0	1	0.000	45.000	60.000	118.000
ENSOARG00000014411	ENSOART00000015691	chr2	89582207	89611289	+	837.0	1	0.000	0.000	2.000	0.000
DCAKD	ENSOART00000010389	chr11	44144007	44170968	-	3021.0	1	0.000	3.000	5.000	11.000
TRIM9	ENSOART00000022544	chr7	40899331	41021797	-	4097.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025959	ENSOART00000027935	chr3	15709940	15711783	-	1793.0	1	0.000	0.000	0.000	0.000
PAX5	ENSOART00000012527	chr2	51375319	51432627	+	2848.0	1	0.000	0.000	0.000	0.000
U6	ENSOART00000024277	chr11	26428901	26431007	+	2106.0	1	0.000	203.000	400.000	559.000
ABCC2	ENSOART00000014148	chr22	19923049	19995363	+	6572.0	1	0.000	0.000	0.000	0.000
FAM149A	ENSOART00000008848	chr26	14936734	14976921	+	3991.0	1	0.000	48.000	93.000	93.000
FOSB	ENSOART00000010858	chr14	52143114	52149300	+	2891.0	1	0.000	116.000	38.000	1964.000
GFOD1	ENSOART00000014803	chr20	42077412	42175083	+	3940.0	1	0.000	0.000	1.000	1.000
PIP4K2A	ENSOART00000001979	chr13	22706358	22894220	-	6923.0	1	0.000	238.000	522.000	739.000
ENSOARG00000004420	ENSOART00000004810	chr13	16887019	16887675	-	656.0	1	0.000	1.000	4.000	2.000
SPINK1	ENSOART00000004109	chr5	56509146	56517841	-	2230.0	1	0.000	0.000	0.000	0.000
CPNE8	ENSOART00000021857	chr3	148252719	148514916	+	3701.0	1	0.000	1.000	1.000	0.000
MAP2K5	ENSOART00000019979	chr7	14159439	14425901	+	3351.0	1	0.000	27.000	47.000	80.000
ARFIP2	ENSOART00000019805	chr15	45974282	45979812	+	3013.0	1	0.000	25.000	66.000	114.000
LVRN	ENSOART00000017959	chr7	4631939	4706862	+	5927.0	1	0.000	0.000	0.000	0.000
ENSOARG00000016781	ENSOART00000018272	chr1	69790494	69792328	+	273.0	1	0.000	0.000	2.000	4.000
KRT25	ENSOART00000016444	chr11	40515710	40527797	-	6076.0	1	0.000	0.000	0.000	2.000
ENSOARG00000026107	ENSOART00000028093	chr21	38470701	38570948	-	1423.0	1	0.000	0.000	0.000	0.000
LRRC38	ENSOART00000011875	chr12	52146988	52183405	+	2893.0	1	0.000	0.000	0.000	0.000
ENSOARG00000021059	ENSOART00000022944	chr7	62316120	62347001	-	1637.0	1	0.000	75.000	173.000	225.000
TMEM64	ENSOART00000011133	chr9	86132126	86166455	+	2967.0	1	0.000	10.000	18.000	23.000
ANKRD28	ENSOART00000016641	chr1	270748803	270872785	-	5209.0	1	0.000	0.000	9.000	21.000
ENSOARG00000023436	ENSOART00000025338	chr11	43993749	43995823	-	2074.0	1	0.000	0.000	0.000	1.000
ASB11	ENSOART00000013046	chrX	12751078	12782477	-	3911.0	1	0.000	40.000	50.000	52.000
IDE	ENSOART00000000351	chr22	13606417	13669967	-	4926.0	1	0.000	17.000	53.000	34.000
ENSOARG00000017712	ENSOART00000019271	chrUn_JH922238	29651	31761	+	2110.0	1	0.000	0.000	0.000	0.000
ENSOARG00000015292	ENSOART00000016645	chr18	58171387	58178141	+	1247.0	1	0.000	0.000	0.000	0.000
ANTXR1	ENSOART00000021588	chr3	38975681	39235539	-	3756.0	1	0.000	0.000	0.000	0.000
PRDX4	ENSOART00000018073	chrX	21054258	21067459	+	2807.0	1	0.000	22.000	71.000	129.000
WFDC10B	ENSOART00000006734	chr13	74012924	74016152	-	2230.0	1	0.000	0.000	0.000	0.000
UBAP1	ENSOART00000010155	chr2	37060834	37086902	-	3657.0	1	0.000	25.000	85.000	137.000
RAB5C	ENSOART00000020435	chr11	41742917	41748783	-	2639.0	1	0.000	113.000	251.000	487.000
ABCG5	ENSOART00000007333	chr3	80351499	80386030	+	3925.0	1	0.000	0.000	0.000	0.000
KCNA7	ENSOART00000013696	chr14	54620334	54625335	-	3036.0	1	0.000	0.000	0.000	0.000
TMEM50B	ENSOART00000014301	chr1	120269350	120311520	+	2762.0	1	0.000	25.000	42.000	40.000
ENSOARG00000007875	ENSOART00000008572	chr6	95686053	95688460	-	2407.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025510	ENSOART00000027435	chr1	12896094	12897126	-	853.0	1	0.000	0.000	0.000	0.000
ATXN1	ENSOART00000013208	chr20	39752507	39769238	+	4148.0	1	0.000	16.000	36.000	35.000
NDUFB9	ENSOART00000009606	chr9	28422418	28431883	-	2533.0	1	0.000	78.000	169.000	254.000
OR10Z1	ENSOART00000007730	chr1	107875864	107878802	+	2938.0	1	0.000	0.000	0.000	0.000
PRTN3	ENSOART00000010541	chr5	40795104	40800400	+	2750.0	1	0.000	0.000	0.000	0.000
ENSOARG00000025023	ENSOART00000026925	chr12	9149584	9149670	-	86.0	1	0.000	0.000	0.000	0.000
APMAP	ENSOART00000007050	chr13	41708778	41735318	-	3222.0	1	0.000	80.000	125.000	209.000
