Gene name	Rat gene name
Rbm8a	Rbm8a
Gm23376	RF00003
Urod	Urod
Mrap2	Mrap2
Gm26078	RF00560
Puf60	Puf60
Olfr239	Olr1095
Olfr239	Olr1090
Haus1	Haus1
Ttc26	Ttc26
Rps21	AC141489.1
Olfr213	Olr829
Olfr213	Olr827
Dbx2	Dbx2
Zranb1	Zranb1
Ccrl2	Ccrl2
Rock2	Rock2
Ckap2l	Ckap2l
Suv39h1	Suv39h1l1
Fam187b	Fam187b
Vxn	Vxn
Gm22186	RF00561
Dnajc6	Dnajc6
Mapk9	Mapk9
Serpinb7	Serpinb7
Gm10220	LOC363337
Gm10220	AABR07000733.1
Gm10220	AABR07043449.1
Gm10220	AABR07043701.1
Gm10220	AABR07043429.1
Gm10220	AABR07043279.1
Gm10220	AABR07043200.1
Gm10220	AABR07043702.1
Tsks	Tsks
Kif2b	Kif2b
Gm14548	AABR07002001.1
Gm8126	AABR07066648.1
Gm8126	LOC302192
Gm8126	AABR07066693.1
Gm8126	AABR07066416.1
Gm8126	AABR07016141.1
Gm8126	AABR07001160.1
Gm8126	MGC116197
Gm8126	AABR07055309.1
Gm8126	AABR07024441.1
Gm8126	AABR07066379.1
Igkv3-4	AABR07051565.1
Vmn2r98	Vom2r10
Hnf4g	Hnf4g
Alkbh6	Alkbh6
Alkbh6	LOC108348106
1700067P10Rik	LOC680955
Ttyh1	Ttyh1
Acads	Acads
Arhgef37	Arhgef37
Speer1	LOC363337
Speer1	AABR07000733.1
Speer1	AABR07043449.1
Speer1	AABR07043701.1
Speer1	AABR07043429.1
Speer1	AABR07043279.1
Speer1	AABR07043200.1
Speer1	AABR07043702.1
Mul1	Mul1
Gm21874	AABR07016292.1
Gm21874	LOC108353386
Gm21874	AC241950.1
Gm21874	AABR07012658.1
Gm21874	AC243988.1
Gm21874	LOC103694624
Gm21874	AABR07010919.1
Olfr304	Olr16
Zkscan17	Zfp496
Lcn12	Lcn12
Spice1	Spice1
Bnip2	Bnip2
Gm22531	RF00560
V1ra8	Vom1r95
Hk2	Hk2
Atp6v0d2	Atp6v0d2
Fpr-rs7	Fpr-rs6
Tacr3	Tacr3
Col6a4	Col6a4
Slc34a3	Slc34a3
5830473C10Rik	LOC360919
Stim2	Stim2
Slc25a41	Slc25a41
Vmn2r93	Vom2r10
Gm22796	RF00026
Klrc2	Klrc3
Galt	Galt
Tpra1	Tpra1
Apol11a	AABR07058476.1
Tmem235	Tmem235
Catsper1	Catsper1
Tex13b	AABR07040847.1
Arpc4	Arpc4
Rn7s2	RF00017
Dido1	Dido1
Btc	Btc
Pias1	Pias1
Snora73b	RF00045
4931429L15Rik	LOC500990
Ptprg	Ptprg
Sertad2	Sertad2
Ino80d	Ino80d
Defb11	Defb10
Defb11	Defb9
Tsnax	Tsnax
Stk35	Stk35
Ewsr1	LOC100912481
Cks1b	Cks1b
Gm3147	AABR07014443.1
Gm3147	RGD1565660
Il17rb	Il17rb
Gtf3c5	Gtf3c5
Wdr70	Wdr70
Eif3b	Eif3b
Dffb	Dffb
Thnsl1	Thnsl1
Slco4a1	Slco4a1
Poldip3	Poldip3
Xpc	Xpc
Igkv6-20	AABR07051551.1
Mup11	AABR07047899.1
Hbq1a	Hbq1a
Troap	Troap
Smok3b	Smok2a
Edn3	Edn3
Zfp668	Zfp668
Dusp13	Dusp13
Gm3248	AABR07066648.1
Gm3248	LOC302192
Gm3248	AABR07066693.1
Gm3248	AABR07066416.1
Gm3248	AABR07016141.1
Gm3248	AABR07001160.1
Gm3248	MGC116197
Gm3248	AABR07055309.1
Gm3248	AABR07024441.1
Gm3248	AABR07066379.1
Ccdc13	Ccdc13
Gm26035	RF00100
Stag2	Stag2
Atxn2	Atxn2
Kif1bp	Kif1bp
Bcam	Bcam
Mpzl2	Mpzl2
Olfr835	Olr1128
Zmym5	Zmym5
Zfp968	AABR07054721.1
Mrgpre	Mrgpre
A630001G21Rik	RGD1563917
Fam107b	Fam107b
Ap3m1	Ap3m1
Zfp407	Zfp407
Spink12	Spink9
Rc3h2	Rc3h2
Gm10184	Kpna2
Dnase1	Dnase1
Immt	Immt
Nup160	Nup160
Trav9-4	AABR07017783.1
Trav9-4	AABR07017676.2
Trav9-4	AABR07017748.1
Csrnp1	Csrnp1
Nexn	Nexn
Vegfa	Vegfa
Uqcrh	Uqcrh
Ing3	Ing3
Rad51	Rad51
Bhlhe41	Bhlhe41
C1s1	C1s
Pdcd1	Pdcd1
Gm8127	LOC102546495
4930444G20Rik	Senp18
4930444G20Rik	AABR07062108.1
Wdr81	Wdr81
Gbp5	Gbp5
Gm24837	RF01191
n-R5s21	RF00001
Zfp580	Zfp580
Zscan18	AABR07002071.1
Gm4756	Dhrs7l1
Secisbp2l	Secisbp2l
Gm25668	RF00560
L3mbtl4	AABR07068728.1
Gm26208	RF00560
Slc4a10	Slc4a10
Frk	Frk
Pkdcc	Pkdcc
Kif24	Kif24
Napa	Napa
Ascc2	Ascc2
Olfr1032	Olr473
Pdzd9	Pdzd9
Olfr1323	Olr1767
Hsd3b1	LOC108348086
Emc3	Emc3
Rbm12b1	LOC679087
Gm16429	AABR07014443.1
Gm16429	RGD1565660
Olfr586	Olr72
Snx21	Snx21
Alpi	Alpi
Mxra8	Mxra8
Ddx23	Ddx23
Olr1	Olr1
Olfr1416	Olr1344
Gadd45g	Gadd45g
Tent5b	Tent5b
Shox2	Shox2
Gm21083	LOC363337
Gm21083	AABR07000733.1
Gm21083	AABR07043449.1
Gm21083	AABR07043701.1
Gm21083	AABR07043429.1
Gm21083	AABR07043279.1
Gm21083	AABR07043200.1
Gm21083	AABR07043702.1
Ripk4	Ripk4
Trappc12	Trappc12
Gm11437	LOC102552988
A2ml1	A2ml1
Olfr212	Olr829
Olfr212	Olr827
Arfgap2	Arfgap2
Gm22307	RF00026
Megf11	Megf11
Olfr641	Olr143
Polq	Polq
Spa17	Spa17
P3h1	P3h1
Slc25a15	Slc25a15
Angel1	Angel1
Emp2	Emp2
Gm25876	RF00421
Plpp4	Plpp4
Gm7682	RGD1562423
Cryga	Cryga
Gm21103	AABR07066648.1
Gm21103	LOC302192
Gm21103	AABR07066693.1
Gm21103	AABR07066416.1
Gm21103	AABR07016141.1
Gm21103	AABR07001160.1
Gm21103	MGC116197
Gm21103	AABR07055309.1
Gm21103	AABR07024441.1
Gm21103	AABR07066379.1
Gm21103	AABR07066700.1
Tcp10a	Tcp10b
Krtap14	Krtap14
Nat1	Nat1
Gm24887	RF00026
Dcst1	Dcst1
Clspn	AABR07049960.1
Olfr1216	Olr671
Vps4a	Vps4a
Gatc	Gatc
Cd300ld	AABR07030771.1
Gm22037	RF00100
Polr2h	Polr2h
Slc8b1	Slc8b1
Agtr1a	Agtr1a
Slc25a45	Slc25a45
Gm26325	RF00026
Cebpb	Cebpb
Nme9	AABR07071287.1
Gm22452	RF00026
Fanca	Fanca
Paqr4	Paqr4
Ccdc71l	Ccdc71l
Gm17472	AABR07034718.1
Gm17472	AABR07060788.1
Slc35c2	Slc35c2
Osbpl2	Osbpl2
Prdm5	Prdm5
Tff3	Tff3
Olfr221	Olr1638
Crip2	AABR07037243.1
1700057G04Rik	LOC102551265
Rsbn1	Rsbn1
Med15	Med15
Rnu3b1	RF01848
Olfr1209	Olr662
Ceacam14	Ceacam12
Rdh5	Rdh5
Mvb12b	Mvb12b
Gm49380	Rnf26
Unc13c	Unc13c
Zbp1	Zbp1
Nyx	Nyx
Pilrb2	RGD1561143
Pilrb2	LOC685048
Ubox5	Ubox5
Gm5862	LOC363337
Gm5862	AABR07000733.1
Gm5862	AABR07043449.1
Gm5862	AABR07043701.1
Gm5862	AABR07043429.1
Gm5862	AABR07043279.1
Gm5862	AABR07043200.1
Gm5862	AABR07043702.1
Olfr1196	Olr658
L3mbtl1	L3mbtl1
Aplp1	Aplp1
Gm23567	RF00026
Amhr2	Amhr2
Mesp2	Mesp2
Tmem168	Tmem168
Med13l	Med13l
Mettl7a1	Mettl7a
Snx16	Snx16
Gm23220	RF00560
Zfp791	Zfp791
Rcn2	Rcn2
Gm24184	RF00019
Maneal	Maneal
Lyg2	Lyg2
Olfr503	Olr159
Olfr503	Olr163
Adcyap1r1	Adcyap1r1
Slc39a3	Slc39a3
Gm25853	RF00056
Mycbpap	Mycbpap
Dpm3	Dpm3
Gm22085	RF00026
Lrrn4cl	Lrrn4cl
Trav7-3	AABR07017693.3
Trav7-3	AABR07017662.3
Mboat7	Mboat7l1
Foxp3	Foxp3
Ndp	Ndp
Gm24233	RF00568
Snx9	Snx9
Cidec	Cidec
Neurl1b	Neurl1b
Trav4d-3	AABR07017768.1
Trav4d-3	AABR07017850.1
Trav4d-3	AABR07017825.7
Slc30a8	Slc30a8
Ikbip	Ikbip
Rhob	Rhob
Sprn	Sprn
Nat8f2	LOC100910829
Kcnh4	Kcnh4
Ppp2r1a	Ppp2r1a
Gm266	Diras3
Ust	Ust
Pinx1	Pinx1
Srrm3	Srrm3
Snx29	Snx29
Prpsap1	Prpsap1
Plg	Plg
Rab40b	Rab40b
Olfr736	Olr1614
n-R5s152	RF00001
Traf4	Traf4
Rps19	Rps19
Acot2	Acot1
Pm20d1	Pm20d1
Ttc23l	AC128789.1
Plag1	Plag1
Nppb	Nppb
Gm17078	LOC102546495
Gm23715	RF00026
Nudcd1	Nudcd1
Gm22105	RF00619
Gm23732	RF00026
Gm25313	RF00020
Tmtc4	Tmtc4
Gm5798	AABR07066648.1
Gm5798	LOC302192
Gm5798	AABR07066693.1
Gm5798	AABR07066416.1
Gm5798	AABR07016141.1
Gm5798	AABR07001160.1
Gm5798	MGC116197
Gm5798	AABR07055309.1
Gm5798	AABR07024441.1
Gm5798	AABR07066379.1
Trim54	Trim54
Tpte	Tpte2
D630039A03Rik	LOC685849
Gm26056	RF00026
Olfr328	Olr1422
Olfr328	Olr1423
Olfr328	Olr1416
Olfr328	Olr1417
Ndufaf4	Ndufaf4
Ddit3	Ddit3
Nr1i3	Nr1i3
Msantd3	Msantd3
Vmn2r114	LOC682419
Vmn2r114	Vom2r19
Tmem143	Tmem143
Tcp10b	Tcp10b
Olfr132	Olr1684
Tbx20	Tbx20
S100a11	S100a11
Rprml	Rprml
Rpl18a	Rpl18a
Mir1907	Mir1907
Pla2g16	Pla2g16
Trav9-2	AABR07017783.1
Trav9-2	AABR07017676.2
Trav9-2	AABR07017748.1
Bpifa5	Bpifa5
Impdh1	Impdh1
Rhpn2	Rhpn2
Gm25408	RF00560
Mob4	Mob4
Cdhr3	Cdhr3
Tmem109	Tmem109
Zfp78	Zfp78
Vrk2	Vrk2
Mvk	Mvk
Try4	Prss3
Khdc1c	Khdc1
Gm24005	RF00100
Tcea3	Tcea3
Zfp706	Zfp706
Pigh	Pigh
Gm22371	RF00560
Tdpoz4	LOC102548071
Tdpoz4	RGD1566337
Apol7e	RGD1309808
Cuzd1	Cuzd1
Nat10	Nat10
Th	Th
Apol10a	AABR07058476.1
Vma21-ps	LOC100912478
C530008M17Rik	RGD1311575
Gm30302	LOC689725
Magee2	Magee2
Ywhaz	Ywhaz
Gm21761	AABR07008298.2
Fbln7	Fbln7
Vps37c	Vps37c
Scnn1a	Scnn1a
Pbsn	LOC103689993
Cfap157	Cfap157
Olfr564	Olr56
Olfr564	AC096030.2
Chfr	Chfr
Slc25a3	Slc25a3
Rad21l	Rad21l1
Gm11758	AABR07018048.2
Tspan31	Tspan31
Bach2	Bach2
Ttc3	Ttc3
Olfr1290	Olr760
Gm23153	RF00017
Cdk13	Cdk13
Gstm1	Gstm1
Tax1bp1	Tax1bp1
Enkur	Enkur
Gm21663	LOC363337
Gm21663	AABR07000733.1
Gm21663	AABR07043449.1
Gm21663	AABR07043701.1
Gm21663	AABR07043429.1
Gm21663	AABR07043279.1
Gm21663	AABR07043200.1
Gm21663	AABR07043702.1
Gm8257	AABR07066648.1
Gm8257	LOC302192
Gm8257	AABR07066693.1
Gm8257	AABR07066416.1
Gm8257	AABR07016141.1
Gm8257	AABR07001160.1
Gm8257	MGC116197
Gm8257	AABR07055309.1
Gm8257	AABR07024441.1
Gm8257	AABR07066379.1
Gm8257	AABR07066700.1
Fgfbp3	Fgfbp3
Gm27420	AABR07052085.3
Akr1a1	Akr1a1
Cyp2e1	Cyp2e1
Hes3	Hes3
Egfl6	Egfl6
Gm20807	AABR07016292.1
Gm20807	LOC108353386
Gm20807	AC241950.1
Gm20807	AABR07012658.1
Gm20807	AC243988.1
Gm20807	LOC103694624
Gm20807	AABR07010919.1
Vmn2r116	LOC682419
Vmn2r116	Vom2r19
Csprs	Csprs
Tsnaxip1	Tsnaxip1
Nkain4	Nkain4
Mir128-1	Mir128-1
Gm10310	Olr927
Dnajc5b	Dnajc5b
Gm25636	RF00396
Gm20909	AABR07016292.1
Gm20909	LOC108353386
Gm20909	AC241950.1
Gm20909	AABR07012658.1
Gm20909	AC243988.1
Gm20909	LOC103694624
Gm20909	AABR07010919.1
Trim65	Trim65
Dr1	LOC100910207
Arl5c	Arl5c
Pgls	Pgls
Cav2	Cav2
Dmbx1	Dmbx1
Syncrip	Syncrip
Cst8	Cst8
Gm27940	RF01518
Sprr4	NEWGENE_2324572
Vmn1r52	Vom1r95
Dlec1	Dlec1
Gm15023	LOC100912836
Stom	Stom
Klri1	Klri1
Rtraf	Rtraf
Nrbf2	Nrbf2
Cend1	Cend1
Skor1	Skor1
Gm21915	AABR07002623.1
Gm21721	AABR07016292.1
Gm21721	LOC108353386
Gm21721	AC241950.1
Gm21721	AABR07012658.1
Gm21721	AC243988.1
Gm21721	LOC103694624
Gm21721	AABR07010919.1
Cdh9	Cdh9
Speer4a	LOC363337
Speer4a	AABR07000733.1
Speer4a	AABR07043449.1
Speer4a	AABR07043701.1
Speer4a	AABR07043429.1
Speer4a	AABR07043279.1
Speer4a	AABR07043200.1
Speer4a	AABR07043702.1
Olfr1239	Olr701
Ighv2-6	AABR07065673.1
Ighv2-6	AABR07065693.1
Ighv2-6	AABR07065740.1
Ighv2-6	AABR07065705.5
Ighv2-6	AABR07065753.1
Ighv2-6	AABR07065651.2
Ighv2-6	AABR07065656.1
Zfp605	Zfp605
Olfr516	Olr281
Sirt1	AABR07044925.1
Muc20	Muc20
Myo18a	Myo18a
Ly6c2	LOC100911104
Ercc6l2	Ercc6l2
Tango2	Tango2
Gm22745	AABR07019243.1
Virma	Virma
Tmem163	Tmem163
Trim14	Trim14
Slc22a30	UST4r
Gm25274	RF00560
Oxnad1	Oxnad1
Gm23904	RF00560
Dppa3	AABR07015759.1
Dppa3	AABR07058017.1
Dppa3	Dppa3l1
Trav6-6	AABR07017610.1
Krtap24-1	Krtap24-1
Aadacl3	Aadacl3
Stil	Stil
Gpnmb	Gpnmb
Gm23764	RF00001
Phf6	Phf6
Hoxd9	Hoxd9
Mir99b	Mir99b
Ddx27	Ddx27
Trav4d-4	AABR07017768.7
Olfr1184	LOC100910858
Olfr1184	LOC103690075
Olfr891	LOC100912067
Gm24937	RF00406
Mrpl51	Mrpl51
3110082J24Rik	3110082J24Rik
Zfp871	Zfp871
Thy1	Thy1
Gm24068	RF00560
Fbxl2	Fbxl2
Gm22520	RF00405
Snapin	Snapin
Med17	Med17
Cacna1i	Catsper1
Fignl1	Fignl1
Gm25386	RF00100
Gm26287	RF01192
Dennd5a	Dennd5a
Gm23329	RF00560
Znhit1	Znhit1
C1rb	C1r
Ormdl1	Ormdl1
Adgrf4	Adgrf4
Ppp4c	Ppp4c
Olfr863-ps1	Olr1160
Prpf18	Prpf18
Gm24723	RF00560
Tspyl4	Tspyl4
Cyp2a22	Cyp2a3
Tgfbr1	Tgfbr1
Mstn	Mstn
AC125178.2	RGD1562423
Otoa	Otoa
Mup15	AABR07047899.1
S1pr3	S1pr3
Gzf1	Gzf1
Gm14744	Obp1f
Fbln2	Fbln2
Zcwpw1	LOC100910636
Olfm1	Olfm1
Ank3	Ank3
Cthrc1	Cthrc1
Igkv1-135	AABR07040282.1
Igkv1-135	AABR07003833.1
Igkv1-135	AABR07060795.1
Taf15	LOC103694865
Dbndd1	Dbndd1
Aqp9	Aqp9
Cyp4a10	Cyp4a1
Serpinf2	Serpinf2
Mkln1	Mkln1
Xrn2	Xrn2
Ccdc24	Ccdc24
Ptcd3	Ptcd3
Olfr231	Olr1592
Gm6268	AABR07041229.1
Hey1	Hey1
Rsf1	Rsf1
Mthfs	Mthfs
1700006A11Rik	RGD1306519
Zfp112	Zfp112
Cflar	Cflar
Ogfr	Ogfr
Cpa5	Cpa5
Cxcl12	Cxcl12
Bclaf1	Mtfr2
Gm23891	RF00560
Arhgef1	Arhgef1
Cldn34b1	Cldn34b
Snora28	RF00400
Lingo2	AABR07047872.1
Gm8332	Eif1a
Bop1	Bop1
Olfr562-ps1	Olr56
Olfr562-ps1	AC096030.2
Tmem82	Tmem82
Prlhr	Prlhr
Defb42	Defb44
Gtf3a	Gtf3a
H2afz	H2afz
Olfr678	Olr189
Cast	Cast
Gm428	AABR07018048.2
Tmem131l	Tmem131l
Vmn1r43	Vom1r94
Vmn1r43	Vom1r99
Fam173a	Fam173a
4933402N22Rik	LOC363337
4933402N22Rik	AABR07000733.1
4933402N22Rik	AABR07043449.1
4933402N22Rik	AABR07043701.1
4933402N22Rik	AABR07043429.1
4933402N22Rik	AABR07043279.1
4933402N22Rik	AABR07043200.1
4933402N22Rik	AABR07043702.1
Bpifb9a	LOC690507
Eno4	Eno4
Mre11a	Mre11a
Gm25883	RF00100
Gm9611	LOC102546495
Gm25066	RF00560
Trav6-7-dv9	AABR07017707.1
Trav6-7-dv9	AABR07017830.1
Alg1	Alg1
Rnu3b4	RF01848
Lrrc24	Lrrc24
Uqcc2	RGD1561671
Gtf2e1	Gtf2e1
Arl14	Arl14
Chst13	Chst13
Slc10a3	Slc10a3
Gm26003	RF00056
Soat1	Soat1
Epsti1	Epsti1
Dusp14	Dusp14l1
Tmem208	Tmem208
Vmn2r-ps119	Vom2r10
Zfp639	Zfp639
Ndufa3	LOC680288
Gucy1b1	Gucy1b1
Exoc4	Exoc4
Lrrcc1	Lrrcc1
Cyp2c39	Cyp2c7
Vmn2r102	Vom2r10
Scarb2	Scarb2
Coq10b	Coq10b
Gm23505	RF00582
4930444P10Rik	4930444P10Rik
Bnip3	Bnip3
C87436	RGD1306746
Klk1b5	LOC687880
Klk1b5	AABR07003241.2
Klk1b5	Klk1c2
Klk1b5	Klk1c10
Klk1b5	Klk1c3
Klk1b5	LOC100911689
Oat	Oat
Chst11	Chst11
Bsph1	Bsph1
Frrs1l	Frrs1l
Gars	Gars
Cul5	Cul5
Gapvd1	Gapvd1
Olfr593	Olr84
Olfr1016	Olr459
Chkb	Chkb
Fam189b	Fam189b
Pla2g4c	Pla2g4c
Golga2	Golga2
Ces2b	LOC679149
Ces2b	AABR07042565.1
Olfr1337	Olr866
Ube2ql1	Ube2ql1
Epx	Epx
Nod2	Nod2
Pcdhga2	Pcdhga2
Gm3020	AABR07066648.1
Gm3020	LOC302192
Gm3020	AABR07066693.1
Gm3020	AABR07066416.1
Gm3020	AABR07016141.1
Gm3020	AABR07001160.1
Gm3020	MGC116197
Gm3020	AABR07055309.1
Gm3020	AABR07024441.1
Gm3020	AABR07066379.1
Gm3020	AABR07066700.1
6430548M08Rik	RGD1304884
Alkbh4	Alkbh4
Crym	Crym
Hfm1	Hfm1
Gm3488	AABR07066648.1
Gm3488	LOC302192
Gm3488	AABR07066693.1
Gm3488	AABR07066416.1
Gm3488	AABR07016141.1
Gm3488	AABR07001160.1
Gm3488	MGC116197
Gm3488	AABR07055309.1
Gm3488	AABR07024441.1
Gm3488	AABR07066379.1
Gm3488	AABR07066700.1
Zfp969	AABR07054721.1
Olfr804	Olr962
Olfr804	Olr922
Gm22429	RF00560
Ap2a2	Ap2a2
Obox8	LOC100361016
Obox8	AABR07002351.2
Acbd3	Acbd3
Plekhg1	Plekhg1
Gm14440	AABR07054721.1
Src	Src
Olfr1293-ps	Olr765
Abracl	Abracl
Fam171a1	Fam171a1
Osbpl6	Osbpl6
Slc15a4	Slc15a4
BC067074	RGD1561161
Pds5a	Pds5a
Gm27414	RF01268
Olfr282	Olr1107
Lingo3	Lingo3
Ighv10-1	AABR07065814.5
Ighv10-1	AABR07065814.3
Fto	Fto
Gm24565	RF00026
Snord91a	RF00580
Ube3a	Ube3a
Mroh8	Mroh8
Riok1	Riok1
Tmem40	Tmem40
Mindy1	Mindy1
Olfr31	Olr1606
Cdk7	Cdk7
Fam184b	Fam184b
Cep250	Cep250
Ank	Ankh
Dnah5	Dnah5
Phf3	Phf3
Pde5a	Pde5a
Gm23431	RF00026
Kcnn4	Kcnn4
Taf7l	Taf7l
Card10	Card10
Emc10	Emc10
Rspo2	Rspo2
Olfr1126	Olr566
Gm23537	RF00100
Kif21b	Kif21b
Podxl2	Podxl2
Crisp4	Crisp1
Lyzl1	Lyzl1
Gm22633	RF00026
Zdhhc18	Zdhhc18
Gm22088	RF00402
Sgms2	Sgms2
Vpreb3	LOC103694871
Tmem138	Tmem138
Tpt1	AABR07070892.1
Tpt1	Tpt1
Trim9	Trim9
Olfr851	Olr1148
Usp32	Usp32
Anxa6	Anxa6
Abca1	Abca1
Lipg	Lipg
Abat	Abat
Olfr1058	Olr496
Olfr150	Olr1318
Cops7a	Cops7a
Zfp81	AABR07055917.1
Gm8879	LOC363337
Gm8879	AABR07000733.1
Gm8879	AABR07043449.1
Gm8879	AABR07043701.1
Gm8879	AABR07043429.1
Gm8879	AABR07043279.1
Gm8879	AABR07043200.1
Gm8879	AABR07043702.1
Zfp641	Zfp641
Ribc1	Ribc1
Gm26089	RF00001
Zfp68	Zfp68
Zscan4d	Zscan4f
Olfr1537	Olr1292
Nuf2	Nuf2
Dtymk	Dtymk
Zkscan4	Zkscan4
Dmrtb1	Dmrtb1
2310022A10Rik	RGD1307554
Acvr1c	Acvr1c
Cxcl5	Cxcl6
Cgref1	Cgref1
Alk	Alk
Pex5l	Pex5l
Pfn2	LOC100909840
Igtp	Igtp
Wdr17	Wdr17
Gpr162	Gpr162
Celf5	Celf5
Wnt1	Wnt1
Gnat3	Gnat3
Rpl35a	Rpl35a
Barhl2	Barhl2
Ppp1r2	Ppp1r2
Gm24172	RF00399
Adad2	Adad2
Jkamp	Jkamp
Vmn2r96	Vom2r10
Chm	Chm
Grwd1	Grwd1
1700016D06Rik	AABR07026557.1
Bpifb9b	LOC690507
Txnl4b	Txnl4b
Cdk4	Cdk4
Npw	Npw
Gm24262	RF00554
Cdkl3	Cdkl3
AF357425	RF00181
Gm20825	AABR07016292.1
Gm20825	LOC108353386
Gm20825	AC241950.1
Gm20825	AABR07012658.1
Gm20825	AC243988.1
Gm20825	LOC103694624
Gm20825	AABR07010919.1
Crlf3	Crlf3
Cox7b2	Cox7b2
Mtfr1l	Mtfr1l
Jchain	Jchain
Armcx2	Armcx2
Gm24286	RF00560
Gm23144	RF00026
Scarb1	Scarb1
AC123873.1	RGD1562423
S100a9	S100a9
n-R5s191	RF00001
Wfdc15b	Wfdc15b
Ighv5-4	AABR07065656.3
Ighv5-4	AABR07065656.8
Zfp69	AABR07049821.2
Map6	Map6
Tdpoz1	LOC102548071
Tdpoz1	RGD1566337
Pcdhb12	Pcdhb12
Olfr1265	Olr733
Olfr1265	Olr736
Zfp106	Zfp106
Ccdc54	Ccdc54
Hbb-bt	Hbb
Hbb-bt	LOC103694855
Hbb-bt	LOC103694857
Gm24222	RF00001
Spag17	Spag17
Spint4	AC105815.1
Vmn1r40	Vom1r92
Vmn1r40	Vom1r97
Fmo5	Fmo5
Ccdc149	Ccdc149
Zfpm2	Zfpm2
Tas2r140	Tas2r140
Chst9	Chst9
Napg	Napg
Nap1l5	Nap1l5
Etd	AABR07042471.1
Cfap74	Cfap74
Cfap74	AC130035.1
Stk11	Stk11
Fpr-rs6	Fpr-rs6
Nprl3	Nprl3
Hoxa1	Hoxa1
Gpr157	Gpr157
Gm23994	RF00560
Vgll1	AABR07042557.1
BC024139	LOC680875
Gm24010	RF00100
Kera	Kera
Gm25435	RF00100
Mfsd4b2	RGD1304770
Pcbp2	AC099137.1
Olfr802	LOC108348039
Thap1	Thap1
Olfr203	Olr1533
Gm27671	Gm27671
Plac8	LOC100910270
Usp7	Usp7
Tmem65	Tmem65
Igkv3-3	AABR07051565.1
Ighv5-15	AABR07065656.3
Ighv5-15	AABR07065656.8
Gm21190	LOC363337
Gm21190	AABR07000733.1
Gm21190	AABR07043449.1
Gm21190	AABR07043701.1
Gm21190	AABR07043429.1
Gm21190	AABR07043279.1
Gm21190	AABR07043200.1
Gm21190	AABR07043702.1
Ajm1	Ajm1
Olfr951	Olr1283
Arl8a	Arl8a
Gm25916	RF00560
Prap1	Prap1
Colq	Colq
Igsf3	Igsf3
Atcay	Atcay
Nol10	Nol10
Cuedc2	Cuedc2
Vmn2r112	LOC682419
Vmn2r112	Vom2r19
Gm8020	LOC102546495
Mettl7a2	Mettl7a
Snord7	RF00288
Camkv	Camkv
Mrgprb8	Mrgprb13
Cd248	LOC100911932
Kpna1	Kpna1
Mir345	Mir345
Prkab1	Prkab1
Ptk7	Ptk7
Gm23827	RF00003
Fam122b	LOC100909732
Eci1	Eci1
Spink1	Spink1
Vmn2r92	Vom2r10
Igkv6-17	AABR07051551.1
Aldoart1	Aldoa
Kdf1	Kdf1
n-R5s15	RF00001
Olfr402	Olr1512
Try5	Prss3
Txnrd1	Txnrd1
Zscan4f	Zscan4f
Peg3	Peg3
Acy3	Acy3
Gm21671	LOC363337
Gm21671	AABR07000733.1
Gm21671	AABR07043449.1
Gm21671	AABR07043701.1
Gm21671	AABR07043429.1
Gm21671	AABR07043279.1
Gm21671	AABR07043200.1
Gm21671	AABR07043702.1
Dnase1l2	Dnase1l2
Sdhaf3	Sdhaf3
Clock	Clock
AW551984	RGD1311744
Vmn2r41	Vom2r31
Vmn2r41	AABR07002467.1
Prpf40a	Prpf40a
Hephl1	Hephl1
Gsap	Gsap
Casq2	Casq2
Il1r2	Il1r2
Ttc37	Ttc37
Flt3	Flt3
Gm23962	AABR07003935.6
Gm23962	AABR07003935.10
Gm23962	AABR07003935.2
Lrriq4	Lrriq4
Uri1	Uri1
Olfr1299	Olr770
Fbxo8	Fbxo8
Hyls1	Hyls1
Ybx2	Ybx2
Pla2g4d	Pla2g4d
Gm24863	RF00026
Crbn	Crbn
Hmg20b	Hmg20b
Camk2d	Camk2d
Wdr3	Wdr3
Oas1d	Oas1e
Igfl3	AC093995.2
Oaz3	Oaz3
Slco1a6	Slco1a6
Tent5a	Tent5a
Camkk1	Camkk1
Gm3543	LOC102546495
Fbxl22	Fbxl22
Gm16506	LOC102546495
Gm20388	Galnt2
Gm22749	RF00026
Ube2z	Ube2z
Abcb10	Abcb10
Clec2h	AABR07062154.2
Trav16d-dv11	AABR07017831.1
Trav16d-dv11	AABR07017868.2
Olfr854	Olr1149
Rnf125	Rnf125
Chsy1	Chsy1
Gm26265	RF00407
Pkn2	Pkn2
Pnma5	Pnma5
Polr3f	Polr3f
Ighv2-4	AABR07065673.1
Ighv2-4	AABR07065693.1
Ighv2-4	AABR07065740.1
Ighv2-4	AABR07065705.5
Ighv2-4	AABR07065753.1
Ighv2-4	AABR07065651.2
Ighv2-4	AABR07065656.1
Hpgd	Hpgd
Aktip	Aktip
Trav14n-3	AABR07017895.1
Trav14n-3	AABR07017900.1
Mrps9	Mrps9
Dynll2	Dynll2
Olfr922	LOC100910077
Oip5	Oip5
Igkv6-23	AABR07051551.1
Ubr2	Ubr2
Gm11007	AABR07054721.1
Nkpd1	Nkpd1
Mrps11	Mrps11
Gm7233	AABR07066648.1
Gm7233	LOC302192
Gm7233	AABR07066693.1
Gm7233	AABR07066416.1
Gm7233	AABR07016141.1
Gm7233	AABR07001160.1
Gm7233	MGC116197
