Gene name	Golden Hamster gene name
Pdia6	Pdia6
Dusp4	Dusp4
Prss38	Prss38
Adgrv1	Adgrv1
Gpr85	Gpr85
Gsdma3	ENSMAUG00000011518
Trib2	Trib2
Clock	Clock
2210016F16Rik	2210016F16Rik
Tspan1	Tspan1
Drd1	Drd1
Trav8-1	
Map3k10	ENSMAUG00000014635
1110034G24Rik	1110034G24Rik
Dohh	ENSMAUG00000008351
Tas2r118	
Ocln	ENSMAUG00000010201
Kcnc3	Kcnc3
Ppil4	Ppil4
AC155937.1	
Sfxn5	Sfxn5
Romo1	Romo1
Manea	Manea
Sp3	
Togaram1	Togaram1
4930578C19Rik	4930578C19Rik
Ttc9b	Ttc9b
Trav9-1	
Vat1l	Vat1l
Atp6v1c2	Atp6v1c2
Usp16	Usp16
Slc13a1	Slc13a1
Primpol	ENSMAUG00000017639
Cyp2e1	CYP2E1
Gm28036	
Pip4k2b	Pip4k2b
Chrd	Chrd
Shprh	ENSMAUG00000018968
Rin1	Rin1
Tspan17	ENSMAUG00000008483
Tspan17	ENSMAUG00000016165
Tmem150a	Tmem150a
Pdxdc1	Pdxdc1
Serpinb3d	ENSMAUG00000009311
Myom3	Myom3
Gm6268	Gm6268
Asic5	Asic5
Arhgap15	Arhgap15
Gm14569	Gm14569
Ak1	Ak1
Dhrs13	Dhrs13
Cenpv	Cenpv
Rnf181	Rnf181
Cpne1	ENSMAUG00000017226
Tnnt1	Tnnt1
Gm10282	ENSMAUG00000017301
Gm10282	ENSMAUG00000012140
Ric3	ENSMAUG00000017451
Parp10	Parp10
Pbdc1	Pbdc1
Klf2	Klf2
Pcbd1	Pcbd1
Olig3	Olig3
Tmem127	Tmem127
Ccnd2	Ccnd2
Lck	ENSMAUG00000013793
Dpp7	Dpp7
Fastkd3	Fastkd3
Hc	
Zfp386	Zfp386
Thpo	Thpo
Tub	Tub
Ophn1	Ophn1
Kat7	Kat7
Zfp648	
Hoxa13	ENSMAUG00000001019
Bank1	Bank1
Tespa1	Tespa1
Ankrd26	Ankrd26
D230025D16Rik	D230025D16Rik
Pkhd1	Pkhd1
Cct8	Cct8
Trav6-5	
Jmjd4	Jmjd4
Fbf1	Fbf1
Tnks	Tnks
Bmf	Bmf
Plec	Plec
Ripor2	ENSMAUG00000016140
Coq10b	Coq10b
Iglc4	
Creld1	ENSMAUG00000000834
Creld1	ENSMAUG00000010376
Pmm1	Pmm1
Wnt10a	Wnt10a
Sergef	Sergef
Gpbp1	Gpbp1
Pgrmc1	Pgrmc1
Syt9	Syt9
Dmxl2	Dmxl2
Gm8332	ENSMAUG00000019719
Mgll	Mgll
Pcgf1	Pcgf1
Gm5662	ENSMAUG00000019719
Cwc25	Cwc25
Dlgap2	Dlgap2
Ppp4r3b	Ppp4r3b
Serpinb3c	ENSMAUG00000009311
Snap47	Snap47
Ntan1	Ntan1
Olfr437	
Arcn1	Arcn1
Dcn	Dcn
Trmt5	Trmt5
Wac	Wac
Igsf11	Igsf11
Serpinb3b	ENSMAUG00000009311
Lims1	Lims1
Chgb	Chgb
Camta2	Camta2
Glrx2	Glrx2
Sqle	Sqle
Inpp5e	Inpp5e
Trav10	
B3gnt9	B3gnt9
Zfp958	ENSMAUG00000008353
Tecrl	ENSMAUG00000012149
Trav6-6	
Clec3a	Clec3a
Pard3b	Pard3b
Gatad2b	Gatad2b
Arhgap19	Arhgap19
Ttyh2	Ttyh2
Psmd7	Psmd7
Prrt3	Prrt3
Hoxc13	Hoxc13
1810043G02Rik	1810043G02Rik
Aqr	Aqr
Smim13	Smim13
Zscan4e	
Rpl10a	Rpl10a
Trav11	
Pkp1	Pkp1
Sfxn1	Sfxn1
Nr2c1	Nr2c1
1700017B05Rik	1700017B05Rik
Pycard	Pycard
Gm13539	Gm13539
Cacnb2	Cacnb2
Smim24	Smim24
Glt6d1	Glt6d1
Dcaf8	Dcaf8
Hoxc12	Hoxc12
Wapl	Wapl
Syce1	Syce1
Shisa7	Shisa7
Trav7-5	
Gbp11	ENSMAUG00000009900
Gbp11	ENSMAUG00000010500
Ighmbp2	IGHMBP2
Ogdh	Ogdh
Prss58	Prss58
Fan1	Fan1
Trav12-1	
Gm5039	ENSMAUG00000019719
Zfp319	Zfp319
Gnai1	Gnai1
Sostdc1	Sostdc1
Ubtd2	Ubtd2
Gstz1	Gstz1
Magee1	Magee1
Trem2	Trem2
Tepp	Tepp
Wwox	Wwox
Pmpca	Pmpca
Shcbp1	Shcbp1
Efcab9	Efcab9
Ascc2	Ascc2
Naa15	ENSMAUG00000016687
Plaa	Plaa
Nedd9	Nedd9
Prl2c5	ENSMAUG00000000360
Dmd	ENSMAUG00000000150
Dmd	ENSMAUG00000000057
Dmd	ENSMAUG00000000181
Ubxn4	Ubxn4
Cdk5r2	Cdk5r2
Htr5a	Htr5a
Rad50	Rad50
Gdf6	Gdf6
Vrtn	ENSMAUG00000017258
Vrtn	ENSMAUG00000012177
Alox12b	Alox12b
Cdca3	Cdca3
Pomt2	Pomt2
Dhx33	Dhx33
Map2k4	ENSMAUG00000021520
Sp4	Sp4
Epgn	
Mrpl21	Mrpl21
Gm12184	ENSMAUG00000020727
Plb1	Plb1
Syndig1l	Syndig1l
Trim7	
Pea15a	Pea15a
Gm45785	ENSMAUG00000003061
Zc3h15	Zc3h15
Hars2	Hars2
Taf12	Taf12
Olfr1057	
Odf3	Odf3
Vipr2	Vipr2
Tagln2	Tagln2
Hoxc11	Hoxc11
Slc5a11	
Usp3	Usp3
Mief2	Mief2
Stk10	Stk10
Apol7b	ENSMAUG00000009775
Trav13-1	
Scara5	Scara5
Myoz2	Myoz2
Ereg	Ereg
Bsx	Bsx
Sirt3	Sirt3
Trav14-1	
Olfr13	
Galnt13	Galnt13
Npw	Npw
Slc44a2	Slc44a2
Aoc1	
Rab42	Rab42
Idi1	Idi1
Rnf144b	Rnf144b
Dcaf6	Dcaf6
Ankrd31	Ankrd31
Emc3	Emc3
Stard7	Stard7
Armc3	Armc3
Hoxc6	Hoxc6
Fcmr	Fcmr
Iglv3	
Dnajb1	Dnajb1
Insig1	Insig1
Olfml1	ENSMAUG00000011364
Fam136a	ENSMAUG00000021568
Serac1	Serac1
Hoxc9	Hoxc9
Slc25a43	Slc25a43
Anks6	Anks6
Sec63	Sec63
Sptssb	Sptssb
Ttc37	Ttc37
Hoxc10	Hoxc10
Plin1	ENSMAUG00000008691
Gnb3	Gnb3
1700001P01Rik	1700001P01Rik
Kcnh1	Kcnh1
Treml1	Treml1
Creb3l2	Creb3l2
Hoxc8	Hoxc8
Serpina3c	ENSMAUG00000001023
Serpina3c	HPP
Serpina3c	ENSMAUG00000020163
Serpina3c	ENSMAUG00000015404
Ccne1	Ccne1
Stat4	Stat4
Hoxc5	Hoxc5
Thap7	Thap7
Fev	Fev
Psmd13	ENSMAUG00000001436
Psmd13	ENSMAUG00000019938
Psmd13	ENSMAUG00000018420
Atxn7	Atxn7
Jhy	Jhy
Sars	Sars
Defb12	ENSMAUG00000003214
Lum	Lum
Ces5a	
Szt2	Szt2
Misp	Misp
Nlrp9a	ENSMAUG00000008844
Nlrp9a	ENSMAUG00000018208
Wtip	ENSMAUG00000009707
Ispd	Ispd
Defb34	ENSMAUG00000010237
Olfr683	
Dnaic2	Dnaic2
Zfr	Zfr
Nxph4	Nxph4
Dapk1	Dapk1
Areg	Areg
Zfp976	
Hnrnpd	Hnrnpd
Gpr101	Gpr101
Ftsj1	Ftsj1
Thap1	Thap1
Cacybp	ENSMAUG00000010231
Cacybp	ENSMAUG00000001668
Frat1	ENSMAUG00000018859
Chmp5	Chmp5
1700042G07Rik	1700042G07Rik
Syngr3	Syngr3
Trmt10c	Trmt10c
AL670603.1	ENSMAUG00000002444
Adck1	Adck1
Zkscan16	Zkscan16
Frat2	
Pik3r3	ENSMAUG00000002444
Ifngr1	Ifngr1
Gm45692	ENSMAUG00000022149
Hus1b	
Rnf170	ENSMAUG00000022149
Spag11b	
Exoc2	Exoc2
Lcn9	Lcn9
Thoc7	Thoc7
Galntl5	
Clspn	Clspn
Mag	ENSMAUG00000014372
Arhgap29	Arhgap29
Gnb4	Gnb4
Eng	Eng
Rps6ka5	Rps6ka5
Hhat	Hhat
Stat1	STAT1 alpha
Tll1	Tll1
Sp8	Sp8
Rtn4rl1	Rtn4rl1
Serpinb11	Serpinb11
1600015I10Rik	
Pogz	Pogz
Trmt6	Trmt6
Il24	Il24
Crebl2	Crebl2
Btc	Btc
1700001L19Rik	1700001L19Rik
Tacr3	Tacr3
Sohlh1	Sohlh1
Rassf3	Rassf3
Ptger4	Ptger4
Otol1	Otol1
Lgals9	Lgals9
Immp1l	ENSMAUG00000010566
Elf5	Elf5
Col14a1	Col14a1
Synpo2	ENSMAUG00000003052
Hyi	Hyi
Gramd2	Gramd2
Map4k2	Map4k2
Ttc33	Ttc33
Tpbgl	Tpbgl
Ndufa12	ENSMAUG00000015606
Ndufa12	ENSMAUG00000009984
Sirpb1b	ENSMAUG00000020800
Sirpb1b	ENSMAUG00000009831
Sirpb1b	ENSMAUG00000004756
Hspe1	Hspe1
Ric8a	Ric8a
Gm6904	ENSMAUG00000010572
Zfp975	
Adcy2	Adcy2
Pten	Pten
Dgkk	Dgkk
Apol10a	
Phf11a	ENSMAUG00000010572
Ap2b1	Ap2b1
Olfr684	
Trav12-2	
Nlrp4e	ENSMAUG00000007012
Clstn3	Clstn3
Gnao1	Gnao1
Zfp867	Zfp867
Aldh1a3	Aldh1a3
Srsf10	Srsf10
Fcgr4	Fcgr4
Trav12-3	
Cfap36	Cfap36
Crtam	Crtam
Ddx3y	
Lsamp	ENSMAUG00000011172
Fbxw11	Fbxw11
Trav13-2	
Epha7	Epha7
Trav14-2	
Zc3h12d	Zc3h12d
Zfp128	Zfp128
Itih2	Itih2
Vwa5b2	Vwa5b2
Vamp5	Vamp5
Galnt12	Galnt12
Bet1l	ENSMAUG00000003061
Yipf1	Yipf1
Eps15l1	Eps15l1
Zbed4	Zbed4
Fpgs	Fpgs
Saxo2	Saxo2
Ptpn7	Ptpn7
Zfp941	
Nfs1	Nfs1
Pik3r2	ENSMAUG00000021154
Pik3r2	ENSMAUG00000016916
Tead3	Tead3
Trim26	Trim26
Ptprg	Ptprg
Flnc	ENSMAUG00000020611
Doxl2	
Tfpi2	Tfpi2
En2	En2
Fxn	Fxn
Olfr1062	
Abcb5	Abcb5
Serpinb7	Serpinb7
Olfr77	
Ptgr1	Ptgr1
Zc2hc1a	
Lin7a	Lin7a
Irgm1	
Epha5	Epha5
Gcnt4	Gcnt4
Abcg2	Abcg2
Scgb1c1	Scgb1c1
Defb14	Defb14
Shank3	Shank3
Kera	Kera
Gulp1	Gulp1
Zdhhc16	Zdhhc16
Mpc2	Mpc2
Ranbp2	Ranbp2
Rpa1	Rpa1
Rbm12	Rbm12
Nkx2-4	ENSMAUG00000013928
2610001J05Rik	
Plppr3	Plppr3
Igfn1	Igfn1
Fancd2os	Fancd2os
Mphosph10	Mphosph10
Pex11a	Pex11a
Chrm1	Chrm1
Mfsd10	Mfsd10
Marveld2	ENSMAUG00000008819
Ykt6	ENSMAUG00000001168
Ykt6	ENSMAUG00000017858
Fancd2	Fancd2
Art1	Art1
Lbx2	Lbx2
Akr1d1	Akr1d1
Gsdma2	ENSMAUG00000011518
Armt1	Armt1
Cryba2	Cryba2
Nkx2-2	Nkx2-2
Cenpe	Cenpe
Gipc1	ENSMAUG00000009614
Gipc1	ENSMAUG00000008984
Mms19	Mms19
Iqub	Iqub
Isoc2b	Isoc2b
Cnot11	Cnot11
Hinfp	Hinfp
Art5	Art5
Agpat4	ENSMAUG00000003994
Fbxo21	Fbxo21
AC152453.1	ENSMAUG00000007322
Npc2	Npc2
Nt5dc3	ENSMAUG00000007322
Fgf16	Fgf16
Slc25a5	ENSMAUG00000002217
Slc25a5	ENSMAUG00000020049
Tns1	Tns1
Gucy1b3	Gucy1b3
Gngt1	Gngt1
Pax1	Pax1
Apol10b	
Mrpl53	Mrpl53
Brd3	Brd3
Zmym5	ENSMAUG00000019317
Lyve1	Lyve1
Ccdc142	ENSMAUG00000017920
Lmo1	Lmo1
Slc38a6	Slc38a6
Chrna10	Chrna10
Prtn3	Prtn3
Rab33b	Rab33b
Gng11	Gng11
Prss27	Prss27
Cnpy1	ENSMAUG00000000075
Foxg1	Foxg1
Pqlc2	Pqlc2
Lrrc8b	Lrrc8b
Usp9y	
Gal3st1	Gal3st1
Cldn19	Cldn19
Gm42688	ENSMAUG00000017920
Olfr685	Olfr685
Apol11b	
Ptbp1	ENSMAUG00000020207
Ptbp1	ENSMAUG00000011241
Ptbp1	ENSMAUG00000008350
Ubash3b	Ubash3b
Dnah5	Dnah5
Ankrd9	Ankrd9
Tmem151a	Tmem151a
Top3a	ENSMAUG00000015179
Ube2e2	ENSMAUG00000015091
P3h3	P3h3
Tm4sf1	Tm4sf1
Efl1	Efl1
Gm9745	ENSMAUG00000019606
Yipf6	
Lrrc74b	Lrrc74b
Sirpb1c	ENSMAUG00000020800
Sirpb1c	ENSMAUG00000009831
Sirpb1c	ENSMAUG00000004756
Slc22a12	Slc22a12
Rnf149	Rnf149
Pafah1b1	Pafah1b1
Ntng2	Ntng2
Epha4	Epha4
Galnt11	Galnt11
Slc3a2	ENSMAUG00000013060
Slc3a2	ENSMAUG00000013043
Dffa	Dffa
Il7	
P2rx2	P2rx2
Wdr34	Wdr34
Trim72	Trim72
Nrxn2	Nrxn2
Nlrp5	
Ttll9	ENSMAUG00000010902
Ndufa5	ENSMAUG00000017282
Ndufa5	ENSMAUG00000008323
Lrrc8c	Lrrc8c
Sf1	Sf1
Idi2	ENSMAUG00000019606
Ppcdc	Ppcdc
Cntnap5b	
Pcdhga8	Pcdhga8
Ppp3ca	Ppp3ca
Tab2	Tab2
Magi2	Magi2
Cat	Cat
Ccm2	Ccm2
Mid2	Mid2
Senp1	ENSMAUG00000015983
Kctd5	Kctd5
Tmc4	Tmc4
Slco2b1	
Nfic	Nfic
Lctl	Lctl
Hrh2	Hrh2
Kif19a	Kif19a
Zfp607b	ENSMAUG00000014797
Zfp607b	ENSMAUG00000015574
Setd7	ENSMAUG00000011555
Parp11	Parp11
Lct	Lct
Rab11fip5	Rab11fip5
Evx1	Evx1
Itgav	Itgav
Asb15	Asb15
Ica1	ENSMAUG00000008585
Meox2	Meox2
Cln8	ENSMAUG00000012376
Gps1	Gps1
Gsdma	ENSMAUG00000011518
Pex12	Pex12
Zwilch	Zwilch
Prlh	Prlh
Fcgr3	
Sgpl1	Sgpl1
Ppp1r3a	Ppp1r3a
Il22ra2	Il22ra2
Mrps10	Mrps10
Nras	ENSMAUG00000019927
Mcee	Mcee
Uap1l1	Uap1l1
Isoc2a	Isoc2a
Tmem170b	Tmem170b
Ccer1	Ccer1
Isca2	Isca2
Epyc	Epyc
Aldoart2	
Pfkl	Pfkl
Trav3-3	
Cul4b	ENSMAUG00000002566
Insm2	Insm2
Cnot3	Cnot3
Vamp8	Vamp8
Gm20503	ENSMAUG00000014912
Olfr435	
Gng10	Gng10
Gm36210	Gm36210
Rnls	Rnls
Lrp1	Lrp1
Pcdhgb4	
2610301B20Rik	2610301B20Rik
Rad17	Rad17
Olfr434	
Btbd17	Btbd17
Spi1	Spi1
Pcdhb12	
Dnajc25	Dnajc25
Gm34302	Gm34302
Gm14085	ENSMAUG00000004595
Gm42416	
Msh5	Msh5
1700029P11Rik	
Pcdhb1	Pcdhb1
Il20ra	Il20ra
Itih5	Itih5
Pcdhb13	
Olfr47	
Zscan22	Zscan22
Pcdhb6	
Cyp2b23	
Pcdhb4	
Maf	Maf
Cfap65	Cfap65
Setd5	Setd5
Pcdhb7	
Zkscan17	Zkscan17
Lrrc10	Lrrc10
Fam167b	ENSMAUG00000004423
Cdk13	Cdk13
Grid1	Grid1
Snapc3	ENSMAUG00000008531
Snapc3	ENSMAUG00000002025
Trim24	Trim24
Pnrc2	
Mcm6	Mcm6
Rab17	Rab17
Chst7	Chst7
Leng1	Leng1
Lpin1	Lpin1
Pcdha7	
Noxo1	Noxo1
Phf11b	ENSMAUG00000010572
Olfr688	
Pcdhgc4	
Usb1	Usb1
Cacna1e	Cacna1e
Cpe	Cpe
Svs1	
Taf9	ENSMAUG00000010824
Bet1	Bet1
Mcm8	Mcm8
Trpv2	Trpv2
Foxp2	Foxp2
Zkscan6	Zkscan6
Ak6	ENSMAUG00000010824
Lipo5	ENSMAUG00000004988
Plpp5	ENSMAUG00000012036
Plpp5	ENSMAUG00000011792
Wdr60	Wdr60
Olfr161	Olfr161
Alg12	Alg12
Ccnb3	Ccnb3
Dnajc24	Dnajc24
Ccdc170	Ccdc170
Tbl3	Tbl3
Cant1	Cant1
Zfp354c	Zfp354c
Uba2	Uba2
Serpina3f	ENSMAUG00000001023
Serpina3f	HPP
Serpina3f	ENSMAUG00000020163
Serpina3f	ENSMAUG00000015404
Lipo4	ENSMAUG00000004988
Tor1a	Tor1a
Zfhx3	Zfhx3
Myf5	Myf5
Eed	Eed
Lipo3	ENSMAUG00000004988
Cort	Cort
Nfya	Nfya
Pcdhac2	Pcdhac2
Tbk1	Tbk1
Olfr689	
Ksr1	Ksr1
Serpina3g	ENSMAUG00000001023
Serpina3g	HPP
Serpina3g	ENSMAUG00000020163
Serpina3g	ENSMAUG00000015404
Apitd1	ENSMAUG00000019722
Ten1	Ten1
Arhgef5	Arhgef5
Apba2	Apba2
Noto	Noto
Rnf41	Rnf41
Gpr19	Gpr19
Itpa	Itpa
Lipo2	ENSMAUG00000004988
Cplx2	Cplx2
C330007P06Rik	C330007P06Rik
Pcdhb3	Pcdhb3
Acox1	Acox1
4932411N23Rik	
Pcdha4	
Syne4	Syne4
Gucy1a3	
Ggcx	Ggcx
Pcdh7	Pcdh7
Zmym2	Zmym2
Eif3i	Eif3i
Stard8	Stard8
Myo5c	Myo5c
Dab2	ENSMAUG00000015397
Psip1	ENSMAUG00000014312
Prpf39	Prpf39
Dazap1	Dazap1
Tesmin	Tesmin
Pitpnc1	Pitpnc1
Sec14l4	Sec14l4
Zfp879	Zfp879
Vmp1	Vmp1
Tesc	Tesc
Pcdhb8	
Atp1a3	
Trav5-4	
Pcdha6	
Hoxc4	Hoxc4
Cfap45	Cfap45
Ola1	Ola1
Slc27a3	Slc27a3
Lep	Lep
Tulp1	Tulp1
Arl8a	Arl8a
Olfr166	ENSMAUG00000009119
Adgrb3	Adgrb3
Pcdhb15	ENSMAUG00000004599
Dynlrb2	Dynlrb2
Smyd5	Smyd5
Pcdhb18	Pcdhb18
Ptger2	Ptger2
Tph1	Tph1
Gatm	Gatm
Dnajc6	Dnajc6
Tmem132e	Tmem132e
Ptgdr	
Pcdhgb8	
Cdyl2	Cdyl2
Adtrp	
Prkci	Prkci
Tex13b	Tex13b
Bub1b	Bub1b
Ppfibp2	ENSMAUG00000007682
Ppfibp2	ENSMAUG00000006008
Il20	Il20
Gm45015	ENSMAUG00000017654
C1qtnf1	C1qtnf1
Vsig1	Vsig1
Klc2	Klc2
Mmp15	Mmp15
Zfp263	Zfp263
Hibadh	ENSMAUG00000000446
Hibadh	ENSMAUG00000017351
Hibadh	ENSMAUG00000017823
Tmcc3	Tmcc3
Trove2	Trove2
Lrrc8d	Lrrc8d
Zfyve21	ENSMAUG00000015462
Zfyve21	ENSMAUG00000021878
Ear6	ENSMAUG00000016887
Psd	Psd
Rufy2	Rufy2
Mtmr12	Mtmr12
Taf7	
Vsig8	Vsig8
Vav1	Vav1
Id4	Id4
Ccdc69	
Grm6	ENSMAUG00000017668
Pcdhga1	
Cldn34c4	ENSMAUG00000013214
St8sia3	St8sia3
Fkbp3	Fkbp3
Zfp275	Zfp275
Akap4	ENSMAUG00000021928
Pofut2	Pofut2
Rsc1a1	
Pcdhga7	
Ddi2	
Plekhf2	Plekhf2
Pcdhb11	
Ifi44	Ifi44
Myf6	Myf6
Trav6-7-dv9	
Mogs	Mogs
Il19	Il19
Zbtb49	Zbtb49
Fbxw8	Fbxw8
Zfp626	
Rhoh	Rhoh
Klf3	Klf3
Atp6v1d	Atp6v1d
Senp7	Senp7
Ccdc88a	Ccdc88a
Slc25a51	Slc25a51
Gap43	Gap43
Car12	Car12
Wdr93	Wdr93
Med27	ENSMAUG00000015488
Pcdha11	
Ltbp2	Ltbp2
Zscan4f	
Thoc3	Thoc3
Msmo1	Msmo1
Olfr866	
Gpr137b	Gpr137b
Zfp628	Zfp628
Gm18336	ENSMAUG00000017654
Rcor1	
Mrvi1	Mrvi1
Trib1	Trib1
Ift74	Ift74
Engase	Engase
Cyb5r2	Cyb5r2
AA467197	AA467197
Krtcap3	Krtcap3
Uqcr10	
Chpt1	Chpt1
Usf2	Usf2
1600014C10Rik	1600014C10Rik
C1rl	C1rl
Akr7a5	Akr7a5
Ppp1r13b	Ppp1r13b
Slc25a2	
Rbm28	Rbm28
Hmgn3	Hmgn3
Pcdhga12	
Gabra1	Gabra1
Mesp1	Mesp1
Slc9a7	Slc9a7
Cnr2	Cnr2
Nat14	Nat14
Stk33	Stk33
Ust	
Gfm2	Gfm2
Gm2a	Gm2a
Matk	Matk
Olfr167	
Smco4	Smco4
Slc38a5	Slc38a5
Smim23	Smim23
Map9	Map9
Cmc2	Cmc2
Rabgap1l	ENSMAUG00000015678
Rabgap1l	ENSMAUG00000021252
Eif2s1	ENSMAUG00000000538
Eif2s1	ENSMAUG00000014812
Atrx	Atrx
Slc10a2	Slc10a2
H2-Oa	H2-Oa
Psmd12	Psmd12
Cpa6	Cpa6
Gpr37l1	Gpr37l1
Olfr168	ENSMAUG00000009119
Pax3	Pax3
C1ra	ENSMAUG00000001230
Olfr169	
Fam81b	Fam81b
Lcmt1	Lcmt1
Rps5	Rps5
Fuca1	
Trbv3	
Serpinb10	Serpinb10
Pcdha5	Pcdha5
Igf2r	Igf2r
Tm4sf4	ENSMAUG00000001060
Pcdhb16	
Lrrc19	ENSMAUG00000006577
BC005624	BC005624
Dars	Dars
Ift46	Ift46
Parm1	Parm1
Serpinb2	Serpinb2
Cct6b	Cct6b
Cyp2b19	
Mtbp	Mtbp
Wbp1	Wbp1
Hnrnph3	Hnrnph3
Arhgap17	Arhgap17
Trbv4	
Mesp2	ENSMAUG00000010460
Trbv5	
Agmat	Agmat
Creg2	
Efnb1	Efnb1
Zmat5	Zmat5
Cct2	Cct2
Ppp1r3b	Ppp1r3b
Cfap126	Cfap126
Mrgprx1	
Pgd	Pgd
Prpf4	Prpf4
Zfp59	
Cenpn	ENSMAUG00000010252
Cenpn	ENSMAUG00000017433
Ung	ENSMAUG00000011896
Msrb2	Msrb2
Lasp1	ENSMAUG00000021593
Zfp607a	ENSMAUG00000014797
Zfp607a	ENSMAUG00000015574
Ecd	ENSMAUG00000017418
Gtpbp4	Gtpbp4
Elf3	Elf3
Gpnmb	Gpnmb
Cabp7	Cabp7
Chml	Chml
Ptprq	Ptprq
Tradd	Tradd
Opn3	Opn3
1700013F07Rik	1700013F07Rik
Tax1bp1	ENSMAUG00000000426
Cbx7	ENSMAUG00000021987
Hamp2	ENSMAUG00000009819
Pcdha1	
Desi1	Desi1
Psmd3	Psmd3
Ddr1	Ddr1
5330417C22Rik	5330417C22Rik
AC164597.1	ENSMAUG00000007514
Taok2	Taok2
Arhgef10	Arhgef10
Lsr	Lsr
Gpr142	Gpr142
Ndufaf6	Ndufaf6
Rnpep	Rnpep
Rilp	
Olfr691	Olfr691
Sycp3	SYCP3
Guca1b	Guca1b
Herc3	
Anln	Anln
Gm21637	ENSMAUG00000000437
Ptf1a	Ptf1a
Psmd10	Psmd10
Xrcc6	Xrcc6
Unc5a	Unc5a
Olfr170	
Poli	Poli
Fam84b	Fam84b
Slc5a9	Slc5a9
Pcdha9	Pcdha9
Mss51	Mss51
Psmb4	Psmb4
Crls1	ENSMAUG00000008909
Slc7a4	Slc7a4
Acad8	Acad8
Olfr171	
Ybx1	Ybx1
Rabl2	Rabl2
Mrps25	
Pdgfd	Pdgfd
Rnf225	Rnf225
Skida1	Skida1
Ihh	Ihh
Nr2c2	Nr2c2
Hrk	Hrk
Eri1	Eri1
Slc35b2	Slc35b2
Vmn1r238	
Sdhaf4	Sdhaf4
Simc1	ENSMAUG00000012898
Casq1	Casq1
Pcdhga9	
Mas1	Mas1
Atg4a	ENSMAUG00000014550
Sfmbt2	Sfmbt2
P2rx6	P2rx6
Cul2	Cul2
Zscan4-ps2	
Mybpc3	Mybpc3
Apobec3	Apobec3
Ifi44l	
Ddi1	Ddi1
Hk3	Hk3
Myh9	Myh9
Nhej1	ENSMAUG00000021394
Bdh2	Bdh2
Hoxd9	Hoxd9
Zfp974	
Olfr15	Olfr15
Mrpl13	ENSMAUG00000015546
Mrpl13	ENSMAUG00000009122
Mrpl47	Mrpl47
Ap2a2	Ap2a2
Onecut2	Onecut2
Zfp169	Zfp169
Ptgfr	Ptgfr
Psme2b	ENSMAUG00000015092
Itgb8	Itgb8
Col15a1	ENSMAUG00000000509
Prmt8	Prmt8
B3gnt5	B3gnt5
Rnft2	Rnft2
4833439L19Rik	ENSMAUG00000009460
Actl6a	ENSMAUG00000018855
Dusp2	Dusp2
Chrna9	Chrna9
Kcnj3	ENSMAUG00000006063
Hoxd4	Hoxd4
Pcdhga6	
Dnajc1	Dnajc1
Txndc16	Txndc16
Cracr2a	ENSMAUG00000010171
9530077C05Rik	9530077C05Rik
Nap1l5	Nap1l5
Gm5150	
Fbxl8	Fbxl8
Hoxd8	Hoxd8
Serpina3i	ENSMAUG00000001023
Serpina3i	HPP
Serpina3i	ENSMAUG00000020163
Serpina3i	ENSMAUG00000015404
Lmod2	Lmod2
Pcdhga3	Pcdhga3
Il10	Il10
Foxa2	Foxa2
Gfra1	Gfra1
Gm28230	
Zfp597	Zfp597
Hoxd3	Hoxd3
Ints3	Ints3
Adcy10	Adcy10
Wdr64	Wdr64
Deup1	Deup1
Rp9	Rp9
Tnni3	Tnni3
Il17a	Il17a
Trnau1ap	ENSMAUG00000020183
Olfr692	
Mrpl45	Mrpl45
Cluap1	ENSMAUG00000022227
Ralgapa1	Ralgapa1
Lrcol1	Lrcol1
Calr3	Calr3
Olfr1396	
Apob	Apob
Nsa2	Nsa2
Aldh16a1	Aldh16a1
Mettl14	Mettl14
Dnajc16	Dnajc16
Fam185a	Fam185a
Dock9	ENSMAUG00000015247
Dock9	ENSMAUG00000019742
Mrto4	Mrto4
Il15	ENSMAUG00000003125
Gm37388	
Gm6169	ENSMAUG00000019174
Tmed8	Tmed8
Pcdha8	
Uchl5	Uchl5
Dnaaf3	Dnaaf3
Fnbp4	
Hexb	Hexb
Pcdhga11	
Mllt10	ENSMAUG00000017357
Mllt10	ENSMAUG00000017173
Samd15	Samd15
Anpep	Anpep
Dus1l	Dus1l
Hamp	ENSMAUG00000009819
Ndufb5	Ndufb5
Mecom	Mecom
Ttll8	Ttll8
Trav7-6	
Gm20695	ENSMAUG00000022227
1700001C19Rik	ENSMAUG00000014964
1700037C18Rik	ENSMAUG00000015016
Ano4	Ano4
Tmem30b	Tmem30b
Fam169a	Fam169a
Sstr4	Sstr4
AI661453	AI661453
Pdrg1	ENSMAUG00000012544
Thbd	
Il5	Il5
Sdhc	Sdhc
Cd93	Cd93
Sec24d	Sec24d
Gprc5c	ENSMAUG00000019126
Itsn2	Itsn2
Slc4a11	Slc4a11
Gpr137c	Gpr137c
Zfp174	Zfp174
Prkch	Prkch
Ssc5d	Ssc5d
Lrrc75a	Lrrc75a
Pcdhb19	
Mrgprb5	
Ovch2	Ovch2
Fbrsl1	Fbrsl1
Pcdhgc5	Pcdhgc5
Naa60	Naa60
Nacad	Nacad
Olfr867	Olfr867
Gja3	Gja3
Sbk2	Sbk2
Agmo	Agmo
C1s1	C1s
Derl2	Derl2
Olfr868	Olfr868
Diaph2	Diaph2
