Gene name	BMR gene name
Olfr344	
Oas1d	
Akna	Akna
Epb41l5	Epb41l5
Gpr156	Gpr156
Ubr3	Ubr3
Bhmt2	Bhmt2
Slc4a9	Slc4a9
Larp1b	
Sult6b2	Sult6b2
Gsg1l	Gsg1l
Olfr516	
Myg1	Myg1
Tgm7	Tgm7
Fbxo5	Fbxo5
Zfp652	Zfp652
Mrpl38	Mrpl38
Hacd3	Hacd3
Sulf2	Sulf2
Runx1t1	Runx1t1
Unk	Unk
Kcnrg	Kcnrg
Cdh7	Cdh7
Gkap1	
Hcrtr2	Hcrtr2
Plekhb2	Plekhb2
Nck1	Nck1
Cnot3	Cnot3
Tmem119	Tmem119
Angel2	Angel2
Olfr1349	
Blvra	Blvra
Ube2r2	Ube2r2
Pls1	Pls1
Smoc2	Smoc2
Mrpl17	Mrpl17
E2f8	E2f8
Mib2	Mib2
Myl1	Myl1
Olfr296-ps1	
Tex21	
Adra2a	Adra2a
Tmem182	Tmem182
Cyb561d1	Cyb561d1
Mblac2	Mblac2
Unc80	Unc80
Fscn3	Fscn3
Polr3f	Polr3f
Gtf2f2	Gtf2f2
Ugt1a10	
Csnk1a1	Csnk1a1
Gm24570	RF00105
Xpo6	Xpo6
Ccdc106	
Fabp5	
Yipf2	Yipf2
Gm25741	RF00105
Hist3h2a	Hist3h2a
Rap1b	Rap1b
M6pr	M6pr
Fbxo44	Fbxo44
2210016F16Rik	
Nphs2	Nphs2
Nr4a1	Nr4a1
Doc2g	
Hrg	Hrg
Gif	Gif
Ksr1	Ksr1
Eme1	Eme1
Hspa5	Hspa5
Irak1	Irak1
Abhd2	Abhd2
Fkbp3	Fkbp3
Ppic	Ppic
Zfp384	Zfp384
Snora47	RF01234
Seh1l	Seh1l
Gm9125	
Lrguk	
Gpr137	Gpr137
Csmd3	Csmd3
Prl	Prl
Adcy10	Adcy10
Tom1	Tom1
Prmt6	Prmt6
Plac8l1	Plac8l1
Cnot9	Cnot9
Noxa1	Noxa1
Mettl23	Mettl23
Adhfe1	Adhfe1
Tatdn1	
Ints6	Ints6
Slc35e4	Slc35e4
Denr	Denr
Gm20379	
Sema3a	Sema3a
Chd9	
Gm12166	
Ghitm	
Smco2	Smco2
Mfap5	Mfap5
Dcaf8	Dcaf8
Aplp1	
Arhgap25	Arhgap25
Fndc9	Fndc9
Deup1	Deup1
Lep	Lep
Chmp4b	Chmp4b
Zbtb38	Zbtb38
Fbxo16	Fbxo16
Qrfp	Qrfp
Cox14	Cox14
Serpinh1	Serpinh1
Pdcd1lg2	Pdcd1lg2
Cyp21a1	Cyp21a1
Fadd	Fadd
Aass	Aass
Mrvi1	Mrvi1
Man2c1	Man2c1
Tatdn3	Tatdn3
Ccdc7a	
Ambra1	Ambra1
Cdkn2b	Cdkn2b
Prkar2b	Prkar2b
Nop58	Nop58
Kdelr1	Kdelr1
Mnt	Mnt
Krt10	Krt10
Khk	Khk
Sall1	
Bean1	
Arhgap17	
Synj2	Synj2
Gm22510	RF00105
Spata33	Spata33
Clrn1	Clrn1
Ugt2b37	
Krt82	Krt82
Gm25835	RF01290
Nipal4	Nipal4
Gstm5	Gstm5
Rhebl1	Rhebl1
Ccr1	
Gpr141	Gpr141
Zfp575	Zfp575
Cox8a	Cox8a
Gm26389	RF00105
Krt86	Krt86
Cabp5	Cabp5
Olfr1267-ps1	
Fxyd4	Fxyd4
Atp6ap2	Atp6ap2
Pik3r1	Pik3r1
Krcc1	Krcc1
Lsm8	Lsm8
Olfr43	
Gm35549	
Glb1l2	Glb1l2
Ick	
Sub1	
Hsd11b1	Hsd11b1
Adgra3	Adgra3
Pygo1	Pygo1
Adamts20	Adamts20
Gm13723	Olfr14
Gmeb2	Gmeb2
Cnot8	Cnot8
Lars	Lars
Wfdc5	
Rxfp1	Rxfp1
Kctd11	Kctd11
Angptl6	Angptl6
Lmbrd1	Lmbrd1
Ywhaq	
Capza3	Capza3
Eif4b	Eif4b
Olfr1218	
Anln	Anln
Cdc45	Cdc45
Itgal	Itgal
Chd2	Chd2
Psma5	Psma5
Zfp691	Zfp691
Slc39a10	Slc39a10
Yy1	Yy1
Eloa	Eloa
Ldb3	
Fyb	Fyb
Lysmd4	Lysmd4
Tceal3	
Cdk5r1	Cdk5r1
Ms4a8a	Ms4a8a
Slc1a6	Slc1a6
Fbxo30	Fbxo30
Rbm39	Rbm39
Cdsn	Cdsn
Cpsf6	Cpsf6
Ier5l	Ier5l
Oaf	Oaf
Lhx3	Lhx3
Uaca	Uaca
Fkbpl	Fkbpl
Hist2h2ab	
Gm9046	
Glyr1	Glyr1
Hmgn2	
Igf2bp1	Igf2bp1
Gm32802	
Gm28778	
Rbm12	Rbm12
Bmp10	Bmp10
Kat14	Kat14
Cfl2	
Krtap16-1	Krtap16-1
Sgtb	Sgtb
Arnt	
Gpnmb	Gpnmb
Tigd2	Tigd2
Olfr1257	
Nr1i3	Nr1i3
Ndc80	Ndc80
Eif2b2	Eif2b2
Ctps	Ctps
Myoz2	Myoz2
A430005L14Rik	A430005L14Rik
S1pr5	S1pr5
Kctd19	Kctd19
Ugt2b38	
Irs4	Irs4
H2-DMb1	
Scaf1	Scaf1
Sult2b1	Sult2b1
Cuedc1	Cuedc1
Olfr874	
Gps2	Gps2
Acad11	Acad11
Zfpl1	
Cd2	Cd2
Fgfr3	Fgfr3
Gm9844	
Fam71d	Fam71d
Ms4a10	
Olfr1272	
Ankrd49	Ankrd49
Gpcpd1	Gpcpd1
Rbbp4	
Rhobtb2	Rhobtb2
Setd6	Setd6
Mphosph8	
Cntln	
Pfdn1	
Gm15294	
Podn	Podn
Trim26	Trim26
Zfp346	Zfp346
Drd5	Drd5
Cplx2	Cplx2
Gli1	Gli1
Adgrf4	Adgrf4
Sppl3	Sppl3
Prorsd1	Prorsd1
Bpifb2	Bpifb2
Efcab2	Efcab2
Isl2	
Isoc2a	Isoc2a
Arvcf	Arvcf
Sod3	Sod3
Fndc11	Fndc11
Ints4	Ints4
Mlh3	Mlh3
Aco2	
Mob1b	Mob1b
Gm13695	
Kif20b	Kif20b
Cptp	Cptp
Ptges	Ptges
Ces2e	
Avpr2	Avpr2
Snrpb2	
Cyp7a1	Cyp7a1
Hivep3	Hivep3
Nr1d1	Nr1d1
Tmc7	Tmc7
Tcirg1	Tcirg1
Csn3	Csn3
Capn1	Capn1
Pmm2	
Med7	Med7
Ifi27	
Plekhm1	Plekhm1
Scgb3a2	
Slc35f2	Slc35f2
Lrp1	Lrp1
Ptrh1	Ptrh1
Olfr1395	Olfr1395
Adam18	Adam18
Gm20547	
E130309D02Rik	E130309D02Rik
Lingo2	Lingo2
Chd4	Chd4
Cbr4	Cbr4
Tectb	Tectb
Zswim1	Zswim1
Sephs2	Sephs2
Il18rap	Il18rap
Spop	
Sarm1	Sarm1
Gm4858	
Ifna6	
Mill2	
Smpdl3a	Smpdl3a
Gm27747	RF02109
Hsd17b13	Hsd17b13
Krt13	Krt13
Chchd7	Chchd7
Cib1	Cib1
Dlc1	
Ifi208	
Alx1	Alx1
Psmd9	Psmd9
Thumpd2	Thumpd2
Gprasp2	Gprasp2
Igfals	Igfals
Zfp622	Zfp622
Klhl26	Klhl26
Siae	Siae
Mfn2	Mfn2
Med12l	Med12l
Ctps2	Ctps2
Fam78a	Fam78a
Rps20	Rps20
Coasy	Coasy
Ccdc186	Ccdc186
Crhr1	Crhr1
Hrasls	Hrasls
Ap2b1	
Wnt8b	Wnt8b
Prkcq	Prkcq
Calml4	Calml4
Ppm1g	Ppm1g
Olfr1273-ps	
Grid1	Grid1
Cd40lg	Cd40lg
Olfr173	
Mlycd	Mlycd
Olfr523	Olfr523
Gabrp	Gabrp
Kcnma1	Kcnma1
Osbpl11	Osbpl11
Prpf38a	Prpf38a
Nr2f2	Nr2f2
Nab2	Nab2
1600015I10Rik	1600015I10Rik
Fst	Fst
Zfp524	
Ankrd12	
Orm2	
Grb10	Grb10
Vamp3	Vamp3
Tmem237	Tmem237
Olfr307	
Cd6	Cd6
Adipoq	Adipoq
Adam20	
Mia2	Mia2
Scgb1a1	Scgb1a1
Cd274	Cd274
Tfb1m	Tfb1m
Spns2	Spns2
Tstd1	Tstd1
Cfap100	Cfap100
Ctss	Ctss
Pus3	Pus3
1700015F17Rik	1700015F17Rik
Mroh1	Mroh1
Zfyve1	Zfyve1
Iws1	Iws1
Trak1	Trak1
Dap	Dap
Ska2	Ska2
Tmcc1	Tmcc1
Gins2	Gins2
Tas2r105	
Serpinb5	
Prdx6b	
Galp	Galp
Cysrt1	Cysrt1
Kazn	
Cyp2j6	
Zxdb	
Srpk1	Srpk1
Olfr287	
Tas2r120	Tas2r120
Stom	Stom
Tyr	Tyr
Gm27587	RF01879
Igkv3-5	
Mrpl32	Mrpl32
Psma3	
Ccr2	Ccr2
Timm8b	Timm8b
Wwp2	Wwp2
Hoxd9	Hoxd9
Actl11	Actl11
Camsap3	Camsap3
Ncapg2	Ncapg2
BC048679	BC048679
Bmp5	Bmp5
Znrd1	Znrd1
Rasa2	Rasa2
Bmp6	Bmp6
Tctn3	Tctn3
Mettl16	
Atg13	Atg13
Tex13b	
Phf14	Phf14
Map3k12	Map3k12
Traip	Traip
Gm25823	RF00105
Abcb11	Abcb11
Olfr1249	
Gm26467	RF00105
Armh1	Armh1
Bms1	Bms1
Mks1	Mks1
Bub3	Bub3
Ttk	Ttk
Cyp2c70	Cyp2c70
Spryd3	Spryd3
Itgb3	Itgb3
Nek1	Nek1
Homer3	Homer3
Nkx2-1	Nkx2-1
Tdpoz2	
Slc6a12	Slc6a12
Calr	Calr
Spcs3	Spcs3
Coa3	Coa3
Fnbp1	Fnbp1
Sptbn4	Sptbn4
Clvs2	Clvs2
Pom121l2	
Mapre3	Mapre3
Soat2	Soat2
Cbs	Cbs
Cdc42se1	Cdc42se1
Nxnl1	
Sun2	Sun2
Car14	Car14
Nrap	Nrap
Gm7903	
Grik1	Grik1
R3hcc1	R3hcc1
Gbx2	Gbx2
Prss40	
Tnfrsf21	Tnfrsf21
Tulp4	Tulp4
Gem	Gem
4930453N24Rik	4930453N24Rik
Ret	Ret
Rab3ip	
Them4	Them4
Olfr1392	
Saxo2	Saxo2
Cntn6	Cntn6
Mcm10	
Ranbp10	Ranbp10
Gucd1	Gucd1
Rgs1	Rgs1
Tceanc2	Tceanc2
Klf4	Klf4
Snapc2	Snapc2
Tns3	Tns3
Ccl21c	
Rbm38	
Scoc	Scoc
Arel1	Arel1
Olfr124	Olfr124
Dguok	Dguok
Trim65	Trim65
Gm24585	RF00105
Aldh1a1	
Nploc4	Nploc4
Itln1	
Cyp3a44	
BC052040	BC052040
Neurl2	Neurl2
Dicer1	Dicer1
Auh	Auh
Arnt2	Arnt2
AC123873.3	
Zc3h10	Zc3h10
AI182371	AI182371
Fut10	Fut10
Gm16367	
Slc24a2	Slc24a2
Olfr518	
Tefm	Tefm
Qtrt1	Qtrt1
Gm13043	
Adam5	Adam5
Armc5	Armc5
Zscan26	Zscan26
Ifna14	
Park7	
Ntm	Ntm
Pofut2	Pofut2
Ddx5	Ddx5
Rps6ka2	Rps6ka2
Ubxn2b	Ubxn2b
Tamm41	Tamm41
Gm7982	
Pdgfd	Pdgfd
Bin3	Bin3
Aoah	Aoah
Alkbh5	Alkbh5
Gm37596	
Bcan	Bcan
Pdha2	
Naip2	
Polr2c	
Ace	Ace
Amer1	Amer1
Nr0b2	Nr0b2
Ryr1	Ryr1
Il1r2	Il1r2
Syna	
E130308A19Rik	E130308A19Rik
Tbr1	Tbr1
Fam222b	Fam222b
Lig1	Lig1
Yod1	Yod1
Pp2d1	
Rbfa	Rbfa
Vasp	Vasp
Cct2	Cct2
Nav2	Nav2
Erap1	Erap1
Lck	Lck
Rin2	Rin2
Pfkfb1	Pfkfb1
Olfr869	
Gm23688	RF00105
Atp5k	
Zfp2	Zfp2
Olfr552	Olfr552
Abca8b	Abca8b
Chst7	Chst7
Cdc73	Cdc73
Il18	Il18
Fndc3a	Fndc3a
Radil	Radil
Slc6a8	Slc6a8
Pih1d2	Pih1d2
Igkv3-1	
1110059G10Rik	
Prpsap2	Prpsap2
Olfr137	Olfr137
Ccdc30	Ccdc30
Arf4	
Dhx58	Dhx58
Htr1d	Htr1d
Ttc39d	Ttc39d
Ciz1	
Ggta1	Ggta1
Olfr1106	Olfr1106
Pds5a	Pds5a
Loxl4	Loxl4
Trp53i13	Trp53i13
D5Ertd577e	
Esrrb	Esrrb
Fxyd5	
Slc7a14	Slc7a14
Gm7682	
Clec4g	Clec4g
Ugt2b35	
Glyat	Glyat
Gprin1	Gprin1
Il1f8	Il1f8
A1cf	A1cf
Olfr402	
Itgb3bp	Itgb3bp
Tgm6	Tgm6
Atp4a	Atp4a
Fsd2	Fsd2
Fbxl8	Fbxl8
Mcu	Mcu
Gtf2h5	Gtf2h5
Mllt3	Mllt3
Ak5	Ak5
Abcb6	Abcb6
Nfam1	
Scyl1	Scyl1
Ackr2	Ackr2
Gmfb	Gmfb
Gm23310	RF00105
Irf2bpl	Irf2bpl
Tmem163	Tmem163
Ubald2	Ubald2
Creg1	
Magi2	Magi2
Lhx5	Lhx5
Agap1	Agap1
Ccdc105	Ccdc105
Stab1	Stab1
Dll4	Dll4
Kansl1l	Kansl1l
Slc16a2	Slc16a2
Acss1	Acss1
Zer1	Zer1
Tab2	Tab2
Gtdc1	
Cyb561	Cyb561
Mmp23	Mmp23
Olfr160	
Tpcn2	Tpcn2
Prss55	Prss55
Nr1d2	
Crygs	Crygs
Tmem51	Tmem51
Rsc1a1	
Ndnf	Ndnf
Oas1f	
Olfr872	
Gm49336	
Txnl1	Txnl1
4921511M17Rik	
Tmem239	Tmem239
Sfrp4	Sfrp4
E130114P18Rik	
Nubpl	Nubpl
Tdpoz1	
Wdr17	
Bzw2	Bzw2
Gng2	Gng2
Acpp	Acpp
1500015O10Rik	1500015O10Rik
Dek	Dek
Olfr1500	
Otof	Otof
Rapgef6	
Zdhhc5	Zdhhc5
Nrip3	Nrip3
Aqp3	Aqp3
Paics	Paics
Sez6l	Sez6l
Cklf	Cklf
Mogat2	Mogat2
Pld2	Pld2
Lrrc32	Lrrc32
Gm30191	Gm30191
Aldh9a1	
Gls2	Gls2
Akr1c13	
Ccng1	
Syt11	Syt11
Washc5	Washc5
Ociad1	Ociad1
Arhgef37	Arhgef37
Dexi	Dexi
Atp2b1	Atp2b1
Zfp523	
Lyst	Lyst
Gm13304	
Pno1	Pno1
Mrps5	Mrps5
Sncb	Sncb
Il1f5	Il1f5
Ano8	Ano8
Cdk5	Cdk5
Dact3	
Olfr50	Olfr50
Lrp8	Lrp8
Ddx1	Ddx1
Gm23944	RF00105
Cnppd1	
Olfr25	
Tril	Tril
Itgam	
Zc3h8	Zc3h8
Wtap	Wtap
Unc93b1	Unc93b1
Zfp804b	Zfp804b
Six3	Six3
Col6a6	Col6a6
Tmem266	Tmem266
Plk3	Plk3
Brsk2	
Pramef17	
Reps2	Reps2
Gm23254	RF00105
Tinag	Tinag
Cryba1	Cryba1
Prkag1	Prkag1
Ush1c	Ush1c
Zfp7	
Zfp317	Zfp317
Olfr876	
Has2	Has2
H2afz	H2afz
Pnisr	
Olfr646	Olfr646
Prom2	Prom2
Steap4	Steap4
Crebrf	Crebrf
Rhod	Rhod
Bmi1	Bmi1
Cyp24a1	Cyp24a1
Spink5	Spink5
Wee1	Wee1
Mcm6	Mcm6
Relb	
Cdx1	Cdx1
Mzt2	
Olfr1199	Olfr17
Skil	Skil
Hnrnph3	Hnrnph3
Chp2	Chp2
Mal	Mal
Fignl2	Fignl2
E2f6	E2f6
Adh4	Adh4
Nrip2	
Slc51b	Slc51b
Itpr1	Itpr1
Tmprss6	Tmprss6
AU040320	
Ptprz1	Ptprz1
Gm26337	RF00105
Rif1	Rif1
Ndufaf1	Ndufaf1
Ndst4	Ndst4
Hist1h1t	Hist1h1t
Daam2	Daam2
Sh2b1	Sh2b1
Smc1b	Smc1b
Tas2r143	Tas2r10
Gm7942	
Sharpin	Sharpin
Rph3al	Rph3al
Cxcl13	Cxcl13
Osbpl6	Osbpl6
Pcdh10	Pcdh10
Hpcal4	Hpcal4
Hhla1	Hhla1
Tmem213	Tmem213
Gm12789	
Klhl9	Klhl9
Gpr6	Gpr6
Pramel3	
Ergic2	Ergic2
Tulp1	
Uhmk1	Uhmk1
Cst10	Cst10
Wrb	Wrb
Zbtb37	Zbtb37
Zgrf1	
Ap1s2	Ap1s2
Olfr1393	
Atxn1l	Atxn1l
Polr3d	Polr3d
Gm5640	
Nkg7	Nkg7
Abcb7	Abcb7
Hmgcs1	Hmgcs1
Cttn	Cttn
Ano3	Ano3
Ngfr	Ngfr
Mfap2	Mfap2
Il34	Il34
Tpr	Tpr
Rmdn2	Rmdn2
Map7d2	Map7d2
Nsdhl	Nsdhl
Cnot7	Cnot7
Hipk3	
Abtb2	Abtb2
Irs1	Irs1
Xpo5	Xpo5
Pdc	Pdc
Sh2d7	Sh2d7
Gm24657	RF00105
Cebpe	Cebpe
Otp	Otp
Taf11	Taf11
Csgalnact1	Csgalnact1
Myl9	
Igkv3-2	
Gng8	Gng8
Pcdha7	
Gm3106	
Kat8	Kat8
Arpc5	Arpc5
Tfec	Tfec
Cct5	Cct5
F2rl2	F2rl2
Cav2	Cav2
Gjd4	Gjd4
Rgsl1	Rgsl1
Fxyd1	Fxyd1
Nrros	Nrros
Shcbp1	Shcbp1
Scube3	Scube3
Krt5	Krt5
Gdpgp1	Gdpgp1
Cobl	
Cacna1b	Cacna1b
Mtmr3	
Lama1	Lama1
Zfp354a	Zfp354a
Rufy1	Rufy1
Asb15	Asb15
6030498E09Rik	6030498E09Rik
Nrf1	Nrf1
Aen	Aen
Kirrel2	Kirrel2
Fcer1a	Fcer1a
Gm26059	RF00105
E2f3	E2f3
Phlda2	Phlda2
Zbtb43	Zbtb43
Fam205a3	
Fam240a	Fam240a
Psmc1	Psmc1
Acsm3	Acsm3
Olfr390	
Nsmce4a	Nsmce4a
Itpk1	Itpk1
Sumo1	Sumo1
Gm26392	RF00105
Chic2	Chic2
Nlrx1	Nlrx1
Pdxk	Pdxk
Cpeb1	Cpeb1
Riox2	Riox2
Igfbp6	Igfbp6
Trpv4	Trpv4
Uqcrh	Uqcrh
Spidr	Spidr
Actl9	Actl9
Car7	Car7
Gm6205	
Ppt2	Ppt2
Cad	Cad
Rsrc2	Rsrc2
Lipt1	Lipt1
Zfpm1	Zfpm1
Rpl3	Rpl3
Sox9	Sox9
Gmip	Gmip
Mien1	
Gemin4	Gemin4
Abraxas1	Abraxas1
Ahsa1	Ahsa1
Ugt2a1	
Spata2l	Spata2l
Msgn1	Msgn1
Akr7a5	Akr7a5
Abr	Abr
Sdsl	Sdsl
Coa6	
Tti1	Tti1
Nme2	
Hoxb13	Hoxb13
Cltrn	Cltrn
Gm49368	
Abi2	Abi2
Hs3st4	
Hsf1	Hsf1
Reep4	Reep4
Stk32a	Stk32a
Cd70	Cd70
Oaz1	
Glod4	Glod4
Stam	Stam
Mark2	Mark2
Cep295nl	Cep295nl
Arl6ip6	Arl6ip6
Gtf2h2	Gtf2h2
Zfp740	Zfp740
Reg3d	Reg3d
Hist2h2aa1	
Spry3	Spry3
Lgr5	Lgr5
Ribc2	Ribc2
Selenop	
Inhba	Inhba
Rnf222	Rnf222
Agtrap	Agtrap
Atp5o	Atp5o
Rln3	Rln3
Anapc2	Anapc2
Zkscan6	Zkscan6
Ermn	Ermn
Srsf3	Srsf3
Cd109	
Iglon5	Iglon5
Atat1	Atat1
Lmtk3	
Dvl3	Dvl3
Olfr239	
Klrg2	Klrg2
Vdac2	
Ugt1a9	
Sik2	
Colec11	Colec11
DXBay18	
Sik1	Sik1
AI464131	AI464131
Nup50	Nup50
Capn2	Capn2
Bcl11a	Bcl11a
Ap3s2	Ap3s2
Aagab	
Cd69	Cd69
Rbpjl	Rbpjl
Htr1f	Htr1f
Arl4c	Arl4c
AC125178.1	
Tex38	Tex38
Cspp1	Cspp1
Spink7	Spink7
C1qa	C1qa
Gm11555	
Ptger3	Ptger3
Pcyox1l	Pcyox1l
Nsun5	Nsun5
Myo5b	
Mapk1	Mapk1
Sf3b4	Sf3b4
AC163611.2	
Ulk3	
Lrrc74b	Lrrc74b
Gm13696	
Tmem14c	
Xpo7	Xpo7
Mos	Mos
Mesp1	Mesp1
Clrn2	Clrn2
Zranb3	Zranb3
Mmp12	Mmp12
Pcdha9	Pcdha9
Mrps33	Mrps33
Tlr11	Tlr11
Tmod2	Tmod2
Necap1	Necap1
Il17c	Il17c
Vmn2r117	
Itgbl1	Itgbl1
Btbd2	Btbd2
Ocln	Ocln
Fer1l4	Fer1l4
Slc6a11	Slc6a11
Dpf2	Dpf2
AC140325.3	
Creld1	Creld1
Dok2	Dok2
Rnase13	Rnase13
Cdk4	Cdk4
Timm17b	Timm17b
Ifna11	
Olfr178	
Cilp2	Cilp2
Pou5f1	
Mkrn2	Mkrn2
Olfr1416	
Ovol3	Ovol3
Ddx28	Ddx28
Zfp866	Zfp866
Klf10	Klf10
Syde2	Syde2
Abhd17c	
Elk4	Elk4
Anxa11	Anxa11
Gm45062	
Snrpb	Snrpb
Pheta1	Pheta1
P2ry10	P2ry10
Rere	Rere
Gm24143	RF00428
Slc37a4	Slc37a4
Irgq	Irgq
Fibcd1	Fibcd1
Anapc15-ps	Anapc15-ps
Mtx1	Mtx1
Plpp5	Plpp5
Rd3	Rd3
Rnf34	
Pycr1	Pycr1
Hspa4l	Hspa4l
Mme	
Tbc1d8b	Tbc1d8b
Olfr926	
Tfrc	Tfrc
Oc90	Oc90
Creld2	Creld2
Mc2r	Mc2r
Chd1	Chd1
Gm4353	
Prl5a1	
Jakmip3	Jakmip3
4930452B06Rik	4930452B06Rik
Olfr140	Olfr140
Prkcz	Prkcz
Wisp3	Wisp3
Frmpd4	Frmpd4
Pdia6	Pdia6
Bnc1	Bnc1
Vegfd	Vegfd
Gm28360	
Eif2b3	
Cdk8	Cdk8
Traf3ip1	
Habp4	Habp4
E2f1	E2f1
Olfr959	Olfr959
Bub1	Bub1
Crnn	Crnn
Gm5773	
Gprc5c	
Ugt1a1	Ugt1a1
Csrp2	
Sh2d4b	Sh2d4b
Cxcr5	Cxcr5
Tmem97	Tmem97
Olfr984	
Parg	Parg
Trim2	Trim2
Ndufs3	Ndufs3
Pcdhb12	
Ahnak	Ahnak
Vav3	
Gm22640	RF00105
Gm25499	RF00105
Eif3b	Eif3b
Mrpl28	Mrpl28
Gm2001	
Tmem251	Tmem251
Gpatch2l	Gpatch2l
Acot11	Acot11
Scai	Scai
Tbc1d25	Tbc1d25
Bcl2l12	Bcl2l12
Senp6	Senp6
Wdr36	Wdr36
Hmgb3	Hmgb3
Fezf1	Fezf1
Med26	Med26
Pigc	Pigc
Psmc2	
Gm13697	
Blmh	Blmh
Chchd10	Chchd10
Gpr158	Gpr158
Sap25	Sap25
Slc25a44	Slc25a44
Gm45015	
Usp43	Usp43
Smtnl1	
Flcn	Flcn
Frmd6	Frmd6
Phf19	Phf19
Tgm3	Tgm3
Nasp	Nasp
Mmp21	Mmp21
Gm16429	
Cldn23	Cldn23
Scgb3a1	Scgb3a1
Pms2	
Tcp11	
Gm27179	
Gm24021	RF00105
Pou3f1	Pou3f1
Sult2a3	
F8a	F8a
Nt5c2	Nt5c2
Rps6kb1	Rps6kb1
Ifna15	
Nxph2	Nxph2
Dut	Dut
Lipf	Lipf
Thoc3	
Ifrd1	Ifrd1
Efna4	Efna4
Olfr453	Olfr4
Prkab2	Prkab2
Olfr452	
Srms	Srms
Themis	Themis
Ift46	Ift46
Ccne1	Ccne1
Arhgap35	Arhgap35
Il10	Il10
Tpm4	Tpm4
Hao2	Hao2
Adam22	Adam22
Cntf	Cntf
CR974586.1	
Ktn1	Ktn1
Esr1	Esr1
Jcad	Jcad
Gm3147	
Naa11	Naa11
Phyhipl	Phyhipl
Rbm3	Rbm3
Fam222a	Fam222a
Prss23	Prss23
Ccdc66	Ccdc66
Mllt10	
Xbp1	Xbp1
Dpp3	Dpp3
Cnot4	Cnot4
Olfr1099	
Pcdhga2	Pcdhga2
Fbxo34	Fbxo34
Tnfrsf12a	
Spg20	Spg20
Olfr380	
Als2	Als2
Kcnk9	Kcnk9
Zmat4	Zmat4
Eif4g3	
Dntt	Dntt
Olfr1385	
Pir	Pir
AC133095.1	
Fiz1	Fiz1
Slc6a2	Slc6a2
Ccdc169	Ccdc169
Zswim3	Zswim3
Ch25h	
2410004B18Rik	2410004B18Rik
Lrig2	Lrig2
Pon2	Pon2
Mpz	Mpz
Bche	Bche
Mamstr	Mamstr
Cpsf4l	
Pax2	Pax2
Sprn	Sprn
Gucy2g	Gucy2g
Slc8a2	Slc8a2
Dnmt1	Dnmt1
Ajap1	Ajap1
Hesx1	Hesx1
Rbpms	Rbpms
Bco1	Bco1
Gm24966	RF00105
Padi6	Padi6
Clu	Clu
Cpb2	Cpb2
Nsfl1c	Nsfl1c
Egr3	Egr3
Lnpep	Lnpep
Nek2	Nek2
Rrs1	Rrs1
Mas1	Mas1
Ggact	Ggact
Kbtbd6	Kbtbd6
Gm25452	RF00105
Figla	
Sfxn2	Sfxn2
Tex101	Tex101
Thap12	
Fabp6	Fabp6
Olfr980	
Senp8	Senp8
Pex26	Pex26
Nacc2	Nacc2
Dhx40	Dhx40
Rbm4b	Rbm4b
Erich1	Erich1
Ccl2	Ccl2
Cldn1	Cldn1
Rnf139	Rnf139
Zdhhc18	Zdhhc18
P4ha1	P4ha1
Rnf8	
Oas1h	
Lyn	Lyn
Olfr1226	
Lrif1	Lrif1
1110038F14Rik	1110038F14Rik
Vash1	Vash1
Htr7	Htr7
Prima1	Prima1
Eri2	
Slc10a7	Slc10a7
Mageh1	Mageh1
Cntn2	Cntn2
Faap100	Faap100
Phlpp1	Phlpp1
Armcx6	Armcx6
Lin37	Lin37
Ddc	Ddc
Cxcl10	Cxcl10
Calcrl	Calcrl
Krt19	Krt19
Uba7	Uba7
Gm25461	RF00105
Fam47e	
Gm10330	
Prdm6	Prdm6
Yipf6	Yipf6
Eef1akmt3	Eef1akmt3
Cacnb1	Cacnb1
Slco3a1	Slco3a1
Wnk4	Wnk4
Gnmt	
Snd1	Snd1
1500009L16Rik	1500009L16Rik
Rbms3	Rbms3
Kcnb1	Kcnb1
Zfp438	Zfp438
Ssbp2	Ssbp2
Epha5	Epha5
Kcnj4	Kcnj4
Adh6a	Adh6a
Dpy19l4	Dpy19l4
Stxbp5	Stxbp5
Epb41l4b	
Krtap3-3	
Tas2r113	Tas2r6
Gstz1	Gstz1
Olfr1201	
Il19	Il19
Gm24926	RF00105
Cnpy3	Cnpy3
Ccdc92b	Ccdc92b
Trim30a	
Cabcoco1	Cabcoco1
Crebzf	Crebzf
Tac4	Tac4
Spsb4	Spsb4
Il13	Il13
Ces2c	
Sart3	Sart3
Pde7b	Pde7b
Isoc1	Isoc1
Dnmbp	Dnmbp
Klk9	Klk9
4930438A08Rik	4930438A08Rik
Tas2r137	Tas2r13
Pdhb	Pdhb
Olfr1195	Olfr17
Tap1	Tap1
Gse1	Gse1
Klhl23	Klhl23
Cdc25a	Cdc25a
Egln3	Egln3
Phf6	Phf6
Mrpl4	Mrpl4
Gm6351	
Pik3cd	Pik3cd
Cpz	Cpz
Ces2g	
Defb45	Defb45
Sla	Sla
Gtf2b	
Fam114a2	Fam114a2
Osbpl1a	
Mbd1	Mbd1
Fanci	Fanci
Dnal1	Dnal1
C87414	
Olfr512	
Sbk1	Sbk1
Olfr365	
Zeb2	Zeb2
Zc3h7a	Zc3h7a
Cd226	Cd226
Calca	Calca
Sec16a	Sec16a
Fbxl2	Fbxl2
Zw10	Zw10
Aph1b	
Rwdd2a	Rwdd2a
Gm15140	
Abl2	Abl2
