Gene name	Sheep gene name
Serpina3a	ENSOARG00000009286
Serpina3a	ENSOARG00000015292
Nkiras1	NKIRAS1
Sgo2b	SGO2
Zfp317	
Olfr514	ENSOARG00000017173
Olfr514	ENSOARG00000017164
Olfr514	ENSOARG00000000061
Olfr516	ENSOARG00000017173
Olfr516	ENSOARG00000017164
Olfr516	ENSOARG00000000061
Olfr1049	
Fgd5	FGD5
Lrrk1	LRRK1
Camk2d	CAMK2D
Ube2e1	
Myod1	ENSOARG00000025174
Chek1	CHEK1
Olfr517	ENSOARG00000017173
Olfr517	ENSOARG00000017164
Olfr517	ENSOARG00000000061
Tusc1	ENSOARG00000008914
Paxip1	ENSOARG00000001818
Paxip1	ENSOARG00000006507
Calm3	CALM3
Psmb3	PSMB3
Slco6d1	SLCO6A1
Nos1	NOS1
Fgf6	FGF6
Sh3bp5	SH3BP5
Kiz	KIZ
Nr2e1	NR2E1
Gpr89	ENSOARG00000020559
Tstd3	ENSOARG00000011806
Fyn	FYN
Orc2	ORC2
Dscc1	DSCC1
Ugp2	UGP2
Usp45	USP45
Olfr518	ENSOARG00000017173
Olfr518	ENSOARG00000017164
Olfr518	ENSOARG00000000061
Trav7-3	ENSOARG00000002686
Lonrf3	LONRF3
Usp5	USP5
Trav6-4	ENSOARG00000002663
Trav6-4	ENSOARG00000001017
Trav6-4	ENSOARG00000019582
Trav6-4	ENSOARG00000019546
Trav6-4	ENSOARG00000019573
Olfr716	
Smad3	ENSOARG00000018267
Smad3	SMAD3
0610030E20Rik	C2orf68
Serpina3b	ENSOARG00000015253
Serpina3b	ENSOARG00000009286
Serpina3b	ENSOARG00000015292
Kif3c	KIF3C
Gja8	GJA8
Obp2a	ENSOARG00000005187
Agbl5	AGBL5
Wnt9a	WNT9A
Olfr825	OR9K2
Cd160	
Col11a2	COL11A2
Zdhhc24	ZDHHC24
Mlph	ENSOARG00000019048
Mlph	ENSOARG00000002886
Mlph	ENSOARG00000001940
Enpp4	ENPP4
Gck	GCK
Cluh	CLUH
Capn7	CAPN7
Gbp4	ENSOARG00000015399
Gbp4	ENSOARG00000015432
Gbp4	ENSOARG00000015386
Gbp4	ENSOARG00000007121
Gbp4	ENSOARG00000002922
Pole	POLE
Lrp2	LRP2
Elovl2	ELOVL2
Tecr	ENSOARG00000002466
Tecr	ENSOARG00000002469
Treml4	
N6amt1	N6AMT1
Nlrp14	NLRP14
Zfr2	ZFR2
Gja5	GJA5
Asxl2	ENSOARG00000018413
Zfp329	
Abcd4	ABCD4
Vwde	ENSOARG00000006869
Dlx4	DLX4
Ces1g	ENSOARG00000018268
Ces1g	ENSOARG00000018232
Pdzk1	PDZK1
Pdlim2	ENSOARG00000010264
Pdlim2	ENSOARG00000002086
Gnat3	GNAT3
Bmyc	MYC
Pnmal2	PNMA8B
Bace1	BACE1
Gbp8	ENSOARG00000015399
Gbp8	ENSOARG00000015432
Gbp8	ENSOARG00000015386
Gbp8	ENSOARG00000007121
Gbp8	ENSOARG00000002922
Tmed4	TMED4
Olfr826	OR9K2
Pnmal1	ENSOARG00000010599
Nif3l1	NIF3L1
Ap1m1	AP1M1
Kcnc1	KCNC1
Pex19	PEX19
Ndufa2	NDUFA2
Zfp110	ENSOARG00000003827
Xkr5	XKR5
Gm42372	
Hba-x	HBZ
Prc1	PRC1
Sgms1	SGMS1
Tubd1	TUBD1
Pih1h3b	PIH1D3
Zap70	ZAP70
Tmem165	TMEM165
Gbp9	ENSOARG00000015399
Gbp9	ENSOARG00000015432
Gbp9	ENSOARG00000015386
Gbp9	ENSOARG00000007121
Gbp9	ENSOARG00000002922
Il11	IL11
Scn1a	SCN1A
Rgs6	RGS6
Nudt13	NUDT13
4930503L19Rik	C18orf54
Anxa7	ANXA7
Ercc5	
Six1	SIX1
Olfr444	
Phip	PHIP
Tmem190	TMEM190
Ik	IK
Cgn	CGN
Olfr677	
Ppil3	PPIL3
Mansc1	MANSC1
Vmn1r27	
Slc45a2	SLC45A2
Slc39a12	SLC39A12
Adamts18	ADAMTS18
Psma6	PSMA6
Dqx1	DQX1
Vmn1r28	
Pigr	PIGR
Six4	SIX4
Synpr	SYNPR
Slc25a31	SLC25A31
Fcgr2b	FCGR2B
Fcgr2b	ENSOARG00000010051
Ormdl3	ORMDL3
Unc13b	UNC13B
Vmn1r29	
Slfn3	ENSOARG00000006911
Aloxe3	ALOXE3
Ago4	AGO4
Bcap29	BCAP29
Iglc1	ENSOARG00000012585
Iglc1	ENSOARG00000015034
Il13	IL13
Umad1	ENSOARG00000005735
Umad1	ENSOARG00000007195
Olfr441	
Borcs5	BORCS5
Synj2	SYNJ2
N4bp2	N4BP2
Vmn1r30	
Gm4881	ENSOARG00000008300
Csdc2	CSDC2
Prl2c2	ENSOARG00000008865
Prl2c2	ENSOARG00000008416
Prl2c2	ENSOARG00000008080
Prl2c2	ENSOARG00000008309
Prl2c2	ENSOARG00000008383
Prl2c2	ENSOARG00000008492
Prl2c2	PRL
Prl2c2	ENSOARG00000008523
Prl2c2	ENSOARG00000008690
Prl2c2	PRP2
Prl2c2	ENSOARG00000008381
Prl2c2	ENSOARG00000008627
Gm45062	ENSOARG00000005735
Gm45062	ENSOARG00000007195
Xrn2	XRN2
Ccdc8	CCDC8
Ap1g2	AP1G2
Npepps	NPEPPS
Ptprf	PTPRF
Dna2	DNA2
Glcci1	GLCCI1
Tmem238	
Chn1	CHN1
Piezo2	PIEZO2
Trip10	TRIP10
Gabrg2	GABRG2
Hba-a1	ENSOARG00000010944
Ces1h	ENSOARG00000018268
Ces1h	ENSOARG00000018232
Arhgdig	ARHGDIG
Eda2r	EDA2R
Traf3ip2	TRAF3IP2
Klhl29	KLHL29
Lrrc3c	
Gm12355	
Obp2b	ENSOARG00000005187
Stard6	STARD6
Tfap2b	TFAP2B
Tdo2	TDO2
Fut9	FUT9
Dusp16	DUSP16
Gpr150	ENSOARG00000017268
Uri1	URI1
Smc5	SMC5
Pdia2	PDIA2
Tdrp	TDRP
4930435E12Rik	ENSOARG00000019669
Cacna1a	CACNA1A
Hbq1b	HBQ1
Gm10436	ENSOARG00000011511
Gm10436	ENSOARG00000011390
Gm10436	ENSOARG00000011178
Gm10436	ENSOARG00000011567
Gm10436	ENSOARG00000011153
Gm10436	ENSOARG00000011458
Gm10436	ENSOARG00000011487
Gm10436	ENSOARG00000003584
Gm10436	ENSOARG00000011209
Gm10436	ENSOARG00000011126
Gm10436	ENSOARG00000011338
Gm10436	ENSOARG00000011025
Gm10436	ENSOARG00000011576
Gm10436	ENSOARG00000003461
Gm10436	ENSOARG00000010975
Gm10436	ENSOARG00000011039
Gm10436	ENSOARG00000011419
Abcc9	ABCC9
Grhl3	GRHL3
Commd5	COMMD5
Zscan4d	ENSOARG00000003741
Zscan4d	ENSOARG00000003702
Ostm1	OSTM1
Slc28a2	SLC28A2
Rxfp3	RXFP3
Ube2s	UBE2S
Ncapg	NCAPG
Apol6	APOL6
Fcer2a	FCER2
Rgs11	RGS11
Rcbtb1	RCBTB1
Rpl28	
Kcnf1	KCNF1
Mtmr10	MTMR10
Vmn1r31	
Glb1l3	GLB1L3
Xrcc3	XRCC3
Gm9733	SIRPB2
Gm9733	ENSOARG00000018467
Gm9733	ENSOARG00000007600
Ear2	ENSOARG00000019719
Prss21	PRSS21
Mnat1	MNAT1
Frmpd3	FRMPD3
Olfr519	ENSOARG00000017173
Olfr519	ENSOARG00000017164
Olfr519	ENSOARG00000000061
Tmem168	TMEM168
Hoxa10	HOXA10
Pes1	PES1
Lcorl	LCORL
Lrrc72	LRRC72
Hba-a2	ENSOARG00000010944
Pde7b	PDE7B
Abcf3	ABCF3
Klc1	ENSOARG00000005991
Nudt7	NUDT7
Adamts2	ADAMTS2
Capzb	CAPZB
Nova1	NOVA1
Hmga1-rs1	HMGA1
Fosl2	FOSL2
Deptor	ENSOARG00000016365
March11	ENSOARG00000013092
Asap1	ASAP1
Thtpa	THTPA
Rccd1	RCCD1
Pex14	PEX14
Ndufc1	
Slfn14	SLFN14
Sapcd1	SAPCD1
Sema6a	SEMA6A
Zfhx2	ZFHX2
Hbq1a	HBQ1
Rwdd2b	RWDD2B
Ak4	AK4
Rabac1	RABAC1
Traf1	TRAF1
Arfgef1	ARFGEF1
Zfp248	ZNF248
Apol7a	ENSOARG00000002744
Apol7a	ENSOARG00000018691
Apol7a	ENSOARG00000002705
Apol7a	ENSOARG00000002839
Apol7a	ENSOARG00000000527
Apol7a	ENSOARG00000000734
Apol7a	ENSOARG00000020215
Apol7a	ENSOARG00000018703
Apol7a	ENSOARG00000017579
Apol7a	ENSOARG00000018682
Apol7a	ENSOARG00000011023
Ar	AR
Tlx2	TLX2
Vwa7	VWA7
Lzts3	LZTS3
Nlrp10	
Ost4	OST4
Park2	ENSOARG00000004788
Park2	ENSOARG00000004781
Wnt6	WNT6
Eif3f	EIF3F
Olfr237-ps1	
Myocd	MYOCD
Olfr1051	
Setx	SETX
Ifnlr1	IFNLR1
Prps1	PRPS1
Nfkbia	NFKBIA
Sh3pxd2b	SH3PXD2B
Ttc39b	TTC39B
Arsk	ARSK
Spink4	SPINK4
Fgf23	FGF23
Ciao1	CIAO1
Rbmxl2	ENSOARG00000016192
Sub1	SUB1
Spr	SPR
Tmem65	TMEM65
Neurod4	NEUROD4
Klc3	KLC3
Nol11	NOL11
Gbp10	ENSOARG00000015399
Gbp10	ENSOARG00000015432
Gbp10	ENSOARG00000015386
Gbp10	ENSOARG00000007121
Gbp10	ENSOARG00000002922
Kbtbd12	KBTBD12
Supt3	SUPT3H
Ube4a	UBE4A
Olfr1052	
Actbl2	ACTBL2
Adamts10	ADAMTS10
Msx2	MSX2
Dnd1	DND1
Brd1	BRD1
Rfng	RFNG
Usp6nl	USP6NL
Spata6	SPATA6
Olfr678	OR52E5
Gm43302	ENSOARG00000015399
Gm43302	ENSOARG00000015432
Gm43302	ENSOARG00000015386
Gm43302	ENSOARG00000007121
Gm43302	ENSOARG00000002922
Nuggc	NUGGC
Adamtsl3	ADAMTSL3
Cxcl1	ENSOARG00000025179
Cxcl1	ENSOARG00000014775
Cxcl1	ENSOARG00000014841
Ighv1-84	
Gbp6	ENSOARG00000015399
Gbp6	ENSOARG00000015432
Gbp6	ENSOARG00000015386
Gbp6	ENSOARG00000007121
Gbp6	ENSOARG00000002922
Tac4	
Ryr1	RYR1
Smap1	SMAP1
Epb42	EPB42
Ngb	NGB
Cxcl2	ENSOARG00000025179
Cxcl2	ENSOARG00000014775
Cxcl2	ENSOARG00000014841
Bag1	BAG1
Best3	BEST3
Tsc22d3	TSC22D3
Inpp4b	INPP4B
Elp4	ELP4
Bmt2	BMT2
Pde9a	PDE9A
Runx2	RUNX2
Gmeb1	GMEB1
Emx1	ENSOARG00000011643
Rpl38	
Erich1	ERICH1
Ercc2	ERCC2
Gabbr2	GABBR2
Sntn	SNTN
Tgfa	TGFA
Cenpu	CENPU
Olfr1053	
Hoxa11	
Pspc1	PSPC1
Kin	KIN
Peli3	PELI3
B3gat2	B3GAT2
Tigar	TIGAR
Zfp9	
Arsa	ARSA
Mthfd2l	MTHFD2L
Ddrgk1	DDRGK1
Ighv1-85	
Ank	ANKH
Nlrp4a	
Olfr679	OR56A3
Caap1	CAAP1
Phf12	PHF12
Nsf	NSF
Tnp1	TNP1
Sirpb1a	ENSOARG00000007634
Sirpb1a	ENSOARG00000004422
Sirpb1a	ENSOARG00000007425
Smad6	SMAD6
Olfr681	OR56A3
Il22ra1	IL22RA1
Serpinb3a	ENSOARG00000006727
Serpinb3a	ENSOARG00000006585
Serpinb3a	ENSOARG00000006669
Pdia6	PDIA6
Dusp4	DUSP4
Prss38	PRSS38
Adgrv1	ADGRV1
Gpr85	GPR85
Gsdma3	GSDMA
Trib2	TRIB2
Clock	CLOCK
2210016F16Rik	C9orf64
Tspan1	TSPAN1
Drd1	DRD1
Trav8-1	ENSOARG00000000720
Map3k10	MAP3K10
1110034G24Rik	C20orf196
Dohh	DOHH
Tas2r118	TAS2R16
Ocln	OCLN
Kcnc3	ENSOARG00000013837
Ppil4	PPIL4
AC155937.1	
Sfxn5	SFXN5
Romo1	ROMO1
Manea	MANEA
Sp3	SP3
Togaram1	TOGARAM1
4930578C19Rik	CXorf36
Ttc9b	TTC9B
Trav9-1	ENSOARG00000017128
Trav9-1	ENSOARG00000019593
Vat1l	VAT1L
Atp6v1c2	ATP6V1C2
Usp16	ENSOARG00000019637
Usp16	ENSOARG00000014528
Slc13a1	SLC13A1
Primpol	PRIMPOL
Cyp2e1	CYP2E1
Gm28036	ENSOARG00000014537
Pip4k2b	PIP4K2B
Chrd	CHRD
Shprh	SHPRH
Rin1	RIN1
Tspan17	TSPAN17
Tmem150a	TMEM150A
Pdxdc1	PDXDC1
Serpinb3d	ENSOARG00000006727
Serpinb3d	ENSOARG00000006585
Serpinb3d	ENSOARG00000006669
Myom3	MYOM3
Gm6268	
Asic5	ASIC5
Arhgap15	ENSOARG00000009910
Gm14569	KIAA1210
Ak1	AK1
Dhrs13	DHRS13
Cenpv	CENPV
Rnf181	RNF181
Cpne1	
Tnnt1	TNNT1
Gm10282	ENSOARG00000013467
Gm10282	HMGN4
Gm10282	ENSOARG00000009967
Ric3	RIC3
Parp10	PARP10
Pbdc1	PBDC1
Klf2	ENSOARG00000019122
Pcbd1	ENSOARG00000006333
Olig3	OLIG3
Tmem127	TMEM127
Ccnd2	CCND2
Lck	LCK
Dpp7	ENSOARG00000002186
Fastkd3	FASTKD3
Hc	C5
Zfp386	ENSOARG00000000292
Thpo	THPO
Tub	TUB
Ophn1	OPHN1
Kat7	KAT7
Zfp648	
Hoxa13	ENSOARG00000009550
Bank1	BANK1
Tespa1	TESPA1
Ankrd26	ENSOARG00000000716
D230025D16Rik	C16orf70
Pkhd1	PKHD1
Cct8	CCT8
Trav6-5	
Jmjd4	JMJD4
Fbf1	FBF1
Tnks	TNKS
Bmf	BMF
Plec	PLEC
Ripor2	ENSOARG00000005436
Coq10b	COQ10B
Iglc4	ENSOARG00000012585
Iglc4	ENSOARG00000015034
Creld1	CRELD1
Pmm1	PMM1
Wnt10a	WNT10A
Sergef	ENSOARG00000001462
Sergef	ENSOARG00000001673
Gpbp1	GPBP1
Pgrmc1	ENSOARG00000016375
Syt9	SYT9
Dmxl2	DMXL2
Gm8332	
Mgll	MGLL
Pcgf1	PCGF1
Gm5662	
Cwc25	CWC25
Dlgap2	DLGAP2
Ppp4r3b	PPP4R3B
Serpinb3c	ENSOARG00000006727
Serpinb3c	ENSOARG00000006585
Serpinb3c	ENSOARG00000006669
Snap47	SNAP47
Ntan1	NTAN1
Olfr437	OR2A2
Arcn1	ARCN1
Dcn	DCN
Trmt5	TRMT5
Wac	WAC
Igsf11	IGSF11
Serpinb3b	ENSOARG00000006727
Serpinb3b	ENSOARG00000006585
Serpinb3b	ENSOARG00000006669
Lims1	LIMS1
Chgb	CHGB
Camta2	CAMTA2
Glrx2	GLRX2
Sqle	SQLE
Inpp5e	
Trav10	ENSOARG00000019580
Trav10	ENSOARG00000019589
B3gnt9	B3GNT9
Zfp958	
Tecrl	TECRL
Trav6-6	ENSOARG00000002663
Trav6-6	ENSOARG00000001017
Trav6-6	ENSOARG00000019582
Trav6-6	ENSOARG00000019546
Trav6-6	ENSOARG00000019573
Clec3a	CLEC3A
Pard3b	PARD3B
Gatad2b	GATAD2B
Arhgap19	ENSOARG00000009482
Ttyh2	TTYH2
Psmd7	PSMD7
Prrt3	ENSOARG00000005415
Hoxc13	HOXC13
1810043G02Rik	C21orf2
Aqr	AQR
Smim13	SMIM13
Zscan4e	ENSOARG00000003741
Zscan4e	ENSOARG00000003702
Rpl10a	ENSOARG00000003832
Rpl10a	ENSOARG00000019921
Rpl10a	ENSOARG00000012038
Trav11	TRAV10
Pkp1	ENSOARG00000001237
Sfxn1	SFXN1
Nr2c1	NR2C1
1700017B05Rik	C15orf39
Pycard	ENSOARG00000008908
Gm13539	
Cacnb2	CACNB2
Smim24	ENSOARG00000012622
Glt6d1	GLT6D1
Dcaf8	ENSOARG00000008569
Hoxc12	HOXC12
Wapl	WAPL
Syce1	SYCE1
Shisa7	SHISA7
Trav7-5	ENSOARG00000002686
Gbp11	ENSOARG00000015399
Gbp11	ENSOARG00000015432
Gbp11	ENSOARG00000015386
Gbp11	ENSOARG00000007121
Gbp11	ENSOARG00000002922
Ighmbp2	IGHMBP2
Ogdh	OGDH
Prss58	PRSS58
Fan1	FAN1
Trav12-1	ENSOARG00000002577
Trav12-1	ENSOARG00000002549
Trav12-1	ENSOARG00000016320
Trav12-1	ENSOARG00000002589
Trav12-1	ENSOARG00000000471
Gm5039	
Zfp319	ZNF319
Gnai1	GNAI1
Sostdc1	SOSTDC1
Ubtd2	UBTD2
Gstz1	GSTZ1
Magee1	
Trem2	TREM2
Tepp	TEPP
Wwox	WWOX
Pmpca	PMPCA
Shcbp1	SHCBP1
Efcab9	EFCAB9
Ascc2	ASCC2
Naa15	NAA15
Plaa	PLAA
Nedd9	NEDD9
Prl2c5	ENSOARG00000008865
Prl2c5	ENSOARG00000008416
Prl2c5	ENSOARG00000008080
Prl2c5	ENSOARG00000008309
Prl2c5	ENSOARG00000008383
Prl2c5	ENSOARG00000008492
Prl2c5	PRL
Prl2c5	ENSOARG00000008523
Prl2c5	ENSOARG00000008690
Prl2c5	PRP2
Prl2c5	ENSOARG00000008381
Prl2c5	ENSOARG00000008627
Dmd	ENSOARG00000018256
Dmd	ENSOARG00000018285
Ubxn4	UBXN4
Cdk5r2	CDK5R2
Htr5a	HTR5A
Rad50	ENSOARG00000015021
Gdf6	GDF6
Vrtn	
Alox12b	ALOX12B
Cdca3	CDCA3
Pomt2	POMT2
Dhx33	DHX33
Map2k4	MAP2K4
Sp4	SP4
Epgn	EPGN
Mrpl21	MRPL21
Gm12184	CDK2AP1
Plb1	PLB1
Syndig1l	SYNDIG1L
Trim7	TRIM7
Pea15a	PEA15
Gm45785	BET1L
Zc3h15	ENSOARG00000016623
Zc3h15	ENSOARG00000005887
Hars2	HARS2
Taf12	TAF12
Olfr1057	ENSOARG00000012058
Olfr1057	ENSOARG00000012041
Olfr1057	ENSOARG00000011912
Odf3	ODF3
Vipr2	VIPR2
Tagln2	TAGLN2
Hoxc11	HOXC11
Slc5a11	SLC5A11
Usp3	USP3
Mief2	MIEF2
Stk10	STK10
Apol7b	ENSOARG00000002744
Apol7b	ENSOARG00000018691
Apol7b	ENSOARG00000002705
Apol7b	ENSOARG00000002839
Apol7b	ENSOARG00000000527
Apol7b	ENSOARG00000000734
Apol7b	ENSOARG00000020215
Apol7b	ENSOARG00000018703
Apol7b	ENSOARG00000017579
Apol7b	ENSOARG00000018682
Apol7b	ENSOARG00000011023
Trav13-1	ENSOARG00000019521
Trav13-1	ENSOARG00000009953
Trav13-1	ENSOARG00000002089
Trav13-1	ENSOARG00000012009
Trav13-1	ENSOARG00000010060
Scara5	SCARA5
Myoz2	MYOZ2
Ereg	EREG
Bsx	BSX
Sirt3	SIRT3
Trav14-1	ENSOARG00000019558
Trav14-1	ENSOARG00000002609
Trav14-1	ENSOARG00000019562
Olfr13	
Galnt13	GALNT13
Npw	
Slc44a2	SLC44A2
Aoc1	ENSOARG00000001799
Rab42	RAB42
Idi1	IDI1
Rnf144b	RNF144B
Dcaf6	DCAF6
Ankrd31	ENSOARG00000016692
Emc3	EMC3
Stard7	STARD7
Armc3	ARMC3
Hoxc6	HOXC6
Fcmr	FCMR
Iglv3	ENSOARG00000012509
Dnajb1	DNAJB1
Dnajb1	ENSOARG00000018815
Insig1	INSIG1
Olfml1	OLFML1
Fam136a	ENSOARG00000011088
Fam136a	ENSOARG00000000424
Serac1	SERAC1
Hoxc9	HOXC9
Slc25a43	SLC25A43
Anks6	ANKS6
Sec63	SEC63
Sptssb	SPTSSB
Ttc37	TTC37
Hoxc10	HOXC10
Plin1	PLIN1
Gnb3	GNB3
1700001P01Rik	C17orf98
Kcnh1	ENSOARG00000012144
Treml1	TREML1
Creb3l2	CREB3L2
Hoxc8	HOXC8
Serpina3c	ENSOARG00000015253
Serpina3c	ENSOARG00000009286
Serpina3c	ENSOARG00000015292
Ccne1	CCNE1
Stat4	STAT4
Hoxc5	HOXC5
Thap7	
Fev	FEV
Psmd13	PSMD13
Atxn7	ATXN7
Jhy	C11orf63
Sars	SARS
Defb12	ENSOARG00000006433
Lum	LUM
Ces5a	CES5A
Szt2	SZT2
Misp	MISP
Nlrp9a	NLRP9
Wtip	ENSOARG00000004543
Ispd	ISPD
Defb34	ENSOARG00000006437
Olfr683	ENSOARG00000006904
Olfr683	ENSOARG00000017440
Dnaic2	DNAI2
Zfr	ZFR
Nxph4	NXPH4
Dapk1	DAPK1
Areg	AREG
Zfp976	
Hnrnpd	ENSOARG00000000579
Gpr101	GPR101
Ftsj1	ENSOARG00000012099
Ftsj1	ENSOARG00000012432
Thap1	THAP1
Cacybp	CACYBP
Frat1	
Chmp5	ENSOARG00000009506
Chmp5	ENSOARG00000011079
1700042G07Rik	
Syngr3	SYNGR3
Trmt10c	TRMT10C
AL670603.1	ENSOARG00000002180
Adck1	ADCK1
Zkscan16	ENSOARG00000006672
Frat2	FRAT2
Pik3r3	ENSOARG00000002180
Ifngr1	IFNGR1
Gm45692	RNF170
Hus1b	
Rnf170	RNF170
Spag11b	
Exoc2	EXOC2
Lcn9	LCN9
Thoc7	THOC7
Galntl5	GALNTL5
Clspn	CLSPN
Mag	MAG
Arhgap29	ARHGAP29
Gnb4	GNB4
Eng	ENG
Rps6ka5	RPS6KA5
Hhat	ENSOARG00000012227
Stat1	
Tll1	TLL1
Sp8	
Rtn4rl1	RTN4RL1
Serpinb11	SERPINB11
1600015I10Rik	ENSOARG00000001799
Pogz	POGZ
Trmt6	TRMT6
Il24	IL24
Crebl2	CREBL2
Btc	BTC
1700001L19Rik	C5orf49
Tacr3	TACR3
Sohlh1	SOHLH1
Rassf3	RASSF3
Ptger4	PTGER4
Otol1	OTOL1
Lgals9	ENSOARG00000001279
Lgals9	ENSOARG00000016020
Lgals9	ENSOARG00000016186
Immp1l	IMMP1L
Elf5	ELF5
Col14a1	COL14A1
Synpo2	SYNPO2
Hyi	HYI
Gramd2	GRAMD2A
Map4k2	MAP4K2
Ttc33	TTC33
Tpbgl	ENSOARG00000011251
Ndufa12	NDUFA12
Sirpb1b	ENSOARG00000007634
Sirpb1b	ENSOARG00000004422
Sirpb1b	ENSOARG00000007425
Hspe1	ENSOARG00000017015
Hspe1	HSPE1
Ric8a	RIC8A
Gm6904	ENSOARG00000007811
Gm6904	ENSOARG00000008531
Zfp975	
Adcy2	ADCY2
Pten	PTEN
Dgkk	DGKK
Apol10a	ENSOARG00000002744
Apol10a	ENSOARG00000018691
Apol10a	ENSOARG00000002705
Apol10a	ENSOARG00000002839
Apol10a	ENSOARG00000000527
Apol10a	ENSOARG00000000734
Apol10a	ENSOARG00000020215
Apol10a	ENSOARG00000018703
Apol10a	ENSOARG00000017579
Apol10a	ENSOARG00000018682
Apol10a	ENSOARG00000011023
Phf11a	ENSOARG00000007811
Phf11a	ENSOARG00000008531
Ap2b1	AP2B1
Olfr684	
Trav12-2	ENSOARG00000002577
Trav12-2	ENSOARG00000002549
Trav12-2	ENSOARG00000016320
Trav12-2	ENSOARG00000002589
Trav12-2	ENSOARG00000000471
Nlrp4e	
Clstn3	CLSTN3
Gnao1	GNAO1
Zfp867	
Aldh1a3	ALDH1A3
Srsf10	SRSF10
Fcgr4	ENSOARG00000010070
Trav12-3	ENSOARG00000002577
Trav12-3	ENSOARG00000002549
Trav12-3	ENSOARG00000016320
Trav12-3	ENSOARG00000002589
Trav12-3	ENSOARG00000000471
Cfap36	ENSOARG00000004742
Cfap36	ENSOARG00000002309
Crtam	CRTAM
Ddx3y	
Lsamp	LSAMP
Fbxw11	FBXW11
Trav13-2	ENSOARG00000019521
Trav13-2	ENSOARG00000009953
Trav13-2	ENSOARG00000002089
Trav13-2	ENSOARG00000012009
Trav13-2	ENSOARG00000010060
Epha7	EPHA7
Trav14-2	ENSOARG00000019558
Trav14-2	ENSOARG00000002609
Trav14-2	ENSOARG00000019562
Zc3h12d	ZC3H12D
Zfp128	ENSOARG00000003831
Itih2	ITIH2
Vwa5b2	VWA5B2
Vamp5	VAMP5
Galnt12	GALNT12
Bet1l	BET1L
Yipf1	YIPF1
Eps15l1	EPS15L1
Zbed4	ENSOARG00000019626
Fpgs	FPGS
Saxo2	SAXO2
Ptpn7	PTPN7
Zfp941	ENSOARG00000000292
Nfs1	ENSOARG00000014653
Pik3r2	ENSOARG00000013462
Tead3	TEAD3
Trim26	TRIM26
Ptprg	ENSOARG00000011822
Flnc	FLNC
Doxl2	ENSOARG00000001799
Tfpi2	TFPI2
En2	EN2
Fxn	FXN
Olfr1062	ENSOARG00000012058
Olfr1062	ENSOARG00000012041
Olfr1062	ENSOARG00000011912
Abcb5	ABCB5
Serpinb7	SERPINB7
Olfr77	
Ptgr1	PTGR1
Zc2hc1a	ZC2HC1A
Lin7a	LIN7A
Irgm1	
Epha5	EPHA5
Gcnt4	GCNT4
Abcg2	ABCG2
Scgb1c1	ENSOARG00000009206
Defb14	ENSOARG00000006416
Defb14	ENSOARG00000006360
Shank3	SHANK3
Kera	KERA
Gulp1	GULP1
Zdhhc16	ZDHHC16
Mpc2	MPC2
Ranbp2	RANBP2
Rpa1	RPA1
Rbm12	ENSOARG00000014537
Nkx2-4	
2610001J05Rik	SMIM30
Plppr3	PLPPR3
Igfn1	ENSOARG00000018001
Fancd2os	FANCD2OS
Mphosph10	MPHOSPH10
Pex11a	PEX11A
Chrm1	
Mfsd10	MFSD10
Marveld2	MARVELD2
Ykt6	YKT6
Fancd2	FANCD2
Art1	ENSOARG00000002076
Art1	ENSOARG00000002582
Lbx2	LBX2
Akr1d1	AKR1D1
Gsdma2	GSDMA
Armt1	ARMT1
Cryba2	CRYBA2
Nkx2-2	NKX2-2
Cenpe	CENPE
Gipc1	GIPC1
Mms19	MMS19
Iqub	IQUB
Isoc2b	ISOC2
Cnot11	CNOT11
Hinfp	HINFP
Art5	ENSOARG00000002755
Art5	ENSOARG00000002917
Art5	ENSOARG00000002856
Agpat4	AGPAT4
Fbxo21	FBXO21
AC152453.1	NT5DC3
Npc2	NPC2
Nt5dc3	NT5DC3
Fgf16	FGF16
Slc25a5	SLC25A5
Tns1	TNS1
Gucy1b3	GUCY1B3
Gngt1	GNGT1
Pax1	PAX1
Apol10b	ENSOARG00000002744
Apol10b	ENSOARG00000018691
Apol10b	ENSOARG00000002705
Apol10b	ENSOARG00000002839
Apol10b	ENSOARG00000000527
Apol10b	ENSOARG00000000734
Apol10b	ENSOARG00000020215
Apol10b	ENSOARG00000018703
Apol10b	ENSOARG00000017579
Apol10b	ENSOARG00000018682
Apol10b	ENSOARG00000011023
Mrpl53	MRPL53
Brd3	BRD3
Zmym5	ZMYM5
Lyve1	LYVE1
Ccdc142	CCDC142
Lmo1	LMO1
Slc38a6	SLC38A6
Chrna10	CHRNA10
Prtn3	PRTN3
Rab33b	RAB33B
Gng11	GNG11
Prss27	PRSS27
Cnpy1	CNPY1
Foxg1	FOXG1
Pqlc2	PQLC2
Lrrc8b	LRRC8B
Usp9y	
Gal3st1	
Cldn19	CLDN19
Gm42688	CCDC142
Olfr685	ENSOARG00000017400
Olfr685	ENSOARG00000017416
Apol11b	ENSOARG00000002744
Apol11b	ENSOARG00000018691
Apol11b	ENSOARG00000002705
Apol11b	ENSOARG00000002839
Apol11b	ENSOARG00000000527
Apol11b	ENSOARG00000000734
Apol11b	ENSOARG00000020215
Apol11b	ENSOARG00000018703
Apol11b	ENSOARG00000017579
Apol11b	ENSOARG00000018682
Apol11b	ENSOARG00000011023
Ptbp1	PTBP1
Ubash3b	UBASH3B
