Gene name	Chicken gene name
Brwd1	BRWD1
Brwd3	BRWD3
Bsdc1	BSDC1
Bsg	BSG
Bsn	BSN
Bspry	BSPRY
Bst1	BST1
Bsx	BSX
Btaf1	BTAF1
Btbd1	BTBD1
Btbd10	BTBD10
Btbd17	BTBD17
Btbd19	BTBD19
Btbd2	BTBD2
Btbd3	BTBD3
Btbd6	BTBD6
Btbd9	BTBD9
Btc	BTC
Btd	BTD
Btf3	BTF3
Btf3l4	BTF3L4
AC153134.1	BTF3L4
Btg1-ps1	BTG1
Btg1-ps2	BTG1
Btg1	BTG1
Btg2	BTG2
Btg4	BTG4
Btk	BTK
Btrc	BTRC
Bub1	BUB1
Bub1b	BUB1B
Bub3	BUB3
Bud13	BUD13
Bud31	BUD31
Bves	BVES
Bysl	BYSL
Bzw1	BZW1
Bzw2	BZW2
Cebpg	C
1700040L02Rik	C10orf107
9130011E15Rik	C10orf76
2310057M21Rik	C10orf88
1110032A03Rik	C11orf1
Selenoh	C11orf31
1110051M20Rik	C11orf49
2310030G06Rik	C11orf52
4931406C07Rik	C11orf54
AU019823	C11orf57
1110004F10Rik	C11orf58
9230110C19Rik	C11orf70
B230118H07Rik	C11orf74
AI593442	C11orf87
4833427G06Rik	C11orf88
A930018P22Rik	C11orf91
Gm13889	C11orf96
Myg1	C12orf10
4930430F08Rik	C12orf29
D6Wsu163e	C12orf4
2210016L21Rik	C12orf43
D10Wsu102e	C12orf45
2410131K14Rik	C12orf49
1700017N19Rik	C12orf50
Grcc10	C12orf57
2810006K23Rik	C12orf65
BC048403	C12orf66
1190007I07Rik	C12orf73
1500009L16Rik	C12orf75
D430019H16Rik	C14orf132
9030617O03Rik	C14orf159
2700060E02Rik	C14orf166
3632451O06Rik	C14orf37
4930447C04Rik	C14orf39
4930427A07Rik	C14orf80
BC052040	C15orf41
AA467197	C15orf48
Ccdc32	C15orf57
6030419C18Rik	C15orf59
2300009A05Rik	C15orf61
Gm14137	C15orf62
2900011O08Rik	C16orf45
BC030336	C16orf52
9030624J02Rik	C16orf62
D230025D16Rik	C16orf70
1810013L24Rik	C16orf72
4921524J17Rik	C16orf87
1810010H24Rik	C17orf58
BC017643	C17orf62
Gm525	C17orf67
5730455P16Rik	C17orf75
2700062C07Rik	C18orf21
BC031181	C18orf32
3110002H16Rik	C18orf8
1600002K03Rik	C19orf24
2410015M20Rik	C19orf70
C1d	C1D
C1galt1	C1GALT1
1110004E09Rik	C1H21ORF59
5730559C18Rik	C1orf106
C130074G19Rik	C1orf115
AA986860	C1orf116
0610037L13Rik	C1orf123
1700028K03Rik	C1orf146
1700012P22Rik	C1orf158
A430005L14Rik	C1orf174
2310022B05Rik	C1orf198
1700025G04Rik	C1orf21
5730409E04Rik	C1orf216
Gm1661	C1orf228
BC003331	C1orf27
AU022252	C1orf50
Stum	C1ORF95
C1qa	C1QA
C1qb	C1QB
C1qbp	C1QBP
C1qc	C1QC
C1ql1	C1QL1
C1ql2	C1QL2
C1ql3	C1QL3
C1ql4	C1QL4
C1qtnf12	C1QTNF12
C1qtnf2	C1QTNF2
C1qtnf4	C1QTNF4
C1qtnf5	C1QTNF5
C1qtnf6	C1QTNF6
C1qtnf7	C1QTNF7
C1s1	C1S
C1s2	C1S
C2	C2
1700037H04Rik	C20orf27
1700021F07Rik	C20orf85
1810043G02Rik	C21orf2
4932438H23Rik	C21orf62
D16Ertd472e	C21orf91
1700088E04Rik	C22orf23
2510002D24Rik	C22orf39
Gm28539	C22orf39
4933434E20Rik	C25H1ORF43
Uqcc2	C26H6ORF125
C2cd2	C2CD2
C2cd2l	C2CD2L
C2cd3	C2CD3
C2cd4c	C2CD4C
C2cd5	C2CD5
1500015O10Rik	C2orf40
C87436	C2orf42
AI597479	C2orf49
2410004P03Rik	C2orf50
1700066M21Rik	C2orf69
BC027072	C2orf71
3110009E18Rik	C2orf76
3110079O15Rik	C2orf82
1700019D03Rik	C2orf88
C3	C3
C3ar1	C3AR1
3830406C13Rik	C3orf14
6430571L13Rik	C3orf18
E130311K13Rik	C3orf33
4930453N24Rik	C3orf38
1190002N15Rik	C3orf58
2510009E07Rik	C3orf70
0610040J01Rik	C4orf19
5730508B09Rik	C4orf32
D3Ertd751e	C4orf33
4930579G24Rik	C4orf46
1700029J07Rik	C4orf47
Gm1673	C4orf48
Hc	C5
9530068E07Rik	C5orf15
6030458C11Rik	C5orf22
B230219D22Rik	C5orf24
D1Ertd622e	C5orf30
1700001L19Rik	C5orf49
C6	C6
D17Wsu92e	C6orf106
1600012H06Rik	C6orf120
Gm136	C6orf163
1700021F05Rik	C6orf203
2310057J18Rik	C6orf58
BC005537	C6orf62
BC004004	C6orf89
C7	C7
AW209491	C7orf25
E130309D02Rik	C7orf26
4921507P07Rik	C7orf31
3110082I17Rik	C7orf50
C8a	C8A
C8b	C8B
C8g	C8G
2610301B20Rik	C8orf37
1810011O10Rik	C8orf4
1700007K13Rik	C9orf116
1110008P14Rik	C9orf16
Gm996	C9orf172
1110017D15Rik	C9orf24
2210016F16Rik	C9orf64
3110043O21Rik	C9orf72
BC005624	C9orf78
AI481877	C9orf84
1110059E24Rik	C9orf85
Car10	CA10
Car12	CA12
Car2	CA2
Car4	CA4
Car7	CA7
Car8	CA8
Car9	CA9
Caap1	CAAP1
Cab39	CAB39
Cab39l	CAB39L
Cabin1	CABIN1
Cables2	CABLES2
Cabp2	CABP2
Cabp7	CABP7
Cacfd1	CACFD1
Cachd1	CACHD1
Cacna1b	CACNA1B
Cacna1c	CACNA1C
Cacna1d	CACNA1D
Cacna1e	CACNA1E
Cacna1g	CACNA1G
Cacna1h	CACNA1H
Cacna1s	CACNA1S
Cacna2d1	CACNA2D1
Cacna2d2	CACNA2D2
Cacna2d3	CACNA2D3
Cacnb2	CACNB2
Cacng1	CACNG1
Cacng2	CACNG2
Cacng3	CACNG3
Cacng4	CACNG4
Cacng5	CACNG5
Cacng7	CACNG7
Cactin	CACTIN
Cacul1	CACUL1
Cacybp	CACYBP
Dffb	CAD
Cadm1	CADM1
Cadm2	CADM2
Cadps2	CADPS2
Calb1	CALB1
Calb2	CALB2
Calca	CALCA
Calcoco2	CALCOCO2
Calcr	CALCR
Calcrl	CALCRL
Cald1	CALD1
Calhm1	CALHM1
Calhm2	CALHM2
Calhm3	CALHM3
Calm2	CALM
Calm3	CALM
Calml3	CALML3
Calml4	CALML4
Caln1	CALN1
Calr	CALR
Calr3	CALR3
Camk1	CAMK1
Camk1d	CAMK1D
Camk1g	CAMK1G
Camk2a	CAMK2A
Camk2b	CAMK2B
Camk2g	CAMK2G
Camk2n1	CAMK2N1
Camk2n2	CAMK2N2
Camk4	CAMK4
Camkk1	CAMKK1
Camkk2	CAMKK2
Camkmt	CAMKMT
Camkv	CAMKV
Caml	CAMLG
Camsap1	CAMSAP1
Camsap2	CAMSAP2
Camta1	CAMTA1
Cand2	CAND2
Cant1	CANT1
Canx	CANX
Cap1	CAP1
Cap2	CAP2
Capg	CAPG
Capn1	CAPN1
Capn10	CAPN10
Capn13	CAPN13
Capn15	CAPN15
Capn2	CAPN2
Capn3	CAPN3
Capn5	CAPN5
Capn6	CAPN6
Capn7	CAPN7
Capns2	CAPNS2
Caprin1	CAPRIN1
Caps2	CAPS2
Capsl	CAPSL
Capza1	CAPZA1
4933400A11Rik	CAPZA1
Capza2	CAPZA2
Capza3	CAPZA3
Capzb	CAPZB
Card10	CARD10
Card11	CARD11
Card19	CARD19
Card9	CARD9
Carf	CARF
Carhsp1	CARHSP1
Carmil2	CARMIL2
Carmil3	CARMIL3
Carnmt1	CARNMT1
Cars	CARS
Cars2	CARS2
Cartpt	CART
Casc3	CASC3
Casc4	CASC4
Casd1	CASD1
Cask	CASK
Caskin2	CASKIN2
Casp2	CASP2
Casp3	CASP3
Casp6	CASP6
Casp7	CASP7
Casp8ap2	CASP8AP2
Casp9	CASP9
Casq2	CASQ2
Casr	CASR
Cass4	CASS4
Cast	CAST
Gatsl3	CASTOR1
Casz1	CASZ1
Cat	CAT
Camp	CATHL1
Camp	CATHL2
Catip	CATIP
Cav1	CAV1
Cav2	CAV2
Cav3	CAV3
Ptrf	CAVIN1
Sdpr	CAVIN2
Murc	CAVIN4
Cbfa2t3	CBFA2T3
Cbfb	CBFB
Cbl	CBL
Cblb	CBLB
Cbll1	CBLL1
Cbln1	CBLN1
Cbln2	CBLN2
Cbln4	CBLN4
Cbr4	CBR4
Cbx1	CBX1
Cbx2	CBX2
Cbx4	CBX4
Cbx5	CBX5
Cbx6	CBX6
Cby1	CBY1
Cc2d1b	CC2D1B
Cc2d2a	CC2D2A
Ccar1	CCAR1
Ccdc102a	CCDC102A
Ccdc112	CCDC112
Ccdc117	CCDC117
Ccdc12	CCDC12
Ccdc122	CCDC122
Ccdc124	CCDC124
Ccdc125	CCDC125
Ccdc126	CCDC126
Ccdc13	CCDC13
Ccdc134	CCDC134
Ccdc137	CCDC137
Ccdc14	CCDC14
Ccdc142	CCDC142
Gm42688	CCDC142
Ccdc148	CCDC148
Ccdc149	CCDC149
Ccdc153	CCDC153
Ccdc157	CCDC157
Ccdc167	CCDC167
Ccdc170	CCDC170
Ccdc171	CCDC171
Ccdc172	CCDC172
Ccdc174	CCDC174
Ccdc177	CCDC177
Ccdc18	CCDC18
Ccdc181	CCDC181
Ccdc183	CCDC183
Ccdc186	CCDC186
Ccdc25	CCDC25
Ccdc28a	CCDC28A
Ccdc28b	CCDC28B
Ccdc3	CCDC3
Ccdc39	CCDC39
Ccdc42	CCDC42
Ccdc43	CCDC43
Ccdc47	CCDC47
Ccdc51	CCDC51
Ccdc58	CCDC58
Ccdc59	CCDC59
Ccdc6	CCDC6
Ccdc60	CCDC60
Ccdc61	CCDC61
Ccdc63	CCDC63
Ccdc65	CCDC65
Ccdc66	CCDC66
Ccdc71	CCDC71
Ccdc73	CCDC73
Ccdc77	CCDC77
Ccdc80	CCDC80
Ccdc83	CCDC83
Ccdc84	CCDC84
Ccdc85a	CCDC85A
Ccdc88a	CCDC88A
Ccdc88c	CCDC88C
Ccdc89	CCDC89
Ccdc90b	CCDC90B
Ccdc91	CCDC91
Ccdc92	CCDC92
Ccdc93	CCDC93
Ccdc94	CCDC94
Ccdc97	CCDC97
Cck	CCK
Cckar	CCKAR
Cckbr	CCKBR
Ccl19	CCL19
CR974586.5	CCL19
Ccl19	CCL19
Gm2564	CCL19
CR974586.3	CCL19
Ccl20	CCL20
Ccl5	CCL5
Ccm2	CCM2
Ccm2l	CCM2L
Ccna1	CCNA1
Ccna2	CCNA2
Ccnb2	CCNB2
Ccnc	CCNC
Ccnd1	CCND1
Ccnd2	CCND2
Ccnd3	CCND3
Ccndbp1	CCNDBP1
Ccne1	CCNE1
Ccne2	CCNE2
Ccnf	CCNF
Ccng1	CCNG1
Ccng2	CCNG2
Ccnh	CCNH
Ccnj	CCNJ
Ccnjl	CCNJL
Ccnk	CCNK
Ccnl1	CCNL1
Ccnl2	CCNL2
Ccno	CCNO
Ccnt1	CCNT1
Ccnt2	CCNT2
Ccny	CCNY
Ccnyl1	CCNYL1
Ccp110	CCP110
Ccpg1	CCPG1
Ccr10	CCR10
Ccr4	CCR4
Ccr1	CCR5
Ccr1l1	CCR5
Ccr3	CCR5
Ccr2	CCR5
Ccr5	CCR5
Ccrl2	CCR5
Ccr6	CCR6
Ccr7	CCR7
Ccr9	CCR9
Ccser2	CCSER2
Cct2	CCT2
Cct3	CCT3
Cct4	CCT4
Cct5	CCT5
Cct6b	CCT6
Cct7	CCT7
Cct8	CCT8
Cd1d2	CD1.2
Cd1d1	CD1.2
Cd109	CD109
Cd151	CD151
Cd180	CD180
Cd200r1	CD200R1A
Cd200r4	CD200R1A
Cd200r2	CD200R1A
Cd200r3	CD200R1A
Cd200r1	CD200R1L
Cd200r4	CD200R1L
Cd200r2	CD200R1L
Cd200r3	CD200R1L
Cd247	CD247
Cd274	CD274
Cd28	CD28
Cd2ap	CD2AP
Tnfrsf8	CD30
Cd38	CD38
Cd3e	CD3E
Cd40	CD40
Cd40lg	CD40LG
Cd47	CD47
Cd5	CD5
Cd59b	CD59
Cd59a	CD59
Cd74	CD74
Cd79b	CD79B
Cd81	CD81
Cd82	CD82
Cd83	CD83
Cd86	CD86
Cd9	CD9
Cd93	CD93
Cd99l2	CD99L2
Cdadc1	CDADC1
Cdan1	CDAN1
Cdc123	CDC123
Cdc14a	CDC14A
Cdc14b	CDC14B
Cdc16	CDC16
Cdc20	CDC20
Cdc20b	CDC20B
Cdc23	CDC23
Cdc25a	CDC25A
Cdc26	CDC26
Cdc27	CDC27
Cdk11b	CDC2L1
Cdc34b	CDC34
Cdc34	CDC34
Cdc37l1	CDC37L1
Cdc40	CDC40
Cdc42	CDC42
Cdc42bpa	CDC42BPA
Cdc42bpb	CDC42BPB
Cdc42ep3	CDC42EP3
Cdc42ep4	CDC42EP4
Cdc42se1	CDC42SE1
Cdc42se2	CDC42SE2
Cdc45	CDC45
AC153856.3	CDC5L
AC153856.4	CDC5L
AC158600.5	CDC5L
AC158600.2	CDC5L
AC158600.1	CDC5L
AC158600.4	CDC5L
AC158600.3	CDC5L
AC158600.6	CDC5L
Cdc5l	CDC5L
Cdc7	CDC7
Cdc73	CDC73
Cdca4	CDCA4
Cdca7	CDCA7
Cdca7l	CDCA7L
Cdcp1	CDCP1
Cdcp2	CDCP2
Cdh1	CDH1
Cdh10	CDH10
Cdh11	CDH11
Cdh12	CDH12
Cdh13	CDH13
Cdh15	CDH15
Cdh17	CDH17
Cdh18	CDH18
Cdh19	CDH19
Cdh2	CDH2
Cdh20	CDH20
Cdh22	CDH22
Cdh4	CDH4
Cdh5	CDH5
Cdh6	CDH6
Cdh7	CDH7
Cdh8	CDH8
Cdh9	CDH9
Cdhr1	CDHR1
Cdhr2	CDHR2
Cdhr3	CDHR3
Cdip1	CDIP1
Cdk1	CDK1
Cdk10	CDK10
Cdk12	CDK12
Cdk13	CDK13
Cdk14	CDK14
Cdk15	CDK15
Cdk17	CDK17
Cdk18	CDK18
Cdk19	CDK19
Cdk2	CDK2
Cdk2ap2	CDK2AP2
Cdk5	CDK5
Cdk5r1	CDK5R1
Cdk5r2	CDK5R2
Cdk5rap1	CDK5RAP1
Cdk5rap2	CDK5RAP2
Cdk5rap3	CDK5RAP3
Cdk6	CDK6
Cdk7	CDK7
Cdk8	CDK8
Cdk9	CDK9
Cdkal1	CDKAL1
Cdkl1	CDKL1
Cdkl2	CDKL2
Cdkl5	CDKL5
Cdkn1a	CDKN1A
Cdkn1b	CDKN1B
Cdkn2aip	CDKN2AIP
Cdkn2c	CDKN2C
Cdkn3	CDKN3
Cdo1	CDO1
Cdon	CDON
Cdpf1	CDPF1
Cdr2	CDR2
Cdr2l	CDR2L
Cds1	CDS1
Cds2	CDS2
Cdt1	CDT1
Cdv3	CDV3
Cdx1	CDX1
Cdx2	CDX2
Cdyl2	CDYL2
Cebpb	CEBPB
Cebpd	CEBPD
Cebpz	CEBPZ
Cecr2	CECR2
Cel	CEL
Cela1	CELA1
Celf1	CELF1
Celf2	CELF2
Celf4	CELF4
Celf5	CELF5
Celsr1	CELSR1
Cemip	CEMIP
Cenpa	CENPA
Cenpf	CENPF
Cenpi	CENPI
Cenpj	CENPJ
Cenpk	CENPK
Cenpl	CENPL
Cenpm	CENPM
Cenpn	CENPN
Cenpo	CENPO
Cenpp	CENPP
Cenpt	CENPT
Cenpw	CENPW
Cep104	CEP104
Cep112	CEP112
Cep120	CEP120
Cep128	CEP128
Cep131	CEP131
Cep135	CEP135
Cep162	CEP162
Cep164	CEP164
Cep170	CEP170
Cep19	CEP19
Cep192	CEP192
Cep250	CEP250
Cep290	CEP290
Cep41	CEP41
Cep44	CEP44
Cep55	CEP55
Cep57	CEP57
Cep57l1	CEP57L1
Cep63	CEP63
Cep70	CEP70
Cep78	CEP78
Cep83	CEP83
Cep85	CEP85
Cep85l	CEP85L
Cep89	CEP89
Cep95	CEP95
Cep97	CEP97
Cept1	CEPT1
Cer1	CER1
Cercam	CERCAM
Cerk	CERK
Cerkl	CERKL
Cers2	CERS2
Cers3	CERS3
Cers5	CERS5
Cers6	CERS6
Ces1a	CES1
Ces1b	CES1
Ces1c	CES1
Ces1d	CES1
Ces1e	CES1
Ces1f	CES1
Ces1g	CES1
Ces1h	CES1
Cetn2	CETN2
Cetn3	CETN3
Cfap100	CFAP100
Cfap161	CFAP161
Cfap20	CFAP20
Cfap221	CFAP221
Cfap36	CFAP36
Cfap45	CFAP45
Cfap52	CFAP52
Cfap57	CFAP57
Cfap58	CFAP58
Cfap61	CFAP61
Cfap65	CFAP65
Cfap70	CFAP70
Cfap73	CFAP73
Cfap74	CFAP74
Cfap97	CFAP97
Cfap99	CFAP99
Cfdp1	CFDP1
Cfi	CFI
Cfl2	CFL2
Cflar	CFLAR
Fut7	CFTII
Cftr	CFTR
Fut9	cFuc-TIX
Cga	CGA
Cggbp1	CGGBP1
Cgn	CGN
Cgnl1	CGNL1
Cgrrf1	CGRRF1
Ch25h	CH25H
Chac1	CHAC1
Chac2	CHAC2
Chad	CHAD
Chadl	CHADL
Chaf1a	CHAF1A
Chaf1b	CHAF1B
Tgfbr1	ChALK5
Champ1	CHAMP1
Chat	CHAT
Chchd1	CHCHD1
Chchd10	CHCHD10
Chchd2	CHCHD2
Chchd3	CHCHD3
AU015836	CHCHD4
Chchd4	CHCHD4
Chchd5	CHCHD5
Chchd6	CHCHD6
Chchd7	CHCHD7
Chd2	CHD2
Chd4	CHD4
Chd5	CHD5
Chd7	CHD7
Chd9	CHD9
Chdh	CHDH
Chek1	CHEK1
Chek2	CHEK2
Cherp	CHERP
Chga	CHGA
Chil5	CHIA
Chia1	CHIA
Chil3	CHIA
Chil4	CHIA
Chil6	CHIA
Chic1	CHIC1
Chic2	CHIC2
Chid1	CHID1
Chka	CHKA
Chl1	CHL1
Chml	CHM
Chm	CHM
Chmp1a	CHMP1A
Chmp1b	CHMP1B
Chmp2a	CHMP2A
Chmp2b	CHMP2B
Chmp4b	CHMP4B
Chmp4c	CHMP4C
Chmp5	CHMP5
Chmp6	CHMP6
Chmp7	CHMP7
Chn1	CHN1
Chn2	CHN2
Chodl	CHODL
Chordc1	CHORDC1
Chp1	CHP1
Chpt1	CHPT1
Chrac1	CHRAC1
Chrd	CHRD
Chrdl1	CHRDL1
Chrdl2	CHRDL2
Chrm2	CHRM2
Chrm3	CHRM3
Chrm4	CHRM4
Chrm5	CHRM5
Chrna1	CHRNA1
Chrna2	CHRNA2
Chrna3	CHRNA3
Chrna4	CHRNA4
Chrna5	CHRNA5
Chrna6	CHRNA6
Chrna9	CHRNA9
Chrnb2	CHRNB2
Chrnb3	CHRNB3
Chrnb4	CHRNB4
Chrnd	CHRND
Chrng	CHRNG
Chst1	CHST1
Chst10	CHST10
Chst11	CHST11
Chst12	CHST12
Chst13	CHST13
Chst15	CHST15
Chst3	CHST3
Chst4	CHST4
Chst8	CHST8
Chst9	CHST9
Chsy1	CHSY1
Chtf18	CHTF18
Chtf8	CHTF8
Chtop	CHTOP
Chuk	CHUK
Churc1	CHURC1
Ciao1	CIAO1
Ciapin1	CIAPIN1
Cib1	CIB1
Cib2	CIB2
Cib3	CIB3
Cidea	CIDEA
Cidec	CIDEC
Ciita	CIITA
Cilp	CILP
Cinp	CINP
Cir1	CIR1
Cirbp	CIRBP
Cisd1	CISD1
Cisd2	CISD2
Cish	CISH
Cit	CIT
Cited2	CITED2
Cited4	CITED4
Ckap4	CKAP4
Ckb	CKB
Ckmt2	CKMT2
Cks2	CKS2
Clasp1	CLASP1
Clasp2	CLASP2
Clcc1	CLCC1
Clcf1	CLCF1
Clcn1	CLCN1
Clcn2	CLCN2
Clcn3	CLCN3
Clcn4	CLCN4
Clcn5	CLCN5
Clcn6	CLCN6
Clcn7	CLCN7
Cldn1	CLDN1
Cldn10	CLDN10
Cldn11	CLDN11
Cldn12	CLDN12
Cldn14	CLDN14
Cldn16	CLDN16
Cldn17	CLDN17
Cldn18	CLDN18
Cldn19	CLDN19
Cldn2	CLDN2
Cldn20	CLDN20
Cldn23	CLDN23
Cldn3	CLDN3
Cldn34b3	CLDN34
Cldn34b4	CLDN34
Cldn34d	CLDN34
Cldn34c1	CLDN34
Cldn34c4	CLDN34
Cldn34b1	CLDN34
Cldn34b2	CLDN34
Cldn34c2	CLDN34
Cldn34c3	CLDN34
Cldn34a	CLDN34
Cldn5	CLDN5
Cldn8	CLDN8
Cldnd1	CLDND1
Clec16a	CLEC16A
Clec3a	CLEC3A
Clec3b	CLEC3B
Clgn	CLGN
Clic3	CLIC3
Clic4	CLIC4
Clic5	CLIC5
Clint1	CLINT1
Clip1	CLIP1
Clip2	CLIP2
Clip4	CLIP4
Clk2	CLK2
Clk3	CLK3
Clk4	CLK4
Clmp	CLMP
Cln6	CLN6
Clns1a	CLNS1A
Clock	CLOCK
Clp1	CLP1
Clpp	CLPP
Clptm1l	CLPTM1L
Clpx	CLPX
Clrn2	CLRN2
Clrn3	CLRN3
Clspn	CLSPN
Clstn1	CLSTN1
Clstn2	CLSTN2
Clstn3	CLSTN3
Clta	CLTA
Cltb	CLTB
Cltc	CLTC
Clu	CLU
Gm20695	CLUAP1
Cluap1	CLUAP1
Cluh	CLUH
Clvs2	CLVS2
Cmas	CMAS
Cmc1	CMC1
Cmc2	CMC2
Cmc4	CMC4
Cmip	CMIP
Cmklr1	CMKLR1
Cmpk1	CMPK1
Cmss1	CMSS1
Cmtm3	CMTM3
Cmtm4	CMTM4
Cmtm6	CMTM6
Cmtm7	CMTM7
Cmtm8	CMTM8
Cmtr1	CMTR1
Cmtr2	CMTR2
Cnbp	CNBP
Cndp1	CNDP1
Cndp2	CNDP2
Nfia	cNFI-A
Nfic	cNFI-C
Cnga1	CNGA1
Cnga2	CNGA2
Cnga3	CNGA3
Cnga4	CNGA4
Cngb1	CNGB1
Cngb3	CNGB3
Cnih1	CNIH1
Cnih3	CNIH3
Cnih4	CNIH4
Cnksr1	CNKSR1
Cnksr2	CNKSR2
Cnksr3	CNKSR3
Cnmd	CNMD
Cnn1	CNN1
Cnn2	CNN2
Cnn3	CNN3
Cnnm2	CNNM2
Cnot1	CNOT1
Cnot10	CNOT10
Cnot2	CNOT2
Cnot4	CNOT4
Cnot6	CNOT6
Cnot6l	CNOT6L
Cnot7	CNOT7
Cnot8	CNOT8
Cnot9	CNOT9
Cnp	CNP
Cnppd1	CNPPD1
Cnpy3	CNPY3
Cnr1	CNR1
Cnr2	CNR2
Cnrip1	CNRIP1
Cnst	CNST
Cntd1	CNTD1
Cntf	CNTF
Cntfr	CNTFR
Cntn1	CNTN1
Cntn2	CNTN2
Cntn3	CNTN3
Cntn4	CNTN4
Cntn5	CNTN5
Cntn6	CNTN6
Cntnap1	CNTNAP1
Cntnap5b	CNTNAP5
Cntnap5a	CNTNAP5
Cntnap5c	CNTNAP5
Cntrl	CNTRL
Coa3	COA3
Coa7	COA7
Coasy	COASY
Cobl	COBL
Cobll1	COBLL1
Coch	COCH
Cog1	COG1
Cog2	COG2
Cog3	COG3
Cog5	COG5
Cog6	COG6
Cog7	COG7
Coil	COIL
Col10a1	COL10A1
Col12a1	COL12A1
Col14a1	COL14A1
Col15a1	COL15A1
Col17a1	COL17A1
Col18a1	COL18A1
Col19a1	COL19A1
Col1a2	COL1A2
Col20a1	COL20A1
Col22a1	COL22A1
Col23a1	COL23A1
Col26a1	COL26A1
Col28a1	COL28A1
Col3a1	COL3A1
Col4a1	COL4A1
Col4a2	COL4A2
Col4a3	COL4A3
Col4a3bp	COL4A3BP
Col4a5	COL4A5
Col4a6	COL4A6
Col5a1	COL5A1
Col5a2	COL5A2
Col6a1	COL6A1
Col6a2	COL6A2
Col6a3	COL6A3
Col8a1	COL8A1
Col8a2	COL8A2
Col9a1	COL9A1
Col9a2	COL9A2
Col9a3	COL9A3
Colec10	COLEC10
Colec11	COLEC11
Colec12	COLEC12
Colgalt2	COLGALT2
Colq	COLQ
Commd1	COMMD1
Gm28048	COMMD1
Commd10	COMMD10
Commd2	COMMD2
Commd3	COMMD3
Commd4	COMMD4
Commd5	COMMD5
Commd7	COMMD7
Commd8	COMMD8
Commd9	COMMD9
Comp	COMP
Comt	COMT
Comtd1	COMTD1
Copa	COPA
Copb1	COPB1
Copb2	COPB2
Cope	COPE
Copg1	COPG1
Copg2	COPG2
Cops2	COPS2
Cops3	COPS3
Cops4	COPS4
Cops5	COPS5
Cops7a	COPS7A
Cops7b	COPS7B
Cops8	COPS8
Coq3	COQ3
Coq4	COQ4
Coq5	COQ5
Coq6	COQ6
Coq7	COQ7
Coq8a	COQ8A
Coq9	COQ9
Olfr577	COR3
Olfr578	COR3
Olfr587-ps1	COR3
Olfr606	COR3
Olfr620	COR3
Olfr623	COR3
Olfr624	COR3
Olfr630	COR3
Olfr66	COR3
Olfr64	COR3
Olfr65	COR3
Olfr632	COR3
Olfr449	COR7A
Corin	CORIN
Coro1b	CORO1B
Coro2a	CORO2A
Coro2b	CORO2B
Coro6	CORO6
Cotl1	COTL1
Cox10	COX10
Cox11	COX11
Cox14	COX14
Cox15	COX15
Cox16	COX16
Gm21987	COX17
Cox17	COX17
Cox19	COX19
mt-Co3	COX3
Cox4i1	COX4I1
Cox5a	COX5A
Cox5b	COX5B
Gm11273	COX5B
Cox6a1	COX6A1
Cox6b1	COX6B1
Cox7a2	COX7A2
Cox7a2l	COX7A2L
Cox7c	COX7C
Cp	CP
Bfsp2	CP49
Cpa1	CPA1
Cpa6	CPA6
Padi2	cPAD2
Cpb1	CPB1
Cpb2	CPB2
Cpd	CPD
Cpe	CPE
Cpeb2	CPEB2
Cpeb3	CPEB3
Cpeb4	CPEB4
Cplx1	CPLX1
Cplx3	CPLX3
Cplx4	CPLX4
Cpm	CPM
Cpn1	CPN1
Cpn2	CPN2
Cpne1	CPNE1
Cpne2	CPNE2
Cpne4	CPNE4
Cpne5	CPNE5
Cpne7	CPNE7
Cpne8	CPNE8
Cpne9	CPNE9
Cpox	CPOX
Cpped1	CPPED1
Cpq	CPQ
Cps1	CPS1
Cpsf2	CPSF2
Cpsf3	CPSF3
Cpsf4	CPSF4
Cpsf6	CPSF6
Psmb7	cpsmb7
Cpt1a	CPT1A
Cpt2	CPT2
Cptp	CPTP
Cpxm1	CPXM1
Cpxm2	CPXM2
Cpz	CPZ
Crabp2	CRABP2
Crabp1	CRABP-I
Rac1	cRac1A
Cradd	CRADD
Cramp1l	CRAMP1
Crb2	CRB2
Crbn	CRBN
Crcp	CRCP
Creb3l1	CREB3L1
Creb3l2	CREB3L2
Creb3l3	CREB3L3
Creb5	CREB5
Crebbp	CREBBP
Crebl2	CREBL2
Crebrf	CREBRF
Crebzf	CREBZF
Creg1	CREG1
Creg2	CREG2
Creld1	CRELD1
Creld2	CRELD2
Crem	CREM
Rprd1b	CREPT
Crh	CRH
Crhbp	CRHBP
Crhr2	CRHR2
Crim1	CRIM1
Crip2	CRIP2
Cript	CRIPT
Crispld1	CRISPLD1
Crispld2	CRISPLD2
Crk	CRK
Crkl	CRKL
Crlf1	CRLF1
Crlf3	CRLF3
Crls1	CRLS1
Crmp1	CRMP1A
Crnkl1	CRNKL1
Crot	CROT
Rps11	cRPS11
Crtac1	CRTAC1
Crtam	CRTAM
Crtap	CRTAP
Crtc1	CRTC1
Cry1	CRY1
Cry2	CRY2
Cryaa	CRYAA
Cryab	CRYAB
Cryba1	CRYBA1
Cryba2	CRYBA2
Cryba4	CRYBA4
Crybb1	CRYBB1
Crybb3	CRYBB3
Crygn	CRYGN
Crygs	CRYGS
Cryl1	CRYL1
Crym	CRYM
Cryz	CRYZ
Cryzl1	CRYZL1
Csl	CS
Cs	CS
Csad	CSAD
Csdc2	CSDC2
Csde1	CSDE1
Cse1l	CSE1L
